loop,model_accuracy_test,model_f1_score_test
1,0.7681159420289855,0.7280601903836316
2,0.6770186335403726,0.6376100311211991
3,0.6376811594202898,0.5920940512212961
4,0.7420289855072464,0.7180202427197334
5,0.484472049689441,0.4527853543242348
6,0.6231884057971014,0.5801233976041787
7,0.6898550724637681,0.6655042191426749
8,0.5507246376811594,0.5235153401821936
9,0.6057971014492753,0.5985813743802776
10,0.6115942028985507,0.591431754877538
11,0.6695652173913044,0.6500648887589855
12,0.5797101449275363,0.5351869856331956
13,0.5884057971014492,0.5689369323420314
14,0.6550724637681159,0.6171523140944847
15,0.5826086956521739,0.582128012378656
16,0.6144927536231884,0.584276400062119
17,0.463768115942029,0.39985207346028395
18,0.7275362318840579,0.6929834851208999
19,0.5101449275362319,0.45354994015421357
20,0.6289855072463768,0.5998309757385368
21,0.6202898550724638,0.5797452096145519
22,0.6347826086956522,0.5905867493120505
23,0.562111801242236,0.4944578040118559
24,0.6840579710144927,0.6533211394313987
25,0.19710144927536233,0.16782626003080478
26,0.5159420289855072,0.44735757961431905
27,0.5420289855072464,0.5069321857158607
28,0.6057971014492753,0.555297285501552
29,0.6289855072463768,0.5973862681423865
30,0.5681159420289855,0.5228233941460833
31,0.5623188405797102,0.5197220622209721
32,0.6347826086956522,0.6013994209960597
33,0.39751552795031053,0.36618451124292867
34,0.7101449275362319,0.6976437754525435
35,0.6173913043478261,0.5844490638927596
36,0.5043478260869565,0.4835605827247798
37,0.6115942028985507,0.564345151801723
38,0.6231884057971014,0.6081816305115263
39,0.6521739130434783,0.5953205102686553
40,0.6347826086956522,0.5992705088372521
41,0.6231884057971014,0.5962503235330185
42,0.5101449275362319,0.44876308675775406
43,0.5062111801242236,0.4575021886348376
44,0.5014492753623189,0.4411819333809543
45,0.5248447204968945,0.47540182248704976
46,0.6521739130434783,0.6405203359432722
47,0.6755852842809364,0.643865764043005
48,0.5710144927536231,0.5423077848077847
49,0.6811594202898551,0.6615197683761834
50,0.527536231884058,0.483509851370625
51,0.6376811594202898,0.5946238487133306
52,0.6376811594202898,0.6004841200637693
53,0.6115942028985507,0.6026324307975729
54,0.6231884057971014,0.5799261900781675
55,0.5565217391304348,0.5091705384314493
56,0.6024844720496895,0.5622929851574556
mean,0.5957264009282642,0.5597759291026189
std,0.09003661960710752,0.09510347828375225
