loop,model_accuracy_test,model_f1_score_test
1,0.7275362318840579,0.6816341149971182
2,0.5101449275362319,0.4633403958227607
3,0.7159420289855073,0.702229803803043
4,0.8985507246376812,0.8897897878625642
5,0.7130434782608696,0.7018410786776123
6,0.7101449275362319,0.7024344225664717
7,0.8028985507246377,0.7817152716783742
8,0.11014492753623188,0.11735312263675023
9,0.6260869565217392,0.640713661300768
10,0.6869565217391305,0.6498545554188163
11,0.7391304347826086,0.7198720280233051
12,0.6898550724637681,0.6621983585317462
13,0.8115942028985508,0.8031238108992034
14,0.8057971014492754,0.7877627277178522
15,0.782608695652174,0.75241823049898
16,0.6459627329192547,0.5973368070632508
17,0.8434782608695652,0.8350182290506678
18,0.8028985507246377,0.7863475668853821
19,0.6579710144927536,0.5992169622266051
20,0.8057971014492754,0.7947366698275992
21,0.7304347826086957,0.7203315453825248
22,0.6434782608695652,0.6082777260290051
23,0.6144927536231884,0.5971150523725055
24,0.863768115942029,0.8597943360832141
25,0.6144927536231884,0.5832464644868781
26,0.7577639751552795,0.7507803214944211
27,0.7763975155279503,0.7587773833985662
28,0.7224080267558528,0.6809243256438732
29,0.6956521739130435,0.6825732161445378
30,0.7913043478260869,0.7680443750553876
31,0.7507246376811594,0.7490286577356046
32,0.7739130434782608,0.7479950179185129
33,0.6260869565217392,0.604474978214686
34,0.48405797101449277,0.46258279111866957
35,0.3101449275362319,0.2646725982039227
36,0.7049689440993789,0.6601064171935067
mean,0.6929619897011201,0.6713239669990192
std,0.15061917807177505,0.15347736962962982
