loop,model_accuracy_test,model_f1_score_test
1,0.8898550724637682,0.9022808586762074
2,0.7420289855072464,0.7281927026350219
3,0.8927536231884058,0.9067907995618839
4,0.9043478260869565,0.9118334924786538
5,0.8173913043478261,0.8246922461641227
6,0.8057971014492754,0.834202032277346
7,0.8840579710144928,0.8941934164792475
8,0.4115942028985507,0.37260450291519653
9,0.7710144927536232,0.8002485279150916
10,0.8260869565217391,0.8478216423181294
11,0.8115942028985508,0.8429951690821256
12,0.8579710144927536,0.8775147928994083
13,0.8144927536231884,0.8109740396994678
14,0.8434782608695652,0.8604145854145854
15,0.7565217391304347,0.7874278773155178
16,0.7142857142857143,0.6489850568827209
17,0.8695652173913043,0.8707263451264526
18,0.8260869565217391,0.8547979797979798
19,0.7971014492753623,0.8001323772752343
20,0.8318840579710145,0.8529541446208113
21,0.8579710144927536,0.8758477720321726
22,0.8318840579710145,0.8380655529949839
23,0.9043478260869565,0.9192037470725996
24,0.855072463768116,0.8742955693742713
25,0.7391304347826086,0.7352016588840623
26,0.7577639751552795,0.7655272430603521
27,0.8726708074534162,0.8918825957349232
28,0.7391304347826086,0.7493418925651117
29,0.7130434782608696,0.680562983356043
30,0.7768115942028986,0.7702966395078193
31,0.8,0.8053600337066253
32,0.8608695652173913,0.8643628747795414
33,0.8376811594202899,0.8630434782608696
34,0.7565217391304347,0.7784227557794209
35,0.7507246376811594,0.7546841387867218
36,0.8322981366459627,0.8578297379654725
mean,0.8042730618817575,0.8126030906498944
std,0.0866499737793928,0.09961357702258465
