loop,model_accuracy_test,model_f1_score_test
0,0.8027690065581734,0.8083838584578356
1,0.8204372390076148,0.8220110392280523
2,0.7939613526570048,0.7974083447017988
3,0.8243771372740596,0.8177824490532885
4,0.8129706096672334,0.8027711890974996
5,0.8003400534369687,0.7922102224226296
6,0.8285295554469956,0.8199620262030088
7,0.8290017002671849,0.8276446248584605
8,0.8243771372740596,0.8254974340987493
9,0.8136297020029312,0.813483999401974
10,0.8323671497584542,0.830761322197724
11,0.8253623188405798,0.8239028932427854
12,0.852467024914509,0.8585590090002917
13,0.806790425012213,0.8053167303055047
14,0.8486858265782363,0.8501240925126092
15,0.8297508549096239,0.8345659513829167
16,0.848314606741573,0.8501427972620055
17,0.8030119018702939,0.8027183561086328
18,0.8057971014492754,0.7992868560372217
19,0.8392769907181241,0.8422527513401599
20,0.8304590721399077,0.8346084863320116
21,0.8224435268399319,0.8327757837317853
22,0.8246213971665852,0.8237488849484116
23,0.815828041035662,0.8211232463941701
24,0.8307019674520282,0.8375744492727484
25,0.8316735487005101,0.8378846430301827
26,0.8260869565217391,0.830668463072282
27,0.8537770221034734,0.8563850878880432
28,0.8022360248447205,0.8027338463342977
29,0.838231722127763,0.8369604115481621
mean,0.8239425657772477,0.8246416416488415
std,0.01597424694101063,0.01794322175789527
