loop,model_accuracy_test,model_f1_score_test
1,0.9188405797101449,0.861790812348687
2,0.8028985507246377,0.6744543366694438
3,0.782608695652174,0.6421481435741446
4,0.8521739130434782,0.758731492453961
5,0.8869565217391304,0.8244039209892136
6,0.782608695652174,0.6247546648394062
7,0.7942028985507247,0.6598018324394708
8,0.8405797101449275,0.8033396460446443
9,0.7739130434782608,0.671385187663236
10,0.8666666666666667,0.8240789117958149
11,0.8318840579710145,0.7099564822035161
12,0.7681159420289855,0.725552693927694
13,0.8840579710144928,0.8266085408875681
14,0.8463768115942029,0.7307281172716356
15,0.808695652173913,0.7247512545025645
16,0.881159420289855,0.836841520840212
17,0.7884057971014493,0.7765523539809756
18,0.8231884057971014,0.7463249428874805
19,0.8492753623188406,0.7215857108462742
20,0.8927536231884058,0.860503654305175
21,0.8579710144927536,0.766260296593341
22,0.8376811594202899,0.7269928627784983
23,0.8,0.7569912883705118
24,0.8753623188405797,0.8501647208309535
25,0.7710144927536232,0.6944501704945818
26,0.9254658385093167,0.8960143817286675
27,0.8956521739130435,0.8351231288771952
28,0.14492753623188406,0.17519260998459618
29,0.8927536231884058,0.842669480839586
30,0.7507246376811594,0.7136388114286623
31,0.8956521739130435,0.8111643460356969
32,0.8463768115942029,0.7119059270909669
33,0.8869565217391304,0.8358294824205045
34,0.8869565217391304,0.8429605164281602
35,0.8521739130434782,0.8417185048426566
36,0.7515527950310559,0.5429736245036869
37,0.8724637681159421,0.8183321939887066
38,0.9304347826086956,0.9043642662640943
39,0.863768115942029,0.770967128244514
40,0.7217391304347827,0.5703863346104725
41,0.9072463768115943,0.8815234599036776
42,0.7855072463768116,0.6429726382190181
43,0.7855072463768116,0.7168791491981664
44,0.8028985507246377,0.7408857950546428
45,0.8318840579710145,0.7307892590501286
46,0.8724637681159421,0.833036236922175
47,0.9254658385093167,0.8774268312986349
48,0.8405797101449275,0.7910928201210593
49,0.7763975155279503,0.7302362442606904
50,0.860248447204969,0.7770864284411082
51,0.8929765886287625,0.8680036774280729
52,0.8492753623188406,0.831736212518515
53,0.8434782608695652,0.7342144187586815
54,0.8724637681159421,0.8306141079582445
55,0.8521739130434782,0.7607745032691671
56,0.9565217391304348,0.9387159801146352
57,0.8144927536231884,0.7086934710309364
58,0.8405797101449275,0.7141978642245566
59,0.8840579710144928,0.854330149288813
60,0.7565217391304347,0.58979154418142
61,0.7101449275362319,0.547666038225725
62,0.7577639751552795,0.6354434116633336
mean,0.8282845018469142,0.7523952344832029
std,0.10386065679484599,0.11687391885387743
