loop,model_accuracy_test,model_f1_score_test
1,0.8840579710144928,0.8805724345077919
2,0.2144927536231884,0.19641698027185125
3,0.922360248447205,0.8286814725890357
4,0.9710144927536232,0.9604858842488897
5,1.0,1.0
6,0.9565217391304348,0.9322991534276047
7,0.9536231884057971,0.934560056644361
8,0.9826086956521739,0.9715915911819273
9,0.9536231884057971,0.940029768937034
10,0.9884057971014493,0.9845741113346747
11,0.9826086956521739,0.9794029850746269
12,0.8666666666666667,0.7947019723906781
13,1.0,1.0
14,0.8840579710144928,0.811981282701114
15,0.9507246376811594,0.9250354617620009
16,0.9478260869565217,0.9052197802197802
17,0.9739130434782609,0.9640620873379495
18,0.8463768115942029,0.852654721793055
19,0.6173913043478261,0.32762912063695726
20,0.9826086956521739,0.9812329027109266
21,0.9478260869565217,0.9283618667917448
22,0.9739130434782609,0.971241330704015
23,0.6753623188405797,0.693496959954871
24,0.9826086956521739,0.9811728942060671
25,0.9942028985507246,0.992953431372549
26,0.953416149068323,0.938448304788036
27,0.9391304347826087,0.8762083249141241
28,0.3217391304347826,0.2651141812657266
29,0.9217391304347826,0.911759219495068
30,0.927536231884058,0.9502502502502503
31,0.9391304347826087,0.93327807708247
32,0.9101449275362319,0.9025959357033817
33,0.9507246376811594,0.9178839235184737
34,0.991304347826087,0.9886194952993568
35,0.855072463768116,0.7833828419415285
36,0.8322981366459627,0.7000798668606888
37,0.9710144927536232,0.9624280690537085
38,0.9739130434782609,0.9648760085429521
39,0.9681159420289855,0.9568252431583892
40,0.8144927536231884,0.7340306095648937
41,0.9768115942028985,0.9727314553401509
42,0.9739130434782609,0.9629414445203919
43,0.991304347826087,0.9886194952993568
44,0.8202898550724638,0.8522120664521586
45,0.9710144927536232,0.9583695501428957
46,0.9565217391304348,0.9519900946511116
47,1.0,1.0
48,0.936231884057971,0.8995961721738119
49,0.9751552795031055,0.8536447916765402
50,0.9751552795031055,0.9744049548006383
51,0.9230769230769231,0.9117491085034102
52,0.863768115942029,0.7501060324951678
53,1.0,1.0
54,0.936231884057971,0.9400561463493965
55,0.9072463768115943,0.8860124000613699
56,0.9594202898550724,0.9497455339785723
57,0.9768115942028985,0.9668348954578226
58,0.7594202898550725,0.7781103056807716
59,0.9130434782608695,0.9090897727417485
60,0.9942028985507246,0.9891098484848485
61,0.8608695652173913,0.8256060980899493
62,0.9906832298136646,0.9897804502746637
mean,0.9094151524025297,0.8844330519260215
std,0.13999446177660904,0.16123879453991466
