loop,model_accuracy_test,model_f1_score_test
0,0.8571775564731601,0.8138414121146298
1,0.855072463768116,0.8022191795563338
2,0.843332523682293,0.7835257350350536
3,0.8246295846490163,0.7446630950540223
4,0.8231392778187178,0.7615132030571315
5,0.863768115942029,0.828902286547042
6,0.8506193830459072,0.7974807527053596
7,0.8326819736199316,0.7772310426963992
8,0.8428853754940712,0.7927015264741697
9,0.8489314664701547,0.804183514967553
10,0.852370424957013,0.7954363239963076
11,0.8519323671497585,0.8016708982614331
12,0.7904250122129947,0.7311791068951347
13,0.8370786516853933,0.7866340803194206
14,0.8155244411692459,0.7518608902224635
15,0.8316735487005101,0.764889239857873
16,0.8431851489985345,0.7799948451556129
17,0.8714975845410629,0.8280016770730372
18,0.8355598736944377,0.7856535702173053
19,0.8371407516580692,0.7774291867297595
20,0.8351756325227216,0.7788483403077604
21,0.8492916463116756,0.7831679359748414
22,0.8179808400884304,0.7530431673258539
23,0.8340372670807453,0.7512824737085126
24,0.8388602309014984,0.7643081153281448
25,0.8297715549005158,0.763087179996325
26,0.8144279815399563,0.7602584537881154
27,0.8314009661835748,0.7744471172527208
28,0.8430896283701724,0.8066893165836125
29,0.8127470355731226,0.7502319132755404
mean,0.8371802769734276,0.779812519349249
std,0.016928768688390893,0.024427177109252615
