loop,model_accuracy_test,model_f1_score_test
0,0.8348556814029959,0.8129120174274643
1,0.8632478632478633,0.8497636037634835
2,0.8268115942028985,0.8160720680516882
3,0.9329403095062638,0.9199725089358817
4,0.9316770186335404,0.9235108929436038
5,0.8478260869565217,0.8333678560367137
6,0.9367921081476068,0.9189856303360668
7,0.8445652173913043,0.8379396876029326
8,0.907563025210084,0.9058989826464716
9,0.8304347826086956,0.8215149196232092
10,0.8597004018998904,0.850285992858976
11,0.8909358879882093,0.8644251959648128
12,0.8505663134819145,0.8445749504616982
13,0.8181159420289855,0.7980686169448309
14,0.8812568505663135,0.8564678116267103
15,0.9254658385093167,0.9145181238494726
16,0.923728813559322,0.908604760478324
17,0.9420289855072463,0.9394912691645182
18,0.9203507489952503,0.9001305334191847
19,0.8947753014249178,0.8906195737988655
20,0.9353306540007307,0.9197074014572336
21,0.8706705969049373,0.8450087035689826
22,0.8813559322033898,0.8542468938325185
23,0.8312453942520265,0.7746029966093859
24,0.8563006632277081,0.8313488707427992
25,0.91669711362806,0.8971813294280444
26,0.9634636463280964,0.9581458613652827
27,0.8776713338246132,0.8481381350648363
28,0.8074534161490683,0.7834724528266122
29,0.8981884057971015,0.8771827788927922
mean,0.8834005309194957,0.8665386806574465
std,0.043115838360807825,0.04788912612182212
