loop,model_accuracy_test,model_f1_score_test
1,0.8869565217391304,0.8769620794701084
2,0.672463768115942,0.634450523075314
3,0.8434782608695652,0.8223062186487069
4,0.9710144927536232,0.9707660181371216
5,0.7710144927536232,0.7510331437600393
6,0.8144927536231884,0.8187259722539793
7,0.8057971014492754,0.7836451610508575
8,0.1536231884057971,0.1389029988474478
9,0.7594202898550725,0.7571879094684673
10,0.8608695652173913,0.8414099260868821
11,0.8579710144927536,0.83239397025473
12,0.7043478260869566,0.6926017341033064
13,0.8840579710144928,0.8790814451246581
14,0.8724637681159421,0.8552202157458729
15,0.8521739130434782,0.8250923723379784
16,0.84472049689441,0.7883762798048511
17,0.881159420289855,0.8766254493057901
18,0.9043478260869565,0.8995773151610567
19,0.6289855072463768,0.5821460123728719
20,0.8608695652173913,0.8423254955331066
21,0.9101449275362319,0.9110650622840182
22,0.8144927536231884,0.8004009373578654
23,0.6608695652173913,0.6093214839087987
24,0.9681159420289855,0.9683125371360667
25,0.7797101449275362,0.743452108970922
26,0.8478260869565217,0.8412197946743417
27,0.906832298136646,0.9044537929896274
28,0.705685618729097,0.6484670834231547
29,0.6782608695652174,0.6079241293645975
30,0.927536231884058,0.924068634279534
31,0.7565217391304347,0.7174959850944941
32,0.863768115942029,0.8554433067502604
33,0.8492753623188406,0.8363959973995431
34,0.6,0.548274252368596
35,0.5130434782608696,0.5014698010047935
36,0.7795031055900621,0.7086071138872657
mean,0.7886614995310648,0.7665333961510284
std,0.15116246555009744,0.1598297594882565
