loop,model_accuracy_test,model_f1_score_test
1,0.8434782608695652,0.8278335958638213
2,0.8198757763975155,0.7961707572976223
3,0.7536231884057971,0.7329099590428022
4,0.9130434782608695,0.8879572072971137
5,0.7204968944099379,0.6953780443771423
6,0.7188405797101449,0.691664259702343
7,0.8376811594202899,0.8334964318948567
8,0.8,0.784411213209083
9,0.8144927536231884,0.807670741445585
10,0.6898550724637681,0.6536770103026818
11,0.9043478260869565,0.8979886888601657
12,0.7913043478260869,0.7803529050110225
13,0.7304347826086957,0.6983867902386484
14,0.8753623188405797,0.8696890280979079
15,0.8318840579710145,0.830406297672446
16,0.7913043478260869,0.7614626752627222
17,0.7072463768115942,0.6755248932507574
18,0.9710144927536232,0.9702072553136384
19,0.7507246376811594,0.7251904608770996
20,0.7942028985507247,0.7618970890833439
21,0.8579710144927536,0.8527687770073231
22,0.8434782608695652,0.8422458425216099
23,0.8322981366459627,0.8214235898048645
24,0.7942028985507247,0.7815689856549214
25,0.13333333333333333,0.11585739066742105
26,0.7565217391304347,0.7607900627095289
27,0.8028985507246377,0.7953910068548729
28,0.8144927536231884,0.8047830532103218
29,0.6753623188405797,0.6539151379626011
30,0.8,0.7772008388011395
31,0.8898550724637682,0.8710363437276349
32,0.7623188405797101,0.7090763661770637
33,0.7453416149068323,0.6729500293944739
34,0.7188405797101449,0.7123395835290739
35,0.8985507246376812,0.893380212936604
36,0.7884057971014493,0.7640793465101782
37,0.8463768115942029,0.8307081537170831
38,0.863768115942029,0.8609821560259607
39,0.7681159420289855,0.7448937508441535
40,0.6608695652173913,0.6319853873344432
41,0.9072463768115943,0.9066023892606437
42,0.881159420289855,0.8801122825433333
43,0.7639751552795031,0.7465133398233811
44,0.7768115942028986,0.7475795361485807
45,0.7267080745341615,0.700813272166122
46,0.8695652173913043,0.8563039644300444
47,0.7658862876254181,0.7212790099602417
48,0.8173913043478261,0.798361650028332
49,0.9130434782608695,0.9079314711095053
50,0.7710144927536232,0.7375225299981663
51,0.8463768115942029,0.8307751898985759
52,0.8028985507246377,0.7897273827255253
53,0.8840579710144928,0.8822693930535414
54,0.5855072463768116,0.5392308748531245
55,0.48695652173913045,0.4702242068843796
56,0.7888198757763976,0.7686145206143941
mean,0.7839220303506017,0.7654198630891066
std,0.12171423161768079,0.12751609820260135
