loop,model_accuracy_test,model_f1_score_test
0,0.7099013518450858,0.7097942015442024
1,0.7420289855072464,0.7427576680263894
2,0.742053343076361,0.7416840156770995
3,0.8371407516580692,0.8353316865150068
4,0.8449275362318841,0.8451181002436108
5,0.8037904124860646,0.8005061154322561
6,0.7848194546794399,0.7851820382455368
7,0.7690902447935696,0.7694432730110509
8,0.6218487394957983,0.6107852708470058
9,0.8445652173913043,0.8435872917451843
10,0.8586043112897332,0.8591966884650474
11,0.7851449275362319,0.7775627355206914
12,0.8072955047899779,0.8093288193166173
13,0.7752394988946205,0.7669036110443257
14,0.7555717939349653,0.7503338047922751
15,0.7112597547380156,0.7128287413612721
16,0.7745025792188651,0.7730759154289226
17,0.7675018422991894,0.7696372151643034
18,0.6191007060572278,0.6180782441272752
19,0.8489314664701547,0.8485970951832655
20,0.8439897698209718,0.8475415712332307
21,0.824990865911582,0.8205990082294076
22,0.7050724637681159,0.7009365508390745
23,0.7595907928388747,0.7559327285554537
24,0.7782608695652173,0.7761010521341853
25,0.8498355864084765,0.8504206524864665
26,0.7989130434782609,0.8002693463936993
27,0.7274388016075996,0.7294730843933462
28,0.7066130800146145,0.710488380632377
29,0.7263427109974424,0.7274411660836032
mean,0.7708122135601656,0.769631202422406
std,0.06274428327887697,0.06363973957886507
