loop,model_accuracy_test,model_f1_score_test
0,0.8338596065095943,0.8350266136425799
1,0.7995169082125604,0.7969964544440579
2,0.8285295554469956,0.8266907261661832
3,0.8197361993160723,0.8202276590745344
4,0.8183574879227054,0.8163483586308007
5,0.8070652173913043,0.807441576268922
6,0.8391304347826087,0.8382964412211523
7,0.7995578481945468,0.8005268823038404
8,0.8195287830944863,0.8214325233665918
9,0.8639786252125334,0.8641286611022483
10,0.8710307767464582,0.8729563333581594
11,0.8354212724146401,0.834500100899991
12,0.886419149975574,0.8881387301386018
13,0.8167526406288381,0.8188450560370271
14,0.7640449438202247,0.7660525802923941
15,0.8197716784066068,0.8209146547752169
16,0.8468379446640316,0.8481781767705066
17,0.844894968246214,0.8471548290652433
18,0.831491034143945,0.8309391795187501
19,0.8364734299516908,0.8370287554285232
20,0.8231558378114313,0.821800447104324
21,0.8641914997557401,0.8659209508905545
22,0.7950659501709819,0.7953610678260972
23,0.7745025792188651,0.7689626792899167
24,0.8033596837944664,0.8065918638814382
25,0.8812896922325354,0.8846993968123543
26,0.8370172455671605,0.8367375639306137
27,0.8053248656570591,0.8028378469914402
28,0.821256038647343,0.8208373768603324
29,0.8444064484611626,0.8440595021450487
mean,0.8277322782132792,0.8279877662745815
std,0.0285920176161804,0.029405014646344697
