loop,model_accuracy_test,model_f1_score_test
1,0.9449275362318841,0.9434054336575345
2,0.9006211180124224,0.9006892860351761
3,0.8115942028985508,0.7784504257284
4,0.927536231884058,0.9052439286481839
5,0.5993788819875776,0.58539862332774
6,0.7594202898550725,0.7383110829160705
7,0.8956521739130435,0.8939978496408266
8,0.8347826086956521,0.8170673580118624
9,0.8927536231884058,0.8866322784344386
10,0.7246376811594203,0.6951635313148105
11,0.8028985507246377,0.7881567486380876
12,0.8231884057971014,0.8055699374001261
13,0.7565217391304347,0.7282913854896287
14,0.9130434782608695,0.9020438097583646
15,0.8144927536231884,0.8047003653019044
16,0.7681159420289855,0.7284049444466947
17,0.6202898550724638,0.578589714725279
18,0.9797101449275363,0.9798260203886131
19,0.8260869565217391,0.8255732664470091
20,0.7652173913043478,0.7191635559556215
21,0.8463768115942029,0.8274045104931089
22,0.8405797101449275,0.8434242165141115
23,0.8478260869565217,0.8324670339455655
24,0.8869565217391304,0.8607272079755541
25,0.1391304347826087,0.09743270205488501
26,0.7797101449275362,0.7792457071561262
27,0.7971014492753623,0.7841514062803512
28,0.8840579710144928,0.8700607744373207
29,0.6869565217391305,0.6617684919526514
30,0.9623188405797102,0.9616786179364578
31,0.8956521739130435,0.8781193332642043
32,0.8347826086956521,0.8118914942499847
33,0.7795031055900621,0.7060947877969155
34,0.7333333333333333,0.7442515207586765
35,0.9797101449275363,0.9796758363779642
36,0.6898550724637681,0.6328729210967878
37,0.8666666666666667,0.8607858032506768
38,0.927536231884058,0.9276065402905349
39,0.7710144927536232,0.7495518073819961
40,0.7623188405797101,0.7315242485015145
41,0.9333333333333333,0.9284662256508096
42,0.936231884057971,0.9367801107786453
43,0.9503105590062112,0.9496319015695915
44,0.8144927536231884,0.785259067877756
45,0.8819875776397516,0.8750057213911939
46,0.9627329192546584,0.9623230160426047
47,0.7859531772575251,0.7340763204287512
48,0.8840579710144928,0.8718198685965084
49,0.9449275362318841,0.9442032105579639
50,0.8782608695652174,0.8565912186673171
51,0.8,0.768256798264317
52,0.8521739130434782,0.8326512739906161
53,0.9130434782608695,0.9121167330142332
54,0.6260869565217392,0.5926787101718046
55,0.43478260869565216,0.4036460249590889
56,0.7857142857142857,0.7674784803631346
mean,0.8152919027142629,0.797614271255466
std,0.13945304221726731,0.14926001816545884
