loop,model_accuracy_test,model_f1_score_test
1,0.8492753623188406,0.8515055418360908
2,0.4492753623188406,0.3495512965147197
3,0.8354037267080745,0.8152222410128569
4,0.7884057971014493,0.7505224790898006
5,0.8956521739130435,0.871712873415001
6,0.7049689440993789,0.6710037081390053
7,0.7333333333333333,0.7151244330767959
8,0.8898550724637682,0.8891160538567522
9,0.8753623188405797,0.8530137292313407
10,0.8724637681159421,0.8672129185847935
11,0.7420289855072464,0.716742977643296
12,0.863768115942029,0.8559184068884025
13,0.8028985507246377,0.7567560207869938
14,0.7536231884057971,0.7249120220591345
15,0.7536231884057971,0.7500603135177496
16,0.9159420289855073,0.9035363683819109
17,0.8608695652173913,0.8545458897767207
18,0.7797101449275362,0.7403352531671814
19,0.6434782608695652,0.6019338318696471
20,0.8434782608695652,0.8283824457303263
21,0.9449275362318841,0.9439627371760316
22,0.8115942028985508,0.8105328914301284
23,0.7217391304347827,0.6950798607710398
24,0.8956521739130435,0.8738606829494896
25,0.8405797101449275,0.8421127305781585
26,0.8136645962732919,0.8094955178884532
27,0.8463768115942029,0.822856313810942
28,0.11884057971014493,0.09221361878084568
29,0.736231884057971,0.7385848733212851
30,0.8347826086956521,0.816363333903999
31,0.9159420289855073,0.9168745652949594
32,0.6985507246376812,0.6532378838047408
33,0.927536231884058,0.9199460354774447
34,0.9478260869565217,0.9452118938995006
35,0.7594202898550725,0.7143881055962559
36,0.7670807453416149,0.6936432071391422
37,0.7710144927536232,0.7825264459850926
38,0.9478260869565217,0.9472980312982956
39,0.8492753623188406,0.8293790826733891
40,0.6811594202898551,0.6421808668979918
41,0.8753623188405797,0.8653373960929296
42,0.8869565217391304,0.8862994978126824
43,0.8173913043478261,0.8026085232047626
44,0.7594202898550725,0.7142084261589611
45,0.9072463768115943,0.9040089219824087
46,0.936231884057971,0.9347807498516719
47,0.9440993788819876,0.9437170622261705
48,0.8202898550724638,0.8038022711519258
49,0.8198757763975155,0.7514754124860507
50,0.8540372670807453,0.8434384139230068
51,0.802675585284281,0.7466541496432916
52,0.8608695652173913,0.8464041265136015
53,0.9565217391304348,0.9559671708810877
54,0.8521739130434782,0.8447995478088098
55,0.8202898550724638,0.798925588523332
56,0.8608695652173913,0.8522700922601617
57,0.8898550724637682,0.8711327954492822
58,0.6173913043478261,0.5891978261942811
59,0.8579710144927536,0.8548119111283555
60,0.7884057971014493,0.7802035317271937
61,0.5014492753623189,0.4936473524659501
62,0.8291925465838509,0.8144970076974527
mean,0.8055163396678122,0.7863716977167594
std,0.1327775216663721,0.14338418960521837
