loop,model_accuracy_test,model_f1_score_test
0,0.9034635224760501,0.9082538309683769
1,0.9233603537214443,0.9244866611835103
2,0.9305830039525692,0.9376687574857878
3,0.9335613092330239,0.9421582692619624
4,0.9196757553426677,0.9191958214007573
5,0.9251882438668934,0.9293916351598562
6,0.9181442798153996,0.9242088885336919
7,0.8852657004830918,0.8937963282062878
8,0.9006558173427253,0.9098571698057077
9,0.8794685990338165,0.8833041709802344
10,0.8780124223602485,0.8760787522317897
11,0.9034635224760501,0.9003296737607338
12,0.9166869079426767,0.9220611251965164
13,0.9125549584758182,0.9153379132934852
14,0.9367366878358574,0.9401629468335275
15,0.8700510080155452,0.8785236763826204
16,0.8537770221034734,0.8627917147151829
17,0.89288316735487,0.8891283211062507
18,0.9514209375759047,0.9565021858407786
19,0.9016798418972332,0.8997161140223301
20,0.9289203712750367,0.9356246012427905
21,0.8806763285024155,0.886020734421377
22,0.894927536231884,0.8976401512145675
23,0.9272049689440994,0.9230450835087773
24,0.9386907669760626,0.9430408232382805
25,0.8895945285784074,0.8971782894118329
26,0.941133365901319,0.9465990589247957
27,0.9346597887496929,0.939511284206862
28,0.8996842360942434,0.9094410660964335
29,0.9205732329366043,0.9258522087027027
mean,0.9097566061831707,0.9138969085779269
std,0.023970676246486567,0.02401049400826735
