loop,model_accuracy_test,model_f1_score_test
1,0.8956521739130435,0.9053546027230238
2,0.8416149068322981,0.8655124971336849
3,0.9072463768115943,0.9158890024165167
4,0.9072463768115943,0.9168340699075934
5,0.7919254658385093,0.8243763454476383
6,0.881159420289855,0.8932730258823874
7,0.9304347826086956,0.9400144922890132
8,0.8289855072463768,0.8354698646742047
9,0.8869565217391304,0.9054794520547945
10,0.8260869565217391,0.8529272451686245
11,0.8260869565217391,0.8486667090269835
12,0.8463768115942029,0.8554507365147962
13,0.8463768115942029,0.8592761196852879
14,0.8869565217391304,0.8948557382644551
15,0.8782608695652174,0.8930364173228347
16,0.6492753623188405,0.6471167033580407
17,0.6695652173913044,0.5919951381742801
18,0.9014492753623189,0.9121128871128872
19,0.8724637681159421,0.8868515205724508
20,0.9188405797101449,0.9272960881656533
21,0.8840579710144928,0.8954545454545455
22,0.8898550724637682,0.9068539219401288
23,0.8229813664596274,0.8378227926395547
24,0.9043478260869565,0.9175099625649077
25,0.553623188405797,0.5377954184667786
26,0.8173913043478261,0.8408232080859168
27,0.8318840579710145,0.8535800346355563
28,0.8579710144927536,0.8816425120772946
29,0.8898550724637682,0.9055112435133577
30,0.8666666666666667,0.8786224192438783
31,0.9130434782608695,0.9235974409448819
32,0.7594202898550725,0.7740059250520533
33,0.7236024844720497,0.6677121035023232
34,0.9043478260869565,0.9165179771710703
35,0.8956521739130435,0.9078817246835443
36,0.8144927536231884,0.8169731516221794
37,0.8202898550724638,0.8447299651567944
38,0.8840579710144928,0.896531100478469
39,0.8260869565217391,0.8531761417235298
40,0.9014492753623189,0.9145209871745045
41,0.8724637681159421,0.8909482758620689
42,0.8724637681159421,0.8887972156978006
43,0.8633540372670807,0.8780573242912115
44,0.7710144927536232,0.7586081185094835
45,0.84472049689441,0.8652371981407658
46,0.8726708074534162,0.8904988000928961
47,0.882943143812709,0.9048210221394579
48,0.7768115942028986,0.7574901754766946
49,0.855072463768116,0.8677417705990595
50,0.8463768115942029,0.8574935702595277
51,0.9130434782608695,0.920513816641941
52,0.9101449275362319,0.9212309429700734
53,0.9536231884057971,0.9600771456123434
54,0.8405797101449275,0.8523271267195431
55,0.8057971014492754,0.7982887860235927
56,0.8385093167701864,0.8497005955469888
mean,0.8477433281004709,0.8572300556537478
std,0.07101569684755536,0.08192166980029661
