loop,model_accuracy_test,model_f1_score_test
0,0.9455914500850133,0.9334548245987295
1,0.9557721139430285,0.9385499336459193
2,0.9528783094486276,0.940182519152938
3,0.952415458937198,0.9373156769948149
4,0.932828529555447,0.9094050755803564
5,0.9266456157396162,0.9159939956856803
6,0.9395725865880619,0.9161652600468249
7,0.9431055900621118,0.9312108319278349
8,0.9687347337567171,0.9614323156316269
9,0.9357707509881423,0.9114540091559351
10,0.9456521739130435,0.9337094386490932
11,0.8939912066438691,0.8761553423712383
12,0.8965265970366771,0.8756377485173279
13,0.9273743016759777,0.9243634163002019
14,0.9565217391304348,0.9425999951011123
15,0.9389350268685882,0.9304331093534569
16,0.9123147923245082,0.8876211038132378
17,0.9357596482657548,0.909347399485418
18,0.920701581027668,0.9001938709165659
19,0.9521496235122662,0.9323001624229552
20,0.9310177313577848,0.915841103922961
21,0.9624170965364776,0.9446752966173402
22,0.9370059288537549,0.93433609476565
23,0.9467513434294089,0.9363058255238368
24,0.9222222222222223,0.9069126771854145
25,0.9324490297224269,0.9034602935891389
26,0.9575098814229249,0.9418050524459534
27,0.9352766798418972,0.9179720702661887
28,0.9315035219820258,0.9173439375782755
29,0.8987126548457615,0.8783365948666986
mean,0.9362702639905813,0.9201504992037575
std,0.018716685707466502,0.02155767271851519
