loop,model_accuracy_test,model_f1_score_test
1,0.991304347826087,0.9895691609977324
2,0.336231884057971,0.33531596327498214
3,0.906832298136646,0.8122170518351248
4,0.9768115942028985,0.9695845309810351
5,1.0,1.0
6,0.9409937888198758,0.8936316070506373
7,0.9304347826086956,0.8991373556917172
8,0.991304347826087,0.9892970374433592
9,0.9768115942028985,0.9700687145534541
10,0.9884057971014493,0.9859481915933529
11,1.0,1.0
12,0.9391304347826087,0.9102969911076777
13,0.9971014492753624,0.9964280167727908
14,0.8579710144927536,0.7149420024420025
15,0.9536231884057971,0.9342584670071468
16,0.9942028985507246,0.9925324675324676
17,0.9826086956521739,0.978894610870447
18,0.9478260869565217,0.94609375
19,0.808695652173913,0.6478192098309286
20,0.9623188405797102,0.9611936253269253
21,0.9594202898550724,0.9455235779958893
22,0.9826086956521739,0.9826124500645028
23,0.8260869565217391,0.8004463634088872
24,0.9971014492753624,0.9964280167727908
25,0.9942028985507246,0.9949657274415928
26,0.9937888198757764,0.9914656771799629
27,0.9507246376811594,0.9161519986275519
28,0.3391304347826087,0.35911925883733103
29,0.9188405797101449,0.9083683964469378
30,0.9043478260869565,0.9210776978972639
31,0.9826086956521739,0.9779761904761906
32,0.9739130434782609,0.9685959335359048
33,0.9391304347826087,0.8986111243322212
34,0.9942028985507246,0.9929740957966764
35,0.8579710144927536,0.781941782237757
36,0.8416149068322981,0.7130896880896881
37,0.9826086956521739,0.9777721609007799
38,0.9797101449275363,0.9726990320892919
39,0.9710144927536232,0.9613053460437182
40,0.7594202898550725,0.7191992689463652
41,0.9826086956521739,0.9773026315789474
42,0.9855072463768116,0.9744181797419207
43,0.9884057971014493,0.9851660418459033
44,0.8898550724637682,0.9116227706010226
45,0.9942028985507246,0.9925324675324676
46,0.9942028985507246,0.9925324675324676
47,0.9968944099378882,0.9937858831475853
48,0.9478260869565217,0.8893169208475584
49,0.9906832298136646,0.9922497848372934
50,0.9968944099378882,0.9957976475962088
51,0.9866220735785953,0.9889288254670477
52,0.9159420289855073,0.8344454887218045
53,0.9971014492753624,0.9963229416466827
54,0.9565217391304348,0.9601502299046137
55,0.9594202898550724,0.9451031355251236
56,0.9768115942028985,0.972882326007326
57,0.9478260869565217,0.9452544043453135
58,0.9246376811594202,0.891603317498805
59,0.9478260869565217,0.9451358745715577
60,1.0,1.0
61,0.863768115942029,0.8270428042899537
62,0.9937888198757764,0.9939826939564375
mean,0.9333613324496917,0.9147278932036956
std,0.12174030423600701,0.13266898483273717
