loop,model_accuracy_test,model_f1_score_test
0,0.9491939423546654,0.9334551427286281
1,0.9413776257938447,0.9234173477820169
2,0.9531021006350757,0.9361494270769507
3,0.9480204032062182,0.937182054534298
4,0.9337944664031621,0.9270043139595892
5,0.9471343873517787,0.9306697881157002
6,0.9645823155837812,0.9516650424094535
7,0.9466961434536969,0.9288160644155371
8,0.9418661455788959,0.9189524276888588
9,0.9247024532426524,0.9111632801120285
10,0.9317121100466715,0.9080593126872772
11,0.9217877094972067,0.902361268300736
12,0.9106145251396648,0.8980395772209054
13,0.9715812484819043,0.9649125152704012
14,0.9233023937469468,0.9114510159323633
15,0.9091353199804592,0.8889765893077767
16,0.9728871519296531,0.9608862063592314
17,0.9773913043478261,0.9655991545185552
18,0.9297101449275362,0.9155388223547418
19,0.9684904738641915,0.9604672506053544
20,0.9211495946941783,0.9021586487487758
21,0.9372529644268774,0.9301824700354495
22,0.924523693209575,0.910026311521566
23,0.9633610161211529,0.9559708316781254
24,0.9587200781631656,0.9405053053511245
25,0.9443087445041524,0.9274245496030984
26,0.9317464172941462,0.9321276336975425
27,0.9378188000971581,0.9169828489829199
28,0.8932584269662921,0.8603571067832947
29,0.9336772291820191,0.9274433987181566
mean,0.9404299776741516,0.9259315235500154
std,0.020339904990723218,0.023833235940798902
