loop,model_accuracy_test,model_f1_score_test
1,0.991304347826087,0.9893814481453398
2,0.9304347826086956,0.9010551841684367
3,0.9710144927536232,0.9680183108989779
4,0.9739130434782609,0.9659866101664716
5,0.8840579710144928,0.8700296054501138
6,0.9623188405797102,0.9492823457810369
7,0.8115942028985508,0.7807717607102788
8,0.26666666666666666,0.2540960451977401
9,0.9536231884057971,0.9473856824530018
10,0.9130434782608695,0.9327168746286394
11,0.9420289855072463,0.9371267150928169
12,0.9768115942028985,0.9720867933796585
13,0.9043478260869565,0.8574645658222952
14,0.9797101449275363,0.9729829507316419
15,0.9304347826086956,0.9299906987559586
16,0.8385093167701864,0.7089128435927217
17,0.9652173913043478,0.9517914165839334
18,0.9449275362318841,0.8969096485020052
19,0.7942028985507247,0.7614151775687801
20,0.9855072463768116,0.9814492192540973
21,0.9797101449275363,0.9671742521742521
22,0.9797101449275363,0.9715296198054819
23,0.7855072463768116,0.8221135995576094
24,0.9942028985507246,0.9929740957966764
25,0.9217391304347826,0.8195018482405332
26,0.984472049689441,0.9776549276549277
27,1.0,1.0
28,0.9732441471571907,0.9705118275427319
29,0.8608695652173913,0.7189526839224929
30,1.0,1.0
31,0.9565217391304348,0.9628077407534639
32,0.9710144927536232,0.9636646056027501
33,0.9971014492753624,0.9965465465465466
34,0.881159420289855,0.786109666258155
35,0.8405797101449275,0.775145109615905
36,0.9565217391304348,0.9483248432601881
mean,0.9167228504185027,0.8944962573226571
std,0.12686047948696624,0.1390169987008302
