loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.4272528540199174,0.4099734263894537,0.5705610881709983,0.5682748685551199,0.6788923973767307,0.678782876515618
1,0.4843332523682293,0.4737238551345559,0.6521739130434783,0.6510280394266864,0.750546514452271,0.7495104883937375
2,0.4972067039106145,0.4858852453264906,0.517852805440855,0.5100917986914962,0.6934661161039591,0.6936063045964814
3,0.4509948415622697,0.4393977747979525,0.5824121837386391,0.5773455244371491,0.6728076639646279,0.6729752051147656
4,0.24119504493563274,0.2258788258331975,0.42093757590478503,0.41546396149400394,0.4840903570561088,0.4805887099845125
5,0.3998056837503036,0.39617634802013896,0.6254554287102259,0.6229426677698832,0.6980811270342483,0.7007082029069899
6,0.5265970366771922,0.5227063980812487,0.5929074568860822,0.5920463712335915,0.7498178285159096,0.7515969636790776
7,0.3755833947433063,0.35947172977389097,0.6013264554163597,0.5983291399916877,0.6966347334807172,0.6958868574627318
8,0.4581005586592179,0.44635281414729966,0.6167111974738888,0.6127377915112164,0.7189701238766092,0.7215478502592763
9,0.47391304347826085,0.4585739285297356,0.5282608695652173,0.525655248514814,0.6635265700483092,0.6648303082053213
10,0.3801242236024845,0.3669515935292836,0.5863354037267081,0.5824449221569149,0.6715527950310559,0.6706351856285921
11,0.49692950135101943,0.4880229967330241,0.37312699582412184,0.35871347819569066,0.6212232866617539,0.6250703806958969
12,0.47681159420289854,0.4700495230256203,0.5657004830917874,0.5612729257019089,0.6971014492753623,0.6970489632357231
13,0.47579051383399207,0.45953546796363803,0.6264822134387352,0.619636961745271,0.754199604743083,0.7541056821154716
14,0.4288872512896094,0.4196399929448361,0.6214689265536724,0.6156007492810228,0.7150577253746009,0.7133492372776751
15,0.4529997571046879,0.44317725601416647,0.6334709740102016,0.6295796199712843,0.7454457128977411,0.7472882108192924
16,0.47383935151068535,0.46644794369569026,0.6175386882829772,0.6157970468133828,0.7236551215917465,0.7260408534841326
17,0.4647506755097028,0.4531429055784404,0.5833947433063129,0.5828455681091974,0.6949152542372882,0.6962344442104003
18,0.24146401375583396,0.2181398715768787,0.5146155735691477,0.5086124177556852,0.5755342667649226,0.5735727219407842
19,0.48789525691699603,0.47886459824167094,0.508399209486166,0.5068301836098943,0.704792490118577,0.7094826872511845
20,0.4649016273985912,0.45268980513033463,0.4986640757833374,0.49212989238751464,0.6490162739859121,0.6444470174717064
21,0.5178743961352656,0.4999724796703263,0.6381642512077295,0.6343672249765603,0.744927536231884,0.7411985249660707
22,0.47053140096618357,0.45681813395412596,0.5939613526570048,0.5867182908316957,0.7079710144927536,0.7069260533210742
23,0.46917219356423484,0.4609746851835241,0.6086956521739131,0.6052495216497212,0.6981085728322279,0.6978737768984188
24,0.20507246376811594,0.1859378680588997,0.4975845410628019,0.4895495954352157,0.5591787439613527,0.5569728515192565
25,0.46971177332681974,0.4579981652426218,0.5569125549584758,0.5523677256713506,0.6656082071323889,0.6623562864788666
26,0.5058622374206155,0.49824086663020023,0.5552027357107963,0.5538251907066581,0.710552027357108,0.7128517789863559
27,0.5268685881778212,0.5177420611149144,0.5842696629213483,0.5835995570678073,0.7415730337078652,0.7433963270483334
28,0.4831187758076269,0.46182894431677024,0.4226378430896284,0.41549851337094307,0.660189458343454,0.6624088248123823
29,0.5316978382317221,0.5248118022747476,0.5372844304104931,0.534338515057378,0.7160553801311634,0.716567575447664
mean,0.44530952826599507,0.43330424356378927,0.561083642853863,0.5567631104040248,0.6854497128927244,0.6855953716909263
std,0.08280781688879703,0.08543844519838314,0.06863455854213507,0.07041973981988892,0.060449205678674844,0.061310165059765914
