loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,classifier_model_accuracy_C,classifier_model_f1_score_C,meta_model_accuracy,meta_model_f1_score
1,0.6985507246376812,0.6545228099278637,0.4608695652173913,0.423948552048793,0.10144927536231885,0.04596995937398041,0.7739130434782608,0.7662503946565309
2,0.562111801242236,0.5086076421601434,0.2795031055900621,0.21648857429377752,0.07453416149068323,0.07455357839537467,0.7391304347826086,0.7291942763602256
3,0.30434782608695654,0.2676058956024374,0.28695652173913044,0.22767412688981317,0.07536231884057971,0.03903028960901553,0.4782608695652174,0.446034283317613
4,0.6898550724637681,0.6501489746400232,0.6144927536231884,0.6028205401249871,0.05217391304347826,0.021384475882054093,0.8492753623188406,0.8293920201058832
5,0.531055900621118,0.507747549706923,0.32298136645962733,0.28203805362751777,0.07453416149068323,0.017127496159754226,0.5217391304347826,0.49460371428967914
6,0.17681159420289855,0.1566158752799362,0.4579710144927536,0.4188745875840617,0.14492753623188406,0.06577537712289486,0.5333333333333333,0.48323246064361014
7,0.5449275362318841,0.5267506724687447,0.3652173913043478,0.32137372604957254,0.02318840579710145,0.020885302029836145,0.7478260869565218,0.7407108216029061
8,0.5855072463768116,0.5630704108202912,0.3826086956521739,0.3166420905308011,0.11594202898550725,0.04918637513015023,0.6376811594202898,0.6037903311062167
9,0.5942028985507246,0.5661046635773049,0.48985507246376814,0.46090031926544894,0.06956521739130435,0.02653151656142683,0.7768115942028986,0.7706984808472339
10,0.5246376811594203,0.4950916258858237,0.3217391304347826,0.2912128329913187,0.05507246376811594,0.007676767676767677,0.6492753623188405,0.6273710923489209
11,0.7304347826086957,0.7189454895773871,0.4782608695652174,0.45936008769259645,0.06666666666666667,0.009465020576131687,0.7681159420289855,0.7586964949072851
12,0.5594202898550724,0.5375634042914186,0.2956521739130435,0.26564707661481857,0.06666666666666667,0.011031175059952039,0.7130434782608696,0.7001665335459454
13,0.4753623188405797,0.44000410487598635,0.45507246376811594,0.452763989956235,0.06376811594202898,0.012301075268817204,0.5971014492753624,0.5739109439717232
14,0.39420289855072466,0.36932081555861285,0.518840579710145,0.4871094722084786,0.10144927536231885,0.04094369865758365,0.7884057971014493,0.7806960380173418
15,0.5594202898550724,0.5251171128160113,0.2927536231884058,0.2447518089290868,0.07246376811594203,0.023420479302832243,0.6898550724637681,0.6644318098595563
16,0.3333333333333333,0.2824316034571621,0.4463768115942029,0.38804113251385797,0.05217391304347826,0.026297571668150627,0.6202898550724638,0.5587581176822493
17,0.6202898550724638,0.5867581702666731,0.3507246376811594,0.2919267511868338,0.03188405797101449,0.016167834501167835,0.6492753623188405,0.6221017006120476
18,0.6985507246376812,0.6805376644673427,0.5420289855072464,0.5176109017151721,0.06666666666666667,0.01029082774049217,0.8869565217391304,0.8856321263043536
19,0.5797101449275363,0.5630805862681353,0.28695652173913044,0.2545359336463849,0.05217391304347826,0.023686313686313687,0.6811594202898551,0.6771489038270934
20,0.5159420289855072,0.47706201512833124,0.4028985507246377,0.3877787387943252,0.06376811594202898,0.011367974549310711,0.6492753623188405,0.6146309570111598
21,0.5855072463768116,0.5526288502088972,0.4985507246376812,0.45766707478881585,0.06956521739130435,0.016500010892534257,0.736231884057971,0.7236729112485467
22,0.5855072463768116,0.5910262636416331,0.39710144927536234,0.3656327862732365,0.07536231884057971,0.04616283170500038,0.736231884057971,0.7300272898680221
23,0.6894409937888198,0.6234926277088045,0.45652173913043476,0.4438722253084196,0.09937888198757763,0.054385858472913315,0.8043478260869565,0.7953502453173147
24,0.6579710144927536,0.6398715614111864,0.4985507246376812,0.4531625368817501,0.10434782608695652,0.03925704809286899,0.8608695652173913,0.8572879953111248
25,0.10434782608695652,0.11525134655371728,0.18840579710144928,0.16492408150665888,0.08985507246376812,0.028517924023541998,0.1826086956521739,0.1654833979552004
