loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.5494964382215671,0.517327653932083,0.5386882829771555,0.5333551807902457,0.5779906656841071,0.544285214715405
1,0.6839931989312606,0.6895051235444862,0.6992956035948507,0.6878748193657303,0.7291717269856691,0.7345416500954186
2,0.6533883896040806,0.6480731090615985,0.674520281758562,0.6714220085521989,0.6752489676949235,0.6783387445517349
3,0.7108818472119872,0.7200162611472138,0.7157946450503562,0.7075383260141929,0.7391304347826086,0.7486320259451621
4,0.6671579464505035,0.6754949811953219,0.6133628101203635,0.6011887353244433,0.7000736919675755,0.7098816579287247
5,0.7335438426038378,0.7310674028093431,0.5499149866407579,0.506724420602617,0.7405878066553315,0.7428649933413001
6,0.7169082125603865,0.7178840845764427,0.6893719806763285,0.689583075373529,0.7557971014492754,0.7625043972344723
7,0.6787030213706706,0.6883223730672255,0.7042495701301892,0.7112024594706912,0.7406042741341193,0.7497196210388968
8,0.7237267080745342,0.7343545407608549,0.6909316770186336,0.6866612436308217,0.746583850931677,0.7590620739226237
9,0.4418661455788959,0.4000024729709613,0.6568148510014655,0.6473148426800438,0.4509037616023449,0.437317856249114
10,0.5661944308744504,0.48944467101119116,0.6585246702491451,0.6594273951717671,0.622618466047875,0.549154578687054
11,0.6304347826086957,0.6302634760253604,0.6866145578895946,0.6806262782132982,0.5989252564728872,0.6135441735255682
12,0.6929653150952614,0.6934465179235598,0.5764533463605276,0.5758220373966959,0.7073766487542745,0.7150800023964512
13,0.7150837988826816,0.7231564521430083,0.4226378430896284,0.3882363114731064,0.7126548457614768,0.7165179187179559
14,0.6871030776746458,0.6971270307110018,0.6963849535906205,0.6867367201517016,0.7342452369320958,0.7471706579581536
15,0.7364585863492834,0.7414170559359758,0.492348797668205,0.43415807283156843,0.7442312363371387,0.7566593165818318
16,0.6878358573522227,0.6985764971093471,0.673180263800684,0.6765180849219604,0.7457254518808012,0.7604263896602267
17,0.6912554958475818,0.6964871672298449,0.6123595505617978,0.5982651479104765,0.6939423546653639,0.7044896808927276
18,0.7256961406936981,0.7340287802717005,0.6504640937957987,0.6472844760464302,0.734733756717147,0.7462578802580501
19,0.7182510439695406,0.7339397514004216,0.7216900024563989,0.7247807310854936,0.7624662245148612,0.783229131225391
20,0.6990911323999017,0.7077751130096066,0.714566445590764,0.71338986557853,0.7160402849422747,0.7325605163666309
21,0.6811594202898551,0.690847269726667,0.7016908212560387,0.709289216216672,0.7381642512077294,0.7501885378299906
22,0.7184966838614592,0.7106761681518496,0.6752640628838124,0.6708281221595574,0.7342176369442397,0.7350394136586389
23,0.7367014816614039,0.7491755972765839,0.7007529754675734,0.7092618510210076,0.7430167597765364,0.76333743636839
24,0.5999514209375759,0.5898025693178325,0.6463444255525869,0.639065344268174,0.5868350740830702,0.5866653439190074
25,0.639786252125334,0.6443653244081151,0.584163225649745,0.5244333979306345,0.6524168083555988,0.6555131352701143
26,0.6793781880009716,0.6792748782174606,0.6815642458100558,0.6827892584973416,0.6742773864464415,0.6798009282249124
27,0.668295065950171,0.6703500737272189,0.5884220810942843,0.5654072909059196,0.6983390327308256,0.7091643343059769
28,0.7589371980676328,0.7652472137236087,0.6357487922705314,0.5933035664676874,0.7903381642512077,0.7973577000449281
29,0.7097401020160311,0.723255263133849,0.7228564488705368,0.7307411610128978,0.7585620597522468,0.7750318751123668
mean,0.6767493741755373,0.6763568291173244,0.6458325430958998,0.6351076480355143,0.700173973948724,0.7048112395342407
std,0.06579304820453326,0.08112412364658096,0.07290075475100061,0.08690608280021817,0.07128202690572943,0.08232184825171503
