loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.7275362318840579,0.7234743919363735,0.7130434782608696,0.7142956695339454,0.8115942028985508,0.8111764171279002
2,0.6869565217391305,0.6829480181155322,0.4289855072463768,0.42832477933003954,0.6,0.6229074719318621
3,0.7739130434782608,0.780086731324336,0.6492753623188405,0.6294198886901345,0.7623188405797101,0.7784787946090386
4,0.7217391304347827,0.732348950115123,0.7681159420289855,0.7588529183645194,0.8318840579710145,0.8448726109353255
5,0.8144927536231884,0.8025696303952464,0.7333333333333333,0.7217014152147614,0.8492753623188406,0.8485665186982831
6,0.7565217391304347,0.7714645941232365,0.5623188405797102,0.5423281192902815,0.7594202898550725,0.7831302284427284
7,0.7652173913043478,0.7863498588648863,0.8057971014492754,0.8070564952116157,0.8579710144927536,0.8764700906673865
8,0.43768115942028984,0.3433779038424728,0.2289855072463768,0.19937674128369412,0.3884057971014493,0.3166104363472785
9,0.5884057971014492,0.5047580516701224,0.591304347826087,0.574325414065213,0.6260869565217392,0.6274390014485393
10,0.5884057971014492,0.5882647729938371,0.6608695652173913,0.6612086207457644,0.7072463768115942,0.7165374851536954
11,0.7246376811594203,0.7461640899703936,0.5855072463768116,0.553121050327688,0.7884057971014493,0.7858929197444009
12,0.7391304347826086,0.7468577637178747,0.5971014492753624,0.5884016007788061,0.782608695652174,0.7901976419800882
13,0.7420289855072464,0.7173895059571141,0.7101449275362319,0.705909768934213,0.8260869565217391,0.833064564369959
14,0.7275362318840579,0.727900922542133,0.7507246376811594,0.7439500041122267,0.8347826086956521,0.8486475365522544
15,0.5971014492753624,0.5870382143833743,0.7420289855072464,0.7353535353535354,0.7043478260869566,0.6921393259270312
16,0.6118012422360248,0.5644277147263823,0.6645962732919255,0.6101634196857146,0.7111801242236024,0.6733879410218602
17,0.7797101449275362,0.7824771338376886,0.6173913043478261,0.600118438269061,0.8202898550724638,0.8264887550296824
18,0.6927536231884058,0.6673061379736605,0.4811594202898551,0.4728104730948349,0.7536231884057971,0.741541439510041
19,0.4956521739130435,0.5027742446567958,0.3826086956521739,0.37606088975257335,0.4608695652173913,0.45211703517483315
20,0.7971014492753623,0.8113685878380124,0.736231884057971,0.6612071108193582,0.8869565217391304,0.8857471676249908
21,0.6260869565217392,0.5823246932542836,0.6608695652173913,0.641231122433668,0.6985507246376812,0.6866222430520506
22,0.6405797101449275,0.629910755311306,0.6811594202898551,0.6651280709668831,0.7420289855072464,0.7385870253375452
23,0.6956521739130435,0.7143219513184617,0.6057971014492753,0.572698761811665,0.7101449275362319,0.7327120802008511
24,0.7594202898550725,0.7808677645077595,0.7130434782608696,0.6991093352985935,0.7797101449275362,0.7960675205149963
25,0.7159420289855073,0.7187068083564884,0.6318840579710145,0.572286645874824,0.7304347826086957,0.7316382307875078
26,0.7546583850931677,0.7632649621200598,0.6987577639751553,0.731800759556346,0.7546583850931677,0.7737784181213678
27,0.7298136645962733,0.6591960961449681,0.5993788819875776,0.5152721433400946,0.7732919254658385,0.7353939918272937
28,0.725752508361204,0.6961026393353306,0.4983277591973244,0.5015197496803714,0.7993311036789298,0.7752169239509381
29,0.6782608695652174,0.6779145317344816,0.6608695652173913,0.6350393107115121,0.7594202898550725,0.771092493899983
30,0.6985507246376812,0.6917047538242931,0.6434782608695652,0.5698120255452289,0.7565217391304347,0.7428991514745955
31,0.43478260869565216,0.4335739494133897,0.5739130434782609,0.5490256022475801,0.5710144927536231,0.5675664981220537
32,0.6898550724637681,0.6810887815633285,0.7797101449275362,0.7609999297205234,0.8318840579710145,0.835417668751002
33,0.6927536231884058,0.724308506031203,0.7159420289855073,0.7003721214043079,0.8028985507246377,0.8335591051378415
34,0.5043478260869565,0.556143725861272,0.591304347826087,0.5868607068607069,0.6057971014492753,0.659939017641137
35,0.6782608695652174,0.661675746711866,0.5449275362318841,0.5029380431074331,0.6492753623188405,0.6362570170367209
36,0.531055900621118,0.46334579363587436,0.6614906832298136,0.5969870756377823,0.6211180124223602,0.5772968737139564
mean,0.675669338712817,0.6667721855030266,0.6297327069066199,0.6079185488070973,0.7319287395374352,0.7319293789407504
std,0.09798720494274017,0.11305327055828462,0.11791591083511806,0.12152853802962547,0.10890703191307653,0.1192611450961203
