loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.7797101449275362,0.771191422930032,0.6289855072463768,0.5577431224520802,0.8492753623188406,0.8468957886436669
2,0.3159420289855073,0.2661397575076049,0.6405797101449275,0.6270044138056561,0.34202898550724636,0.2898120164984509
3,0.7670807453416149,0.7369879241029533,0.8416149068322981,0.867860737710241,0.9130434782608695,0.9304197814836113
4,0.7304347826086957,0.697327836409193,0.6202898550724638,0.6044344056381628,0.7478260869565218,0.7276685520106573
5,0.7072463768115942,0.7267788718181442,0.7942028985507247,0.7934645613562835,0.8840579710144928,0.8966367151714
6,0.6211180124223602,0.6218724143298353,0.7080745341614907,0.6956619083433966,0.7639751552795031,0.7727388742539392
7,0.6202898550724638,0.5713502768814446,0.5884057971014492,0.5864005635429012,0.6753623188405797,0.691545129482041
8,0.7739130434782608,0.7932976699451709,0.6463768115942029,0.6395996648573888,0.8,0.8136840033303194
9,0.7188405797101449,0.7071585098499219,0.7072463768115942,0.6950255835601169,0.7333333333333333,0.7186634619162158
10,0.7710144927536232,0.7674290767874282,0.6666666666666666,0.6556191676296819,0.7594202898550725,0.7650872653353427
11,0.391304347826087,0.4000046619699799,0.744927536231884,0.7320366989670135,0.7246376811594203,0.7334760946472163
12,0.6260869565217392,0.5893479167288691,0.7014492753623188,0.7146285864475972,0.7507246376811594,0.7734946037809475
13,0.5768115942028985,0.5702045558366715,0.6927536231884058,0.6770301250473665,0.7014492753623188,0.693316196421095
14,0.5420289855072464,0.4711254202439499,0.6927536231884058,0.6978816659600278,0.7130434782608696,0.7138502617537162
15,0.5971014492753624,0.5773369250905549,0.5681159420289855,0.5917726882400796,0.672463768115942,0.6715918705404336
16,0.5565217391304348,0.5107562819219054,0.6666666666666666,0.6097951245653968,0.7188405797101449,0.656436663907672
17,0.7739130434782608,0.7984599926406453,0.5681159420289855,0.5663616856939064,0.7652173913043478,0.7972971408892441
18,0.6376811594202898,0.604736679439988,0.5739130434782609,0.5718293601891788,0.6347826086956522,0.6278325792359375
19,0.5855072463768116,0.5520432894427068,0.7101449275362319,0.6751883216083169,0.7333333333333333,0.7154453821087572
20,0.6927536231884058,0.6703438523597557,0.7072463768115942,0.7161499468720218,0.8434782608695652,0.8538126725284925
21,0.736231884057971,0.7241729945798204,0.6550724637681159,0.6344441071587359,0.7797101449275362,0.7736633576777108
22,0.6347826086956522,0.6169724967168434,0.6202898550724638,0.5524064021506861,0.672463768115942,0.6589772828318595
23,0.7217391304347827,0.7088788067539424,0.7507246376811594,0.7368891894711649,0.8,0.7959949209645436
24,0.6782608695652174,0.6599707042793959,0.6985507246376812,0.6755909939569363,0.6927536231884058,0.683640913092399
25,0.7275362318840579,0.7289662449134384,0.672463768115942,0.6912088407212061,0.7565217391304347,0.77515207210886
26,0.7484472049689441,0.7700275138557432,0.7204968944099379,0.7248914484208602,0.8478260869565217,0.860421476881839
27,0.736231884057971,0.7522233201581028,0.7536231884057971,0.7464422162578844,0.8347826086956521,0.8480080852751212
28,0.3536231884057971,0.29056544829740705,0.2753623188405797,0.2671842663616614,0.3130434782608696,0.2587113949365001
29,0.6318840579710145,0.6411320926838168,0.6753623188405797,0.7001991994891553,0.7333333333333333,0.7645420100211189
30,0.6550724637681159,0.6672553281174152,0.5391304347826087,0.529766004348286,0.6492753623188405,0.6645535072658344
31,0.6057971014492753,0.5609213846469482,0.5159420289855072,0.4065127371193986,0.6376811594202898,0.6107813098608659
32,0.7072463768115942,0.6645019566440536,0.6289855072463768,0.6257228962093047,0.7942028985507247,0.811332086803785
33,0.7304347826086957,0.7261046418865451,0.5884057971014492,0.552767489904314,0.7623188405797101,0.76915334344731
34,0.6811594202898551,0.6760434345016004,0.736231884057971,0.6904207735389748,0.7681159420289855,0.7660640320329812
35,0.5942028985507246,0.5978317468420025,0.7478260869565218,0.7466398377399261,0.7072463768115942,0.7119856844193786
36,0.43167701863354035,0.3735598757800357,0.7018633540372671,0.6457095007057463,0.7422360248447205,0.6898650582427366
37,0.6898550724637681,0.7027188070441189,0.6057971014492753,0.5066689595745649,0.6840579710144927,0.6815940766854434
38,0.8115942028985508,0.8177015490523449,0.6753623188405797,0.6738522277119563,0.8173913043478261,0.8319987103877393
39,0.6521739130434783,0.6485537749348068,0.6434782608695652,0.6050157512183358,0.7768115942028986,0.7776982674629069
40,0.43768115942028984,0.3956288415663465,0.6550724637681159,0.6574413656729494,0.4927536231884058,0.4696372506736045
41,0.7681159420289855,0.7914982239944723,0.6869565217391305,0.7097153674716457,0.7710144927536232,0.7993428557258344
42,0.7420289855072464,0.7211605681007014,0.5362318840579711,0.5221273049815162,0.7188405797101449,0.7183551648848027
43,0.672463768115942,0.6371949282102414,0.6492753623188405,0.6488226088610678,0.7507246376811594,0.759630219386124
44,0.7304347826086957,0.7317483110308955,0.6347826086956522,0.6106538285562605,0.7971014492753623,0.7988100423096067
45,0.6202898550724638,0.5227626403886599,0.7188405797101449,0.7020182027858531,0.7681159420289855,0.7526122887027028
46,0.527536231884058,0.5296681384457658,0.7130434782608696,0.7015608566513247,0.7275362318840579,0.7320511022757127
47,0.7577639751552795,0.736843951642633,0.5062111801242236,0.508666347697285,0.7360248447204969,0.738366896261633
48,0.591304347826087,0.5607708770630119,0.5478260869565217,0.4585109335109336,0.6869565217391305,0.6277838497874652
49,0.7236024844720497,0.7020442378585748,0.7639751552795031,0.7078326085679026,0.8322981366459627,0.8167948795234523
50,0.6832298136645962,0.6866728959025471,0.4254658385093168,0.3502083333333333,0.6273291925465838,0.6481900963325112
51,0.6822742474916388,0.6360783621846763,0.7157190635451505,0.7290718610467137,0.8260869565217391,0.8330740358394173
52,0.7188405797101449,0.7217992619937136,0.6318840579710145,0.5905555555555556,0.7594202898550725,0.7547237218987709
53,0.7159420289855073,0.6959412072885303,0.7391304347826086,0.724160467658508,0.855072463768116,0.864928699339004
54,0.6057971014492753,0.6167958037116915,0.5884057971014492,0.5664309804121858,0.6898550724637681,0.7054686512327555
55,0.6550724637681159,0.6359193318731206,0.6927536231884058,0.6785950966609698,0.7420289855072464,0.728610422553588
56,0.6869565217391305,0.7016071978836453,0.7333333333333333,0.7200462727930331,0.7942028985507247,0.8091999166485467
57,0.7391304347826086,0.7303753839716496,0.6608695652173913,0.6632685745987086,0.7913043478260869,0.8172584869756795
58,0.5594202898550724,0.586029122483835,0.36231884057971014,0.398917049162364,0.5391304347826087,0.5806498083462198
59,0.6956521739130435,0.7319845741379295,0.6579710144927536,0.6887829846870446,0.7913043478260869,0.8212484570651564
60,0.7391304347826086,0.7202728407123592,0.4289855072463768,0.4075357510477171,0.663768115942029,0.6843637178643369
61,0.7072463768115942,0.6855035758096356,0.5159420289855072,0.39887746998870377,0.6579710144927536,0.6510669562995145
