loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.7303617099013519,0.7281765305824791,0.5849470222871758,0.49140492551053305,0.7563025210084033,0.7571238050734808
1,0.6547314578005116,0.6553496267622421,0.6477895506028498,0.6434402830629699,0.7310924369747899,0.7403382878048927
2,0.669345999269273,0.672006110891483,0.6423090975520643,0.6446044816527288,0.7427840701497991,0.7607901773072704
3,0.6952837140751658,0.7045660531403667,0.6481208548268239,0.6280360456591669,0.7461311717022845,0.7459051867059012
4,0.6550724637681159,0.6556023721813196,0.6713768115942029,0.6717166121036817,0.738768115942029,0.7532323105169401
5,0.6543660942637924,0.6515014649475972,0.6719035440263061,0.6551992198356223,0.7431494336865181,0.7407865185319783
6,0.7047101449275363,0.7133754042563447,0.6938405797101449,0.6927523262990953,0.7623188405797101,0.7793707804644737
7,0.6197494473102432,0.6094133068885559,0.582903463522476,0.5728660787854187,0.6834929992630803,0.6856601175720907
8,0.681650700073692,0.6813526666097093,0.6083271923360354,0.595250422818136,0.7361827560795873,0.7458907407627817
9,0.5619291194738765,0.5625822206456049,0.6982097186700768,0.6863787778445509,0.732188527584947,0.734258062313761
10,0.6923639020825721,0.7043227933711191,0.5286810376324442,0.5049740809258682,0.7354767994154183,0.7482263019413492
11,0.7018633540372671,0.6993817554844826,0.648520277676288,0.6430896309695512,0.7647058823529411,0.7676660348338362
12,0.6726342710997443,0.6624049225575293,0.7044208987943004,0.702512609419878,0.7683595177201316,0.7796106493704829
13,0.6315217391304347,0.6141686802605392,0.4960144927536232,0.4621245349493633,0.6670289855072464,0.6569041521179236
14,0.5674281503316139,0.548119467136015,0.6414885777450258,0.6344238370460551,0.676123802505527,0.6768002165494817
15,0.7192336035372144,0.7313437012295639,0.6584377302873987,0.6583135905872238,0.7494473102431835,0.7638225191036931
16,0.6467391304347826,0.6482917353493498,0.6032608695652174,0.5777789123387425,0.7086956521739131,0.7163848714798929
17,0.659846547314578,0.6527962744046173,0.5458531238582389,0.4890857576847749,0.6952868103763244,0.6918145615535282
18,0.6569236390208257,0.6527879795696475,0.5451223967848009,0.5374055580125146,0.6927292656192912,0.6995479760637169
19,0.7172054998141955,0.7174283793505097,0.6354515050167224,0.6224793576900088,0.7696023782980305,0.781274958823196
20,0.6503470953598831,0.6372202572607216,0.7014979905005481,0.7005134105199526,0.7559371574716843,0.7502272481213554
21,0.6411201179071481,0.6491911209588824,0.5847457627118644,0.561561225790448,0.7008106116433309,0.7059840772492721
22,0.7233883058470765,0.7297886807743785,0.7076461769115442,0.6912253937165216,0.8043478260869565,0.8096905314163869
23,0.6554621848739496,0.6625524263474014,0.6890756302521008,0.6904935988270919,0.7508220679576179,0.773051948920699
24,0.6557971014492754,0.666897523981337,0.6833333333333333,0.6832007332448203,0.7119565217391305,0.7305527786387527
25,0.7546057479734709,0.7558421464725213,0.7221812822402358,0.7189639216559037,0.8294030950626382,0.8356175059771384
26,0.7373036170990135,0.7370805456824697,0.4731457800511509,0.36812772205140365,0.732553891121666,0.73563213856223
27,0.6938405797101449,0.6987540802509906,0.6735507246376812,0.6750325768366021,0.7557971014492754,0.769772051692712
28,0.6817683595177201,0.6835705743935446,0.659846547314578,0.6565133351464978,0.7566678845451223,0.7589709854308452
29,0.6826086956521739,0.680382912085651,0.5561594202898551,0.5518364056954287,0.711231884057971,0.7201895099606735
mean,0.6723067497685548,0.6722083904608991,0.6302720464495036,0.613710178889352,0.7369798439439516,0.7438365668286911
std,0.044099316065725355,0.048317386765858575,0.06660252681583131,0.08552355241920044,0.03579235644950099,0.03862016799672088
