loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.8695652173913043,0.8139322097390678,0.6898550724637681,0.5932167512359474,0.8463768115942029,0.8139203515914362
2,0.7298136645962733,0.5040284339534834,0.6459627329192547,0.5232822352342125,0.8354037267080745,0.6824928315736395
3,0.5304347826086957,0.5170752291963467,0.7304347826086957,0.5963898313629051,0.7275362318840579,0.6950468930869868
4,0.744927536231884,0.741198557189853,0.808695652173913,0.6471751899806478,0.9072463768115943,0.8688139429692918
5,0.6863354037267081,0.5773421630266625,0.6086956521739131,0.5082768560675657,0.7919254658385093,0.6721924168751175
6,0.6,0.5755049568238955,0.8202898550724638,0.7118740431632071,0.8579710144927536,0.7866331404103143
7,0.6434782608695652,0.5755073924005321,0.6260869565217392,0.4722964306780451,0.7478260869565218,0.6408504900536524
8,0.7710144927536232,0.6465790105682866,0.7739130434782608,0.6140041663317526,0.855072463768116,0.7805735013327353
9,0.7159420289855073,0.6527568218864154,0.7652173913043478,0.5956400526951015,0.8724637681159421,0.8426582247243276
10,0.6811594202898551,0.5760518611558356,0.518840579710145,0.3813317091409535,0.7217391304347827,0.6365069629493865
11,0.7855072463768116,0.6935128717050933,0.7478260869565218,0.6309898959950458,0.8695652173913043,0.8409944520279458
12,0.7478260869565218,0.6769588225486936,0.5594202898550724,0.3826984832930564,0.7913043478260869,0.7206289327605722
13,0.6492753623188405,0.5349915147668936,0.7594202898550725,0.6506559740292177,0.8376811594202899,0.7708958032298618
14,0.591304347826087,0.4430506092013107,0.7797101449275362,0.647547764577233,0.8,0.6711586478634657
15,0.5623188405797102,0.542374238477636,0.7130434782608696,0.5899544569839889,0.7739130434782608,0.7481514502456431
16,0.6028985507246377,0.49987369336839693,0.8173913043478261,0.7334167513550136,0.8521739130434782,0.7883679425659134
17,0.782608695652174,0.7125144995603532,0.5681159420289855,0.3966099944926267,0.8434782608695652,0.7878334579487443
18,0.7420289855072464,0.6655205829653636,0.8260869565217391,0.7143752313689016,0.8608695652173913,0.7952764392913152
19,0.4608695652173913,0.3313363529621134,0.6608695652173913,0.6590169358404927,0.6550724637681159,0.6707363106925059
20,0.6811594202898551,0.5976447433591934,0.6057971014492753,0.5040165397153209,0.7623188405797101,0.7473711602489768
21,0.7739130434782608,0.6844197477396157,0.5478260869565217,0.4515273579389959,0.808695652173913,0.7687606621002859
22,0.7536231884057971,0.7395092427248343,0.8521739130434782,0.799402147641325,0.8347826086956521,0.8278034804013568
23,0.8105590062111802,0.7515052401963397,0.8043478260869565,0.6424469136601181,0.8913043478260869,0.8268492007732205
24,0.7913043478260869,0.7481169194581334,0.8028985507246377,0.6828689358122497,0.9072463768115943,0.8354469674410072
25,0.19420289855072465,0.14579219471460853,0.30144927536231886,0.1955948631349929,0.23768115942028986,0.21171743654620367
26,0.7159420289855073,0.6469783878790606,0.7246376811594203,0.6549429861581303,0.8463768115942029,0.8193686210314655
27,0.663768115942029,0.5735947754367663,0.6086956521739131,0.5777569805344169,0.7536231884057971,0.7121625511768117
28,0.7275362318840579,0.6339970333679779,0.6695652173913044,0.507985669589534,0.7536231884057971,0.6689731645912145
