loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.7741073597279573,0.7066193901370506,0.5195530726256983,0.35142951874779405,0.7714355112946321,0.6915017188355551
1,0.7544466403162056,0.6972921623816726,0.6089426877470355,0.568974529659303,0.7677865612648221,0.7136556965058072
2,0.803488086465242,0.7452739978917549,0.6163104888233849,0.519684994529805,0.8135593220338984,0.7710132649890937
3,0.7840579710144927,0.7141090142899684,0.5301932367149759,0.4073497544021708,0.7707729468599034,0.7198856671359499
4,0.767953102100635,0.7026864343241337,0.727894479726429,0.6584089540419348,0.7862725940400587,0.7384240495611756
5,0.7915527950310559,0.7262246016164821,0.7306832298136646,0.6707259653449114,0.7833540372670807,0.734983169193345
6,0.8149137721641972,0.7676562116428784,0.6254554287102259,0.527723511003048,0.8139421909157153,0.7793552819857527
7,0.7894097643915472,0.7505106719565718,0.7464172941462229,0.6861932166153399,0.8115132377945106,0.7799161384062825
8,0.8466047874938935,0.7959100428707933,0.5552027357107963,0.4831657936605308,0.844894968246214,0.8028547947430739
9,0.8028985507246377,0.7640543504001701,0.7154589371980676,0.6538895020662865,0.7702898550724637,0.7463979624690606
10,0.7179985426281272,0.6520460068952847,0.730629098858392,0.6675591730069339,0.705610881709983,0.6688547893242853
11,0.8127277143551129,0.7717529765180955,0.5003643429681807,0.40480727502951186,0.8350740830701967,0.7991986864311835
12,0.8231392778187178,0.7587723795970822,0.7342176369442397,0.6942134219472785,0.8049619258167526,0.7424063546447783
13,0.6074604743083004,0.4432427110089048,0.7388833992094862,0.6760312609374172,0.46492094861660077,0.3499350635191175
14,0.817342725285402,0.7672293198075675,0.7473888753947049,0.6808003216740695,0.8146708768520767,0.7716267032053435
15,0.6450503561778432,0.5092548634283366,0.6806681405060182,0.5892040969475253,0.681650700073692,0.6194438441836086
16,0.7328502415458937,0.6884443839824563,0.7526570048309179,0.6972175111450966,0.7560386473429952,0.7254688236097219
17,0.7979970688812897,0.7404514739992984,0.6858817782120176,0.6068306958521212,0.8094772838299951,0.7710244991128683
18,0.7352001965119135,0.6892159783896471,0.6231884057971014,0.5643727897677076,0.7423237533775485,0.7047122590497652
19,0.7902235323016458,0.7352633712483592,0.7364283959715058,0.655120241765652,0.7973470891672808,0.758114976913947
20,0.8070346849047386,0.7646103973252225,0.6634098680996581,0.5793288553720308,0.8219345383488031,0.7934015068000135
21,0.7573475831916444,0.6968386131469406,0.49599222735001214,0.4232470270397005,0.756133106631042,0.6985178201079087
22,0.806655331552101,0.7481913256265512,0.7940247753218362,0.7316156179801157,0.8139421909157153,0.7720257776529802
23,0.7622205846229427,0.726597826503894,0.7165315647261116,0.6588954410163599,0.7312699582412183,0.7163287146120947
24,0.8075232046897899,0.7666330115127997,0.6734245236932096,0.6264760996459278,0.7950659501709819,0.7635563677976946
25,0.8110274471702696,0.7526383325814638,0.45542871022589265,0.3451190890767245,0.8039834831187758,0.7498907336878486
26,0.7175127520038863,0.6336817230907276,0.5013359242166626,0.36349223105527256,0.7291717269856691,0.6631739629681084
27,0.6939519067282002,0.5943124070579708,0.7357299004129221,0.6705644337438998,0.7670633956764634,0.755358389167879
28,0.7671497584541063,0.7074697144256021,0.6850241545893719,0.6240898060867797,0.7628019323671498,0.735963121300427
29,0.7259627329192546,0.6717341497979694,0.6963975155279503,0.6528504577211203,0.7339130434782609,0.6936772029884094
mean,0.7688602981827014,0.706290594781855,0.6574572611357562,0.5813127195627456,0.7687058913526833,0.7243555780301026
std,0.053586940158142145,0.07744757620618979,0.09521282804322875,0.11650745219528828,0.06909243478263324,0.08270149917026831
