loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.8434782608695652,0.7520779364949113,0.855072463768116,0.7734622101662176,0.936231884057971,0.9208943754668133
2,0.7594202898550725,0.5932232973737424,0.6028985507246377,0.491578784439033,0.8231884057971014,0.7571492458752775
3,0.7536231884057971,0.6829361688872275,0.7333333333333333,0.6804281519471352,0.9014492753623189,0.8752848811163878
4,0.8927536231884058,0.863608362901821,0.8579710144927536,0.7944592994553947,0.9594202898550724,0.9511614864535813
5,0.855072463768116,0.8196161367073977,0.6231884057971014,0.436511975535887,0.8521739130434782,0.8209383145709804
6,0.6550724637681159,0.645807692471396,0.7275362318840579,0.6887748405672267,0.7536231884057971,0.743920167891321
7,0.7681159420289855,0.7264296865859365,0.8115942028985508,0.7026283505063607,0.9188405797101449,0.8861824392875779
8,0.3217391304347826,0.3125800897259736,0.22608695652173913,0.13067756539814493,0.33043478260869563,0.32013197380710057
9,0.8028985507246377,0.7450987025884094,0.5826086956521739,0.4040892072670863,0.8260869565217391,0.7609959278874046
10,0.6869565217391305,0.584648769713749,0.6376811594202898,0.6116828370378178,0.7594202898550725,0.694934020099924
11,0.8376811594202899,0.7282157965602449,0.7594202898550725,0.6290070831558594,0.8753623188405797,0.8134388598976301
12,0.7652173913043478,0.6666784030368167,0.6753623188405797,0.5153016092910117,0.8318840579710145,0.7128724190201055
13,0.6521739130434783,0.5832875380198236,0.782608695652174,0.7196019844870075,0.7739130434782608,0.7608043201910581
14,0.7275362318840579,0.5217913879749185,0.7159420289855073,0.6731853766485892,0.7971014492753623,0.7418503009609039
15,0.6985507246376812,0.5861615237034766,0.7768115942028986,0.6432259363293846,0.7855072463768116,0.7403930705018482
16,0.6770186335403726,0.44601180310792976,0.6801242236024845,0.5218828197439604,0.7329192546583851,0.596984649122807
17,0.9072463768115943,0.8674049534801005,0.7681159420289855,0.7097400175405773,0.9333333333333333,0.9103477950548188
18,0.8695652173913043,0.8382579406916346,0.6898550724637681,0.5869807284029009,0.9217391304347826,0.9018190269513413
19,0.5652173913043478,0.44383708743535555,0.6492753623188405,0.6077261700071871,0.7188405797101449,0.6448228435095815
20,0.8347826086956521,0.7577879069028025,0.672463768115942,0.5378910992861323,0.8463768115942029,0.7948742258177826
21,0.8405797101449275,0.7618381073564318,0.736231884057971,0.6619750393348205,0.9043478260869565,0.8671210509987187
22,0.5043478260869565,0.2947682379793163,0.8028985507246377,0.7782484912703216,0.8376811594202899,0.7928601349622973
23,0.8144927536231884,0.8103743232756995,0.7333333333333333,0.6847210501282531,0.8753623188405797,0.8906641363433078
24,0.808695652173913,0.7451265349322668,0.7507246376811594,0.7364288959676074,0.8898550724637682,0.8835036229204518
25,0.5014492753623189,0.31232152894164517,0.6376811594202898,0.5243284765653617,0.782608695652174,0.6877412152475322
26,0.8478260869565217,0.7170123513644142,0.6149068322981367,0.5015363843513541,0.8788819875776398,0.8355018046455596
27,0.7795031055900621,0.7193282014396896,0.7422360248447205,0.6816592750615003,0.8819875776397516,0.8620038601894132
28,0.8294314381270903,0.6367296905432683,0.68561872909699,0.569528818730779,0.9264214046822743,0.7770094408330711
29,0.6,0.3095580275476929,0.553623188405797,0.4206981650829503,0.6695652173913044,0.5467210665142305
30,0.9188405797101449,0.9065093565183665,0.7333333333333333,0.6230484409651877,0.9304347826086956,0.9285977806440135
31,0.5565217391304348,0.5424857841039373,0.8,0.7568072017619196,0.7565217391304347,0.7367786904303835
32,0.8579710144927536,0.8169331578177266,0.7913043478260869,0.6834270298359861,0.9043478260869565,0.8769230530918201
33,0.6347826086956522,0.3960691821138068,0.6202898550724638,0.533901743695731,0.7797101449275362,0.7593431070586796
34,0.6666666666666666,0.6440926319651571,0.4927536231884058,0.4038969964060781,0.7652173913043478,0.733706856230864
35,0.7188405797101449,0.6168489848751295,0.4927536231884058,0.3794540836917114,0.7478260869565218,0.6816182732179115
36,0.6490683229813664,0.4576277069391549,0.6211180124223602,0.4845901708067604,0.7298136645962733,0.6312695416623489
mean,0.7334204845074411,0.6348079164465937,0.6843543734848083,0.59119684196859,0.820511935729327,0.7733656660687457
std,0.13334839387826597,0.17273870666764105,0.12020655255669258,0.14065896047053028,0.11291822705881456,0.1258685746740375
