loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.8463768115942029,0.7684542010721684,0.8463768115942029,0.8141751594183264,0.9536231884057971,0.9344113204847806
2,0.25507246376811593,0.1889452665970999,0.6434782608695652,0.5897268042781543,0.4492753623188406,0.4127905446968141
3,0.7639751552795031,0.5445247890364724,0.860248447204969,0.6973587034823715,0.9596273291925466,0.9475586380613785
4,0.7913043478260869,0.71389091300856,0.553623188405797,0.5254009244215558,0.7855072463768116,0.7486565440589528
5,0.8724637681159421,0.8458543166167729,0.7565217391304347,0.7271477656572578,0.9217391304347826,0.9136722956815418
6,0.5714285714285714,0.5539448309312107,0.6801242236024845,0.4812454181477441,0.7111801242236024,0.5933602358481084
7,0.6608695652173913,0.5924329500885761,0.34202898550724636,0.24304154323441335,0.6840579710144927,0.6512322095778276
8,0.8144927536231884,0.7037375139521407,0.7681159420289855,0.6912027599727082,0.8898550724637682,0.8225641790430531
9,0.8753623188405797,0.7861248735504187,0.7507246376811594,0.5906194341184333,0.9014492753623189,0.8275523088023088
10,0.8724637681159421,0.8362455814652406,0.7623188405797101,0.6930451380375315,0.9014492753623189,0.8851992858609629
11,0.736231884057971,0.6655579643596357,0.6434782608695652,0.47900226492123044,0.7884057971014493,0.7103466306074235
12,0.518840579710145,0.483904393894395,0.7797101449275362,0.7206318481030791,0.7739130434782608,0.7654955412432431
13,0.7246376811594203,0.6834386275602388,0.736231884057971,0.6781020935181601,0.7942028985507247,0.7654678877542898
14,0.6115942028985507,0.5851928238496039,0.6927536231884058,0.5388452216084004,0.8608695652173913,0.78773523366591
15,0.7942028985507247,0.6890833648188017,0.5362318840579711,0.4891216849785254,0.8347826086956521,0.7509460026941293
16,0.9565217391304348,0.9424326276880752,0.7333333333333333,0.5798972318203753,0.9623188405797102,0.9457993956248294
17,0.8985507246376812,0.8871051935289066,0.6898550724637681,0.6913422170561125,0.8956521739130435,0.8875061050407526
18,0.39710144927536234,0.34622992077131876,0.3391304347826087,0.24064124069026932,0.4463768115942029,0.42368789638526483
19,0.5333333333333333,0.3112519651150869,0.808695652173913,0.7318120787914943,0.7913043478260869,0.7549921307140219
20,0.7043478260869566,0.5292122418786972,0.7652173913043478,0.6865961585838479,0.8463768115942029,0.8065379477117283
21,0.782608695652174,0.6275442700441377,0.8260869565217391,0.7421644338551494,0.9246376811594202,0.8894360319190542
22,0.6550724637681159,0.5346444175247516,0.7101449275362319,0.632058586039804,0.7536231884057971,0.6746940803876207
23,0.8521739130434782,0.8188648567039759,0.672463768115942,0.6094407780975954,0.8695652173913043,0.8546457495248501
24,0.744927536231884,0.6407434343992133,0.7623188405797101,0.7006547076376679,0.8695652173913043,0.8493762606202523
25,0.7768115942028986,0.6543692492937229,0.6753623188405797,0.6643564103110117,0.8724637681159421,0.8411087897598115
26,0.84472049689441,0.7165144442121458,0.7795031055900621,0.6856680050811964,0.9161490683229814,0.9088969328980255
27,0.8753623188405797,0.8362267757344484,0.8,0.7424662685080441,0.9507246376811594,0.9277951217004368
28,0.30434782608695654,0.17950087064535925,0.13333333333333333,0.11061828150063444,0.2753623188405797,0.1845667317933989
