loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.6985507246376812,0.6826557189430437,0.6956521739130435,0.6736431716848571,0.8724637681159421,0.8644941115230044
2,0.18840579710144928,0.1022093210772456,0.672463768115942,0.6517869240366808,0.3681159420289855,0.27580071784648474
3,0.5559006211180124,0.5385117548830047,0.7639751552795031,0.7580519223376365,0.937888198757764,0.9396772633933332
4,0.6579710144927536,0.6486973364385537,0.6463768115942029,0.5992559857670092,0.7130434782608696,0.6623998843502207
5,0.8695652173913043,0.8662522944103938,0.8521739130434782,0.8268177234854103,0.9188405797101449,0.9039996453042575
6,0.5900621118012422,0.5591306361210284,0.6428571428571429,0.6047270246605294,0.8416149068322981,0.837926156370428
7,0.6318840579710145,0.612630056555133,0.6260869565217392,0.5791239385112749,0.7971014492753623,0.7807893551691846
8,0.6231884057971014,0.5992607224201908,0.7101449275362319,0.7178328426436592,0.881159420289855,0.876415003405085
9,0.7246376811594203,0.7084624968397935,0.7304347826086957,0.7088690747530181,0.8115942028985508,0.7866248963364189
10,0.736231884057971,0.7082170177612873,0.7681159420289855,0.7617070859071499,0.9043478260869565,0.9038606781377256
11,0.5971014492753624,0.5436516341772912,0.6753623188405797,0.650063848741993,0.6927536231884058,0.6466778157377547
12,0.5246376811594203,0.45572274609691826,0.782608695652174,0.7412080314070946,0.8231884057971014,0.8198516119118785
13,0.5797101449275363,0.5272134797672474,0.663768115942029,0.6254567169041892,0.7681159420289855,0.7345642876402118
14,0.5217391304347826,0.4766724381010095,0.7391304347826086,0.7194416754039743,0.808695652173913,0.7894561904188976
15,0.5971014492753624,0.5653680106669872,0.6,0.5780598179315508,0.7507246376811594,0.7363873368169518
16,0.7478260869565218,0.7412070413759656,0.7217391304347827,0.6914276456782272,0.8985507246376812,0.8896691756728123
17,0.6927536231884058,0.6658910700525608,0.6579710144927536,0.6220767823960685,0.855072463768116,0.8538034213893835
18,0.6405797101449275,0.5988269602004863,0.6347826086956522,0.6117712407009178,0.7275362318840579,0.6934890967282994
19,0.33043478260869563,0.25943625990482644,0.7623188405797101,0.7195857602258952,0.744927536231884,0.7384767363504229
20,0.6840579710144927,0.6582479722449744,0.7623188405797101,0.7453658997962572,0.8231884057971014,0.8176211558339218
21,0.6463768115942029,0.6004187798065411,0.881159420289855,0.8778457772837499,0.9507246376811594,0.9505768850755733
22,0.672463768115942,0.6468367149965407,0.7014492753623188,0.6588500169841257,0.8608695652173913,0.8600216841204186
23,0.463768115942029,0.39528016795001897,0.8057971014492754,0.7856963724816107,0.8463768115942029,0.8362847441072907
24,0.672463768115942,0.61171426195024,0.808695652173913,0.7915253252093197,0.8347826086956521,0.8311140331406178
25,0.7159420289855073,0.7072301579422454,0.7130434782608696,0.7070190585332825,0.8521739130434782,0.8476652642163478
26,0.6459627329192547,0.6141419192907368,0.7670807453416149,0.7596846180332598,0.9347826086956522,0.9343992462651631
27,0.7101449275362319,0.6617900980368998,0.8028985507246377,0.801500739143954,0.8956521739130435,0.8949008715269742
28,0.09855072463768116,0.07279638819961401,0.10144927536231885,0.11846240179573513,0.14782608695652175,0.1485669292480438
29,0.5855072463768116,0.5386279718760537,0.6376811594202898,0.646300350251217,0.6521739130434783,0.6309121100144621
30,0.6492753623188405,0.6147068345263567,0.7101449275362319,0.6982754359165929,0.8260869565217391,0.812551088632863
31,0.6608695652173913,0.6202643310440841,0.8028985507246377,0.797254004237291,0.8521739130434782,0.8531707778090183
32,0.6173913043478261,0.5723861843770893,0.6492753623188405,0.6199633449766382,0.8521739130434782,0.8343259759418156
