loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.6898550724637681,0.6581111285283578,0.7594202898550725,0.7248873807456644,0.7768115942028986,0.7453384637256154
2,0.6335403726708074,0.5937748006376677,0.6645962732919255,0.6447521245337375,0.5900621118012422,0.5385502903608758
3,0.6115942028985507,0.6069588140187168,0.6289855072463768,0.5923131061662427,0.7594202898550725,0.7241017958674101
4,0.8521739130434782,0.8461695625711866,0.8144927536231884,0.7878855974788948,0.8318840579710145,0.8300270147742768
5,0.5962732919254659,0.5640611989326856,0.5,0.45652193608968644,0.5962732919254659,0.5404097635859274
6,0.6260869565217392,0.6028143888774132,0.5768115942028985,0.5376037851472752,0.6434782608695652,0.6097761658385145
7,0.7014492753623188,0.6701333200533212,0.6869565217391305,0.673241488673055,0.782608695652174,0.754031156241844
8,0.6782608695652174,0.6517604922893029,0.5971014492753624,0.5665685335770643,0.6927536231884058,0.6387416365266309
9,0.6753623188405797,0.6267260375295687,0.6173913043478261,0.6120813337067944,0.7333333333333333,0.7173142572554702
10,0.591304347826087,0.5236752136752136,0.6144927536231884,0.5830653930171292,0.6347826086956522,0.5863998228805622
11,0.3739130434782609,0.33811538282254183,0.6202898550724638,0.5901499769513557,0.518840579710145,0.47563306357025575
12,0.5159420289855072,0.47581416544178035,0.5797101449275363,0.5482612993839198,0.6666666666666666,0.6550210631315283
13,0.5884057971014492,0.5600540035481657,0.6086956521739131,0.5862806553934756,0.6202898550724638,0.6076721392092725
14,0.6782608695652174,0.6621457003999552,0.5942028985507246,0.5555987287563758,0.7333333333333333,0.7274577236197268
15,0.663768115942029,0.6288871450176026,0.6086956521739131,0.5853620286782203,0.7304347826086957,0.6945317960455303
16,0.5884057971014492,0.5430835526795336,0.663768115942029,0.6190572843328742,0.7333333333333333,0.7023985380008305
17,0.3507246376811594,0.2765502647897912,0.43768115942028984,0.3671419159575657,0.4579710144927536,0.42001996027672095
18,0.7072463768115942,0.6743110716794383,0.6,0.5664548450447657,0.7942028985507247,0.7804848070958069
19,0.5942028985507246,0.5356886111969519,0.5217391304347826,0.4631333676357493,0.6492753623188405,0.5985577143799569
20,0.45217391304347826,0.3732122150558078,0.6492753623188405,0.6214278699136256,0.6231884057971014,0.5577505934381317
21,0.6579710144927536,0.6015800510555391,0.6492753623188405,0.6005714150975642,0.6927536231884058,0.6564698584638834
22,0.672463768115942,0.6661703387566074,0.6231884057971014,0.5809556545592662,0.7159420289855073,0.6946289202776944
23,0.6304347826086957,0.5986903730593313,0.593167701863354,0.5145374063276876,0.6583850931677019,0.5778287194936319
24,0.6869565217391305,0.6550445682192232,0.6202898550724638,0.6142084328821902,0.672463768115942,0.6240987954815256
25,0.14202898550724638,0.10864956861138245,0.17101449275362318,0.15228267994959668,0.20869565217391303,0.1833309868884706
26,0.5246376811594203,0.48215781873897706,0.5217391304347826,0.47127113067605536,0.5594202898550724,0.5096078682354889
27,0.6231884057971014,0.586837624804831,0.553623188405797,0.5231395278094264,0.6144927536231884,0.5942919190724769
28,0.672463768115942,0.6314211349717215,0.6405797101449275,0.5933668409142808,0.6173913043478261,0.5805374395753229
29,0.6434782608695652,0.5791161881392699,0.5739130434782609,0.5424703377189635,0.7072463768115942,0.664274371481797
30,0.6579710144927536,0.6446770489742576,0.5942028985507246,0.5659288299823021,0.7391304347826086,0.7183678183948952
31,0.7159420289855073,0.6889563668718133,0.6521739130434783,0.6357605089373559,0.6811594202898551,0.6414582612212936
32,0.5478260869565217,0.482117959607176,0.6753623188405797,0.6520793466421895,0.6231884057971014,0.5482830879725641
33,0.6273291925465838,0.5804218591260888,0.38198757763975155,0.3549193117460183,0.5683229813664596,0.4947720926274673
34,0.7275362318840579,0.716162676739376,0.7275362318840579,0.7029074029634048,0.8260869565217391,0.8191019333739569
35,0.6086956521739131,0.5883265042604737,0.5739130434782609,0.5145527366288783,0.7391304347826086,0.7084023027118608
36,0.5594202898550724,0.5181375685000177,0.5101449275362319,0.48877175998120187,0.6492753623188405,0.6053757012506846
37,0.6869565217391305,0.649253034029724,0.6173913043478261,0.5853457510413098,0.7304347826086957,0.7119908663093215
38,0.6086956521739131,0.5718204212941056,0.6231884057971014,0.6021632626005667,0.736231884057971,0.7205818164769238
39,0.7333333333333333,0.7243375793445878,0.6579710144927536,0.611473287244758,0.6927536231884058,0.6895905139294893
40,0.5101449275362319,0.44019474782418666,0.5652173913043478,0.5217524775520695,0.6550724637681159,0.5975174720542349
41,0.6318840579710145,0.6130718467130382,0.5797101449275363,0.5579761882232279,0.7855072463768116,0.7710577568554771
42,0.6289855072463768,0.6090609553908105,0.5014492753623189,0.4394399143056432,0.5652173913043478,0.4882338538220891
43,0.782608695652174,0.7595974104197873,0.5652173913043478,0.5096049972945061,0.6863354037267081,0.6660103730268284
44,0.6057971014492753,0.5706071230583477,0.4753623188405797,0.43723191702728703,0.663768115942029,0.6303815084356513
45,0.6086956521739131,0.5377446315226426,0.5434782608695652,0.48995461205399315,0.6180124223602484,0.5533553326851407
46,0.6801242236024845,0.638050077786539,0.6801242236024845,0.677506639403143,0.6770186335403726,0.5818654548066312
47,0.5886287625418061,0.5049587061702328,0.6454849498327759,0.6267376182501245,0.6053511705685619,0.5217131621845291
48,0.518840579710145,0.5095644405082703,0.6260869565217392,0.5891886640568916,0.7565217391304347,0.7175284814789504
49,0.7304347826086957,0.7109388608546693,0.7101449275362319,0.687192546583851,0.7536231884057971,0.7245044200246734
50,0.6463768115942029,0.6038694173321503,0.5449275362318841,0.507766508039002,0.6521739130434783,0.6255944888771758
51,0.6840579710144927,0.6436347860454497,0.6463768115942029,0.6113204265801209,0.7681159420289855,0.7443264894079655
