loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.7217391304347827,0.6778305291541424,0.736231884057971,0.6870786849878571,0.8173913043478261,0.7978073507078569
2,0.6492753623188405,0.6158525489181984,0.5652173913043478,0.5181051679866586,0.6260869565217392,0.591706122512701
3,0.6666666666666666,0.6313285689547953,0.7072463768115942,0.6898345956740183,0.8231884057971014,0.8212422211901724
4,0.6492753623188405,0.5924025745827942,0.927536231884058,0.9222758767199399,0.9391304347826087,0.9381395068726905
5,0.4782608695652174,0.41839630820655677,0.7101449275362319,0.7029169683852204,0.7884057971014493,0.7676179035601102
6,0.6492753623188405,0.6186796248166677,0.7072463768115942,0.7067417543232604,0.8231884057971014,0.8194045781783093
7,0.6115942028985507,0.5605874829828319,0.7855072463768116,0.7666451542554747,0.8405797101449275,0.8195828491748209
8,0.13623188405797101,0.09675215179703826,0.11594202898550725,0.12470942487202649,0.17681159420289855,0.16474825621377345
9,0.6202898550724638,0.5734772305985364,0.6289855072463768,0.6426522477683,0.6318840579710145,0.5958971300094523
10,0.6231884057971014,0.6035915739733343,0.6695652173913044,0.6402380919579991,0.7275362318840579,0.7001740003496495
11,0.6318840579710145,0.5845919785619772,0.7536231884057971,0.7363189596033657,0.8405797101449275,0.8223992794212523
12,0.7130434782608696,0.6811147497695269,0.6869565217391305,0.6775582646957754,0.7710144927536232,0.7498491179103388
13,0.5362318840579711,0.5198469352824013,0.8202898550724638,0.8130711985270881,0.9478260869565217,0.9471911334220997
14,0.6927536231884058,0.6464142856231885,0.782608695652174,0.7719140247474179,0.855072463768116,0.8387748452646151
15,0.5942028985507246,0.5078379255896192,0.7275362318840579,0.6987808882379593,0.6782608695652174,0.6146214514568026
16,0.5279503105590062,0.48055382175288497,0.639751552795031,0.5966591080876795,0.8105590062111802,0.7550613123954802
17,0.6695652173913044,0.6543469683800356,0.855072463768116,0.8471091537772256,0.927536231884058,0.9256705362928367
18,0.6782608695652174,0.642580325189765,0.7623188405797101,0.7400433860282866,0.8463768115942029,0.8446533039253972
19,0.4463768115942029,0.3915556098543514,0.6579710144927536,0.5952805726565354,0.7159420289855073,0.6820610647236034
20,0.6405797101449275,0.614821268126771,0.8405797101449275,0.8304770978530464,0.8434782608695652,0.82583024603227
21,0.6840579710144927,0.6471463928033242,0.7043478260869566,0.6924656814675673,0.8985507246376812,0.8992966747928619
22,0.6753623188405797,0.6646100622160633,0.6753623188405797,0.6290318599810988,0.8115942028985508,0.7825562706783021
23,0.6202898550724638,0.5690821588076125,0.5855072463768116,0.5641462062953291,0.7710144927536232,0.735569628792221
24,0.6463768115942029,0.6221861464343114,0.8231884057971014,0.8133078332985587,0.9391304347826087,0.9393862427946871
25,0.5710144927536231,0.536762850511859,0.6376811594202898,0.6094054936137867,0.7159420289855073,0.6510663616617453
26,0.5434782608695652,0.48339138364737005,0.7111801242236024,0.6859983123086855,0.84472049689441,0.794298551211223
27,0.6304347826086957,0.5932244871711356,0.7639751552795031,0.74582411650364,0.9254658385093167,0.9253167246520606
28,0.5852842809364549,0.500780953025551,0.7190635451505016,0.6726677521459206,0.7959866220735786,0.680671452795449
29,0.5594202898550724,0.5014233142257385,0.7159420289855073,0.7096785543895554,0.744927536231884,0.7141441838034299
30,0.7072463768115942,0.7041997902343551,0.8,0.7833973637493737,0.8782608695652174,0.8537404408457039
31,0.5710144927536231,0.49230762913689746,0.7478260869565218,0.7509819485989457,0.782608695652174,0.7734235431400774
32,0.6811594202898551,0.6341184131091364,0.7942028985507247,0.76833237362141,0.8898550724637682,0.8836690896111492
33,0.7333333333333333,0.7148298954457999,0.6463768115942029,0.6149894869787513,0.8782608695652174,0.8724738551168996
34,0.47246376811594204,0.37895542722751036,0.40869565217391307,0.37281604591418377,0.5710144927536231,0.5538682218252425
35,0.4782608695652174,0.4743842218249657,0.2956521739130435,0.2505605574607366,0.5333333333333333,0.5159179413246523
36,0.5559006211180124,0.5398906352583225,0.7267080745341615,0.674452768811997,0.6645962732919255,0.6569609429249939
mean,0.6014373307851569,0.560273783977649,0.6898900214117606,0.6679574160079077,0.7798919679354461,0.7570775648773593
std,0.10918264946708592,0.1166302134863324,0.15223168666467266,0.1557187062826849,0.14640126861487107,0.15300559248833231
