loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.8333738158853534,0.8390788447664459,0.8263298518338597,0.8225640710891565,0.9108574204517853,0.914879144332662
1,0.8429408891060088,0.8506721605567433,0.7884709330727895,0.7849716209955265,0.8993649242794333,0.9035671551388944
2,0.8222006315278115,0.8266756174562839,0.7874666018945834,0.7821978933558227,0.8790381345640029,0.8818743020350738
3,0.8383308345827086,0.8546141854806533,0.8345827086456772,0.8364774088053223,0.9217891054472763,0.9292746287488519
4,0.8404982901807523,0.8544492289736605,0.8407425500732779,0.8391780654588246,0.9228138739618954,0.926024326269775
5,0.8360456643186787,0.8493442199344179,0.8236580034005344,0.8219606256451479,0.9094000485790624,0.917014180798134
6,0.8584541062801933,0.8760362901066716,0.8405797101449275,0.8419044030352496,0.9258454106280193,0.9303846108058602
7,0.8233695652173914,0.8335587042402821,0.8458498023715415,0.8543765609911876,0.9100790513833992,0.9119910254894955
8,0.8364038319823139,0.8541621871053723,0.8366494718742323,0.8415730517793683,0.9196757553426677,0.9238586418926906
9,0.8343453971338353,0.8535074550977778,0.8141850862278358,0.8172604399062138,0.9047850376487734,0.9091451286676046
10,0.8601449275362318,0.8772635909376622,0.8041062801932367,0.8015393198772058,0.9173913043478261,0.926499147638395
11,0.8238886174890083,0.8385178070523138,0.8404982901807523,0.8387014009907358,0.9171958964338056,0.917576462248862
12,0.8539325842696629,0.8620205608874849,0.810942843185149,0.8098505694114575,0.9110893991206643,0.9203701757413387
13,0.819980459208598,0.8241664454847513,0.8270639960918417,0.8206780234685958,0.8842208109428432,0.8893986321865647
14,0.8245962732919254,0.8330935121530036,0.8216149068322981,0.828055803344409,0.9028571428571428,0.9093457559965266
15,0.8050806057645334,0.8117225450542294,0.8160723009281876,0.8118064154885466,0.9013190034196384,0.9005546167632168
16,0.8151566674763177,0.8188117504510419,0.787223706582463,0.781906416857414,0.89288316735487,0.8959026979184107
17,0.8268156424581006,0.843296442710004,0.8486762205489434,0.8523596218065064,0.9254311391790139,0.9304705307689765
18,0.8470849802371542,0.865431494072268,0.8386857707509882,0.8364358780201133,0.9305830039525692,0.93635212715403
19,0.864975845410628,0.8753491494372783,0.8251207729468599,0.8249454426059156,0.9243961352657005,0.925638443075057
20,0.8214197985752886,0.8403119450171908,0.815033161385409,0.8128594781757216,0.8806190125276345,0.8907233322802817
21,0.8450012281994596,0.8643677893277819,0.8297715549005158,0.8289683744067927,0.9179562760992385,0.9282763029473616
22,0.858634928345883,0.8726196636547491,0.8321593393247511,0.8331898587928326,0.914257954821472,0.922760029833361
23,0.8417874396135265,0.8595321118963881,0.8142512077294686,0.8103198260969889,0.9057971014492754,0.9125827241552448
24,0.8500244259892525,0.8682563332395079,0.8348803126526624,0.8408321870488942,0.9274548119198828,0.9363844515750704
25,0.8457614768034977,0.8649907478045009,0.8387175127520039,0.8438683460512771,0.923973767306291,0.9283388989495347
26,0.8221787982413288,0.8378104426549292,0.8011724474841231,0.8036269766889368,0.898876404494382,0.9073180847963088
27,0.8280410356619443,0.844671476423017,0.8190034196384953,0.8167437230736793,0.9164631167562286,0.9263327263487037
28,0.8352272727272727,0.8488720386259511,0.8401679841897233,0.8444638515366139,0.9199604743083004,0.9218725675007444
29,0.8340579710144927,0.8551896899413777,0.8016908212560386,0.8003944636899365,0.9091787439613527,0.9157340818366619
mean,0.8363251334843051,0.8499464810181246,0.8228455856364388,0.8228003372831463,0.9108517809601483,0.9163481644631231
std,0.01462160869331935,0.01730594057566862,0.017590854704820136,0.019989753993460885,0.013789522668834445,0.014142606972666337
