loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.863768115942029,0.8612922524455755,0.7884057971014493,0.766035206519311,0.9420289855072463,0.947486939290218
2,0.9130434782608695,0.9261961996336996,0.7515527950310559,0.7094213886593288,0.9254658385093167,0.9321976624485531
3,0.8318840579710145,0.8282405479886595,0.7623188405797101,0.7335982130620557,0.8521739130434782,0.8489908273648379
4,0.8492753623188406,0.8585206343720762,0.8956521739130435,0.8992248062015503,0.9594202898550724,0.9568593745613485
5,0.8478260869565217,0.861370969114993,0.7204968944099379,0.7092943312646159,0.84472049689441,0.8638346362373428
6,0.7391304347826086,0.7551719919006266,0.782608695652174,0.7965491594677759,0.8985507246376812,0.9025894799632093
7,0.7971014492753623,0.8028383922279271,0.8,0.8065306686759914,0.8521739130434782,0.86286866359447
8,0.7565217391304347,0.7065218369733332,0.7420289855072464,0.7029767601580329,0.8608695652173913,0.8511045163561983
9,0.8173913043478261,0.8154641982363857,0.8405797101449275,0.8459309776144073,0.8782608695652174,0.8779683103125571
10,0.808695652173913,0.7881096065634414,0.9101449275362319,0.9183341858350172,0.9130434782608695,0.9062742092206602
11,0.8115942028985508,0.8015820230811075,0.8318840579710145,0.8312529890004782,0.9565217391304348,0.9512312898560606
12,0.8057971014492754,0.8271066668622731,0.7797101449275362,0.7692151016569164,0.8434782608695652,0.8427225847007583
13,0.8144927536231884,0.8132961531706674,0.7681159420289855,0.7611783450177763,0.8521739130434782,0.8601501608735078
14,0.8521739130434782,0.8543529455698228,0.8347826086956521,0.8430700271361279,0.9304347826086956,0.9359584517076656
15,0.8028985507246377,0.81807841183742,0.7913043478260869,0.806718262204074,0.863768115942029,0.8806682875418272
16,0.7478260869565218,0.7276671607932979,0.744927536231884,0.7371863548166142,0.8318840579710145,0.8340097262143251
17,0.8666666666666667,0.867031982354563,0.7043478260869566,0.6940504334121356,0.6753623188405797,0.6742832933356369
18,0.8695652173913043,0.8767299241875514,0.8869565217391304,0.8906052370077884,0.9855072463768116,0.9861390869030937
