loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.8200483091787439,0.8443419949026926,0.8084541062801932,0.8077136839203543,0.8956521739130435,0.9002971615072282
1,0.852562545542871,0.8618799706476205,0.8338596065095943,0.8322668700415838,0.9203303376244838,0.9233586244637852
2,0.8492916463116756,0.8707430857815328,0.8212017586712261,0.8242078404094265,0.9003419638495359,0.9077002024755009
3,0.8297303862035462,0.8338896054050915,0.8149137721641972,0.8103340610827494,0.9247024532426524,0.9264977874285794
4,0.8255984367366879,0.8337636075584938,0.8190034196384953,0.8158380524532508,0.912066438690767,0.9162328371798437
5,0.819980459208598,0.8286719133808473,0.8456277479237909,0.8441399182829061,0.912066438690767,0.9138280560412249
6,0.8344387128469664,0.8422826600779906,0.805698845492508,0.7942913958700323,0.899042004421518,0.9009987845350478
7,0.866617538688283,0.8821023810187897,0.8312453942520265,0.8352317402059719,0.9336772291820191,0.9379365355977952
8,0.8292445955793053,0.84411708392424,0.7789652659703667,0.7785221818249147,0.8768520767549186,0.8838317225391127
9,0.8422081094284318,0.8616149062859876,0.8392769907181241,0.843451092685491,0.9228138739618954,0.9259003879497663
10,0.8226284584980237,0.8292297534221638,0.8231225296442688,0.8228183990353081,0.9142786561264822,0.9181980649893281
11,0.8468490473864192,0.8564920693711986,0.8114313629702002,0.8146118910037788,0.9152418172936004,0.9201626214507075
12,0.8389328063241107,0.8603124075987447,0.8384387351778656,0.8479084961692448,0.9127964426877471,0.9166754777632955
13,0.8356669123065585,0.8528612130794645,0.8398427904691722,0.8394402348683929,0.9265536723163842,0.9328517593400787
14,0.8243771372740596,0.8377675555232333,0.8409868099658037,0.8436232139636429,0.9286761113825109,0.9321334861233674
15,0.8461162677088422,0.8583847568953082,0.8417195896433806,0.8454296038456789,0.907914020517831,0.9040801666244551
16,0.8317687747035574,0.8383783438518219,0.8391798418972332,0.8452978944850353,0.9127964426877471,0.9110351624597289
17,0.799407114624506,0.8066152345650908,0.8226284584980237,0.8196000411561501,0.8885869565217391,0.8880570361551141
18,0.8319164440126305,0.8472377739335442,0.8146708768520767,0.8198313455218965,0.9079426767063395,0.9152003711981
19,0.8513480689822687,0.8638666474283544,0.8292445955793053,0.8295915729407253,0.9268885110517368,0.9321715085369118
20,0.8453557312252964,0.8563705824690443,0.845108695652174,0.8510804813717574,0.924901185770751,0.9324217708552044
21,0.8378114313629702,0.8489774750276409,0.7955544699560332,0.794181068470092,0.8908158280410357,0.9004569284510747
22,0.7956276099238516,0.8034883968384114,0.7971014492753623,0.7812949274530147,0.8843036109064112,0.8856774146263066
23,0.8460043721156182,0.8559992962973627,0.8030119018702939,0.8051046789460499,0.9171726985669176,0.9193074864892667
24,0.8637357299004129,0.8796477654563403,0.8102987612339082,0.8123144086585503,0.9050279329608939,0.9089790524894744
25,0.8462472674277386,0.8642059958144936,0.8115132377945106,0.8125997220034927,0.8834102501821715,0.8943583173722907
26,0.8656788923973767,0.8808247116884844,0.8307019674520282,0.8301381298437575,0.8970123876609182,0.9048492277402049
27,0.8231722127762934,0.8361932911151422,0.807626912800583,0.8075272284283694,0.9047850376487734,0.9120569652637164
28,0.8343917928676111,0.848727012864245,0.8243771372740596,0.8356858451374721,0.9132877381533953,0.9203452436954672
29,0.8098129706096673,0.8209716326225218,0.8037405878066554,0.7940509192781853,0.8843818314306534,0.8826220291307962
mean,0.8355523260717639,0.8483319708281966,0.8209515873144487,0.8212708979785758,0.9081439599648549,0.912274073015759
std,0.01732873626770996,0.01955512071138346,0.016964195651618233,0.020258922187576845,0.01531731881621266,0.01544281612943725
