loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.884963768115942,0.8575645978851125,0.8245018115942029,0.7546043498129864,0.9467844202898551,0.9367785638956512
1,0.8920928136967785,0.8751487457456748,0.8348727190808741,0.7925955130364309,0.9319666591574679,0.921727702491891
2,0.9378238341968912,0.927884338817834,0.8256364045956296,0.7778841859601542,0.9436810092363145,0.9343666315657986
3,0.8965126811594203,0.8853341700219493,0.8442028985507246,0.7846578850403871,0.9177989130434783,0.9033913998067166
4,0.9333333333333333,0.9179648177664188,0.8280936454849498,0.7670858842510296,0.9431438127090301,0.9327698380785538
5,0.950214012164902,0.9407007747371625,0.8583014192385673,0.7899427894059384,0.9662086055417887,0.9598141957366388
6,0.9307065217391305,0.9192626202762497,0.8276721014492754,0.7711703801920695,0.941802536231884,0.9340089847871456
7,0.927461139896373,0.9082149103388029,0.8310430277089434,0.7874455547449666,0.9382743861230006,0.9242349805554405
8,0.8831661092530658,0.8681962492580858,0.8510590858416945,0.7789591399563507,0.919732441471572,0.9101015830348178
9,0.9453089244851258,0.9305422250939854,0.8585812356979405,0.7885385232302973,0.9533180778032037,0.9402238332352747
10,0.8935926773455377,0.8853333808477675,0.8336384439359268,0.7929842779440399,0.934096109839817,0.926558294081367
11,0.8788496376811594,0.8612767170669422,0.7792119565217391,0.7353007454212348,0.9069293478260869,0.9009179033472203
12,0.8996655518394648,0.8758136800783064,0.8372352285395763,0.7707683366137086,0.9464882943143813,0.9347614792174191
13,0.8769993241721108,0.8660471440357729,0.8429826537508448,0.7921949934938071,0.9098896147781032,0.8964219173075357
14,0.9251456745853878,0.9075175967382683,0.8375168086060063,0.7857038833881775,0.9554011653966831,0.9445054694514402
15,0.8598278985507246,0.836898474728327,0.8331068840579711,0.7848069846055397,0.8860960144927537,0.8719745040599525
16,0.892543365622888,0.8693683070484757,0.8459112412705564,0.8122427632049012,0.9504392881279567,0.9373429776490038
17,0.8949656750572083,0.8689762720127975,0.8370709382151029,0.78439145062894,0.9288329519450801,0.9101193265227474
18,0.9399909420289855,0.924485111490422,0.8657155797101449,0.8047280714054366,0.9533514492753623,0.940105377780229
19,0.8528947961252534,0.8262407761806322,0.8164000901103852,0.7410322339932252,0.884658706915972,0.8717256407006548
20,0.9499887362018473,0.939356976621532,0.8461365172336112,0.7986595154967107,0.949312908312683,0.93685013314209
21,0.8968236089209282,0.894652758779258,0.8058121198468123,0.7587270168885569,0.8988510925884208,0.8888855487540406
22,0.855072463768116,0.825744961033657,0.8154438405797102,0.7529174125496221,0.8668478260869565,0.8485096342079097
23,0.9213786888938951,0.9029889123979047,0.836674926785312,0.7791948546899969,0.943230457310205,0.9330021593035247
24,0.9100996376811594,0.8857627862981262,0.8170289855072463,0.7409924124489782,0.917572463768116,0.90346411088687
25,0.873641304347826,0.8564139213543369,0.8322010869565217,0.7743094845756688,0.9413496376811594,0.9286892012268851
26,0.920663379650381,0.8927274542462723,0.8437920215150156,0.7988877008212255,0.9576423128641864,0.9453421384683622
27,0.9308402793421942,0.9169699473561495,0.8450101374183374,0.7522606276506312,0.9391754899752196,0.9263317581820508
28,0.9436141304347826,0.9258615400595148,0.8213315217391305,0.7558322533702588,0.9438405797101449,0.9293757688503594
29,0.931907062341845,0.9121891878411809,0.8171152518978606,0.7504603770047891,0.9461697722567288,0.9278854894948568
mean,0.9076695990877552,0.8901813118718975,0.8331100194480204,0.7753093200608686,0.9320962115024538,0.9200062181940816
std,0.029287494634117478,0.03252231431786127,0.017251835328383505,0.020307499736818762,0.024025810902713912,0.025031317478550908
