loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.9289556252801434,0.9139684985882736,0.839309726580009,0.7933202006538151,0.950694755714926,0.9414322409590802
1,0.9321919351205227,0.9209021046864483,0.863708042351881,0.8130125553744729,0.9547195314259969,0.9459230807623318
2,0.8858695652173914,0.8626851532257098,0.8215579710144928,0.7694874617187538,0.9144021739130435,0.9036021743527501
3,0.9071557971014492,0.8836296105459416,0.8523550724637681,0.7898687522521539,0.9372735507246377,0.9228632446982236
4,0.9305244285073958,0.9149451508179381,0.8462572837292693,0.7943199163110894,0.9569699686239355,0.9501195809375123
5,0.8823397579560736,0.8609876106258054,0.816674137158225,0.7371043527547512,0.9060959211116092,0.8941541145388745
6,0.852444244199144,0.8273662575961029,0.7650371705339041,0.718637694527057,0.8878125703987385,0.8795303590543588
7,0.8969655797101449,0.8754946591615402,0.7905344202898551,0.7500235014391058,0.9010416666666666,0.890607364590695
8,0.9448073890515882,0.9287236471242531,0.8407298941202974,0.7975602561649632,0.9524667717954495,0.9439530828303253
9,0.9157190635451505,0.8988173179111418,0.8519509476031215,0.8053246425327278,0.9614269788182832,0.9542711460464709
10,0.9103118597769179,0.8877561694911722,0.8361028909628955,0.7698729659723207,0.9512861370361939,0.9343074260545388
11,0.8966537673571591,0.8812894980967434,0.8527202367402686,0.8038107995988049,0.9355793307534714,0.9217450837789971
12,0.9281464530892448,0.9136117756800048,0.8469107551487414,0.8017818848161272,0.9533180778032037,0.9379742410496312
13,0.967391304347826,0.9586938448109997,0.8700181159420289,0.8190257824313556,0.9737318840579711,0.9668428656835503
14,0.8688893895021401,0.8641416380779026,0.8317188555981077,0.7746643625777493,0.9085379589997747,0.8996586816494871
15,0.9191259292633476,0.9066022712048496,0.7724712773147105,0.7400281481218174,0.9015544041450777,0.9012794067753327
16,0.8805491990846682,0.8551401105862877,0.75720823798627,0.6911534570473343,0.8929061784897026,0.8873706446276224
17,0.9378556794900978,0.919019332424925,0.8656954245390394,0.8251402360687183,0.9449123605736399,0.9340131561829974
18,0.8162764771460423,0.7957718803599252,0.8432552954292085,0.7683845591268971,0.8860646599777035,0.8704116001345148
19,0.8740475123263111,0.8623363957702487,0.8375168086060063,0.7923701989421372,0.8809950694755715,0.8669878115323943
20,0.8355978260869565,0.8140259331361506,0.786911231884058,0.7449721428011602,0.8811141304347826,0.8731867412455812
21,0.8898400540662311,0.8841712296889872,0.8281144401892319,0.78009655123535,0.9015544041450777,0.8919912971431765
22,0.9098731884057971,0.8901984628732413,0.7914402173913043,0.7531183418214508,0.901947463768116,0.8973147893975966
23,0.8862356386573552,0.8617645675968157,0.7898175264699256,0.7348184795784822,0.8984005406623113,0.8892192106157978
24,0.7903079710144928,0.7737882689013247,0.7783061594202898,0.7178463464083793,0.8548460144927537,0.849196321329706
25,0.8408061594202898,0.8229093569616731,0.7740036231884058,0.7305294965514523,0.8663949275362319,0.8611294543527424
26,0.8218287763334827,0.8071001214711577,0.7799193186911699,0.7334565620184093,0.8870461676378306,0.8695784644508869
27,0.9400765938274386,0.919617612762734,0.8522189682360892,0.7826714088125549,0.9515656679432305,0.9425759384466661
28,0.9236865942028986,0.9129264249625331,0.8500905797101449,0.8010503405923535,0.9350090579710145,0.9312810912065714
29,0.8767740482090561,0.8645356349720357,0.8486145528272133,0.7950498594647808,0.9067357512953368,0.8990374471261845
mean,0.8930415935765585,0.8760973513370957,0.8227056394039978,0.770950041923884,0.9178801358797427,0.9083852687184865
std,0.04218726780862856,0.04363983649451312,0.034287859157074,0.03440815573015854,0.0321812173596589,0.032024692057284344
