loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.2589264027204275,0.06577441499015929,0.6536312849162011,0.6047249897162993,0.5936361428224435,0.5499534128008763
1,0.26714975845410627,0.05325406931043518,0.8028985507246377,0.771685169233908,0.720048309178744,0.6845360896831743
2,0.2215437225207621,0.09469592888757991,0.8033707865168539,0.7570326297105358,0.7581827063996092,0.714532591783386
3,0.26477772349780165,0.059736590090222176,0.8314606741573034,0.7819590519558856,0.7579384465070835,0.6753281018489188
4,0.24023581429624172,0.07910056431298178,0.7916973716531565,0.7264917435555405,0.7293048391058707,0.6748955862929271
5,0.24530632411067194,0.07771192473992605,0.8169466403162056,0.7425046067891531,0.7744565217391305,0.7189421149104288
6,0.22918201915991157,0.09693534857887012,0.711864406779661,0.6706126610550689,0.6715794645050356,0.6349933072348464
7,0.26257938446507084,0.05901644169713757,0.7261846604787494,0.6777377359287933,0.6790425012212995,0.6382295118847638
8,0.2632985183385961,0.055169364546511813,0.7971824143794025,0.7523812360105708,0.750546514452271,0.7039172301241545
9,0.2482707509881423,0.07965944644146322,0.75,0.6884208680981163,0.7443181818181818,0.6881557292617126
10,0.26742773864464414,0.06294121541906436,0.8056837503036192,0.7627249816141213,0.7595336410007287,0.718303371243592
11,0.24670249145090375,0.08890143057534158,0.8172936003908158,0.7682112473564281,0.7616023448949683,0.6987514806900176
12,0.2293600390815828,0.08971611048805439,0.7647777234978017,0.7255893857808473,0.7125061064973132,0.6775272392183707
13,0.27503663898387887,0.09796991132920504,0.7765021983390328,0.735230216857907,0.7327796775769418,0.684620538376296
14,0.2418172936003908,0.0982480938590336,0.7540302882266732,0.7187174147557057,0.7220322423058134,0.6791280701989736
15,0.23717635564240352,0.10025355478107933,0.8412310698583293,0.7676833370858167,0.7989741084513923,0.7287460059559208
16,0.26479980348808646,0.08212115876686071,0.7450257921886514,0.6857022979987419,0.7126013264554164,0.6563869925479716
17,0.2679931220830263,0.05459880113654567,0.7853107344632768,0.7309292340535115,0.7457627118644068,0.6985588545194277
18,0.26256983240223464,0.09845364606514863,0.7835802769006558,0.7358711840666636,0.7439883410250182,0.7066537212388635
19,0.25280898876404495,0.07005370066869195,0.8277967757694187,0.7661330676410852,0.7699071812408402,0.7058020546463396
20,0.26208404177799366,0.08073293357004367,0.8413893611853291,0.7806019186200909,0.7809084284673306,0.7197125963967089
21,0.2613553558416323,0.0673114122523801,0.7947534612581977,0.7416440924167467,0.7376730629098859,0.7045680804467835
22,0.2711284807034685,0.1046350643150555,0.7635564240351734,0.7154596021803334,0.7122618466047875,0.6577926251310232
23,0.1966403162055336,0.07143172306628415,0.7072628458498024,0.6699171579863328,0.6847826086956522,0.6526258507452608
24,0.26624328285295557,0.05774228867598201,0.7933561309233024,0.7591932133140858,0.7398632144601857,0.7049722932768997
25,0.23949477775078942,0.08860727892950103,0.8336167111974739,0.7764196146930236,0.7942676706339568,0.734868120442344
26,0.27403726708074533,0.05586159605821359,0.84,0.7982639518077852,0.8077018633540373,0.7450140409246273
27,0.2564728871519297,0.06157336583978909,0.8148510014655593,0.7483487192324081,0.7713727405959941,0.7023447885125461
28,0.25674034491134323,0.08188618769059733,0.8258440612096186,0.7728210042392102,0.7643915472431382,0.7138380620005738
29,0.2608695652173913,0.06240782009193452,0.7418022832159339,0.689461514193934,0.7002671848433325,0.6548477076012497
mean,0.253067634739557,0.07655004623913644,0.7847633760066947,0.7340824615982882,0.7377410492290271,0.6876182056646325
std,0.017657756228046082,0.016403930297165668,0.04566953325314269,0.04332920369430511,0.04374040806159557,0.03824593576909512
