loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.927536231884058,0.9224160820708136,0.9014492753623189,0.8099605630890353,0.9681159420289855,0.9434682977118835
2,0.9449275362318841,0.9176260789934405,0.7536231884057971,0.6367849844037183,0.9217391304347826,0.881561840554774
3,0.9768115942028985,0.9781981580510992,0.8318840579710145,0.7505139074053682,0.9942028985507246,0.9948399323379911
4,0.9681159420289855,0.9573383620490454,0.8521739130434782,0.7555908053457072,0.991304347826087,0.9853950607584329
5,0.7507246376811594,0.7631815524230385,0.7594202898550725,0.6897589204632492,0.9043478260869565,0.8939058035560665
6,0.9855072463768116,0.9817586052738356,0.7739130434782608,0.7157711716855588,0.9565217391304348,0.9479116748170666
7,0.9420289855072463,0.9054283716467836,0.8898550724637682,0.786624540924934,0.9710144927536232,0.9594520915823282
8,0.26666666666666666,0.18598484848484848,0.15942028985507245,0.19310115254887802,0.28695652173913044,0.20645609591660757
9,0.9130434782608695,0.9069940476190477,0.8927536231884058,0.837945477904783,0.8753623188405797,0.8664578336020277
10,0.9304347826086956,0.9537037037037037,0.7536231884057971,0.7098701854476805,0.8869565217391304,0.8981801071751039
11,0.927536231884058,0.9206087426111846,0.8927536231884058,0.8248527602368989,0.936231884057971,0.9322665655610288
12,0.9623188405797102,0.9582794519534579,0.855072463768116,0.72691152826084,0.9391304347826087,0.9208862217655941
13,0.8115942028985508,0.778251411151548,0.863768115942029,0.7794046127820535,0.9739130434782609,0.9642292231577946
14,0.9681159420289855,0.9575570620663165,0.9072463768115943,0.8729427861268717,0.9855072463768116,0.9816114816114816
15,0.8521739130434782,0.7759166787282288,0.8463768115942029,0.830496006318548,0.8985507246376812,0.887040072859745
16,0.8354037267080745,0.7050607928656709,0.7204968944099379,0.5051439619558248,0.8385093167701864,0.7115131624789219
17,0.9739130434782609,0.9600857050580163,0.8869565217391304,0.8297704201523374,0.991304347826087,0.9886194952993568
18,0.9652173913043478,0.9493642993642994,0.8492753623188406,0.7591744916480513,0.9391304347826087,0.9083701212223252
19,0.6695652173913044,0.6856959607428288,0.7681159420289855,0.6362969462095434,0.8028985507246377,0.7893862725701825
20,0.9797101449275363,0.9729829507316419,0.9217391304347826,0.9025567529912,0.9623188405797102,0.9505653715996356
21,0.9130434782608695,0.832509330946831,0.7913043478260869,0.6945993071390671,0.9797101449275363,0.972931925879954
22,0.9797101449275363,0.9715296198054819,0.8405797101449275,0.7579744941768729,0.9072463768115943,0.9133146698604971
23,0.7942028985507247,0.8224400618731345,0.7536231884057971,0.6922098247567466,0.881159420289855,0.9058436049681087
24,0.9217391304347826,0.9201007898430319,0.808695652173913,0.7924210723893106,0.9884057971014493,0.9859279946918864
25,0.9043478260869565,0.8445174204794259,0.7507246376811594,0.642958953189642,0.9014492753623189,0.8018530644136059
26,0.9658385093167702,0.8402832841431361,0.7577639751552795,0.7591760046527295,0.937888198757764,0.8458884053298947
27,0.9937888198757764,0.9919774937934946,0.8322981366459627,0.6771933015827365,0.9751552795031055,0.9705783597650323
28,0.8996655518394648,0.7666693127760286,0.9063545150501672,0.8664746303316374,0.939799331103679,0.7247539490808693
29,0.7681159420289855,0.5789379877559802,0.8318840579710145,0.7892101979163931,0.8840579710144928,0.7998841271818539
30,0.9971014492753624,0.9963229416466827,0.863768115942029,0.8098421727936914,0.9942028985507246,0.9911014801297648
31,0.9188405797101449,0.9116899585921325,0.8463768115942029,0.7456052085469929,0.9101449275362319,0.8902502921614285
32,0.9594202898550724,0.9474191803994119,0.8927536231884058,0.8488325235141737,0.9797101449275363,0.9713683998647673
33,0.9826086956521739,0.9760416666666667,0.7275362318840579,0.6894086423048,0.9942028985507246,0.9891098484848485
34,0.6782608695652174,0.7346624630943839,0.7304347826086957,0.5716828030798106,0.8376811594202899,0.8037511796033416
35,0.8492753623188406,0.8067331263760549,0.6086956521739131,0.42812921286026306,0.8028985507246377,0.7430429194007022
36,0.9751552795031055,0.9653592550976857,0.782608695652174,0.6636833425016566,0.8322981366459627,0.7099454300286322
mean,0.890346127302649,0.8623229655244004,0.8001477588434112,0.7217464907677112,0.9102785298437472,0.8786572882495426
std,0.1375830878605096,0.15489683657733896,0.13011236730618786,0.13571354968368923,0.12089656892591391,0.14376868555346214
