loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.9161835748792271,0.8978593249952289,0.8490338164251208,0.7960379634711121,0.9359903381642513,0.9213180246170716
1,0.9371161876688774,0.9121097982701301,0.8133136821419799,0.742264988329401,0.9570130189142717,0.9446539097204318
2,0.8931260626669906,0.8734567142015364,0.8336167111974739,0.7706876309899278,0.9254311391790139,0.9065763473349572
3,0.920371275036639,0.8942926069339989,0.830972154372252,0.7475561185969023,0.9555446995603322,0.941251519955508
4,0.9257449926722032,0.9051780943848986,0.8121641426477773,0.7460915350241215,0.9171958964338056,0.9008296034763277
5,0.9159745969711773,0.8948984097175052,0.8180263800683928,0.7660948725524244,0.9506595017098193,0.9392885237801463
6,0.9350241545893719,0.9203874185513927,0.8256038647342995,0.7747148117580833,0.9282608695652174,0.9089599606207914
7,0.9371161876688774,0.9194312934868116,0.8214197985752886,0.76615758925431,0.9481699828052076,0.9334639649888571
8,0.9450931677018634,0.923528334095942,0.8099378881987578,0.7376404028384584,0.9532919254658385,0.9375161006799922
9,0.9262335124572545,0.9034235607614827,0.8356130923302394,0.7594928015572264,0.9501709819247679,0.9293795346956703
10,0.9533284205354949,0.9374066240696386,0.8452468680913781,0.7905760131314796,0.9543109801031687,0.9335353876643091
11,0.9340579710144927,0.9247004055169123,0.8659420289855072,0.8109484531465783,0.9531400966183575,0.9431000131323126
12,0.9135292688851105,0.8929753560543083,0.8192858877823658,0.7426745396509067,0.9334466844789896,0.9204502584067145
13,0.8949682462139716,0.8688380345420497,0.8390327308255985,0.7973621428392479,0.9540791402051783,0.9381081862193491
14,0.9487922705314009,0.9294841176898874,0.8258454106280193,0.7581834723928613,0.9589371980676329,0.9476459089478599
15,0.9330727894479727,0.9100647484074886,0.810942843185149,0.7451681933000134,0.9465070835368833,0.9242927265852077
16,0.9338055691255496,0.9113109280109654,0.8138739618954568,0.760162473164216,0.9599413776257938,0.9418856402612141
17,0.9389350268685882,0.9216650979586065,0.835857352222765,0.7886502883569393,0.953590620420127,0.9427681245127186
18,0.9487054225696141,0.9318209017807717,0.8549096238397655,0.7987203408978963,0.9548119198827553,0.9381539806846394
19,0.9466403162055336,0.9301542198680217,0.8273221343873518,0.7688220648806329,0.967391304347826,0.9538951810843975
20,0.8639472398632144,0.8559964939620801,0.8229115779189057,0.7725979004524703,0.8961895456765999,0.885129817735421
21,0.8898387884709331,0.8717912742701805,0.8238886174890083,0.7685904495515706,0.9345383488031265,0.9187070403208064
22,0.9483695652173914,0.935041592476801,0.841897233201581,0.7847360020548309,0.9493577075098815,0.9330956176142566
23,0.9200874423123634,0.9038481418413515,0.8302161768277873,0.7689844388020899,0.9519067282001458,0.9324002396423527
24,0.9468059266456157,0.9325473685377459,0.843332523682293,0.8002135952582514,0.9613796453728443,0.9470144725986236
25,0.9303859306301905,0.9094765050056255,0.8417195896433806,0.7966261642760661,0.940400586223742,0.9243523274339107
26,0.8956030459346598,0.8802448647031187,0.8231392778187178,0.7337413039066527,0.9253254728567919,0.9088698324817961
27,0.9222735001214477,0.9047567526815918,0.8348311877580763,0.7713558652923813,0.9584649016273986,0.9461355938403595
28,0.9200874423123634,0.9053092600004917,0.8231722127762934,0.763969148543016,0.9485061938304591,0.9357265048082851
29,0.9443087445041524,0.928572386083714,0.8439179286761114,0.8035641784255305,0.9670249145090376,0.9596077803301484
mean,0.9259842213240849,0.9076856876286762,0.8305662232775698,0.77107952475652,0.946365960120642,0.9312704041391481
std,0.02127467902208113,0.021518661825927498,0.013786192190543719,0.021694315935110835,0.015787795447824833,0.016698462300835427
