loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.9393496529046401,0.9254913716101587,0.835221044939715,0.7788115854217355,0.9251004749725977,0.9105789793269461
1,0.825356229448301,0.8135900511391128,0.7044208987943004,0.678212358570383,0.8472780416514432,0.8364588255419312
2,0.8989130434782608,0.8956146329095953,0.8380434782608696,0.7964925694397913,0.9170289855072464,0.9069374110381495
3,0.9119473876507125,0.9020578470685465,0.845816587504567,0.811408767984807,0.927658019729631,0.9147427800633389
4,0.8592483419307295,0.8469968769668591,0.7586588061901253,0.7074366756049009,0.8540899042004422,0.8467572811505869
5,0.8916728076639646,0.8809529831916243,0.7663964627855564,0.7042563239479609,0.8817243920412675,0.8600320702407168
6,0.9557971014492753,0.9508182820455742,0.8010869565217391,0.7447496204207869,0.9090579710144927,0.8975087352601193
7,0.9276611694152923,0.8925736545247318,0.818215892053973,0.7489250115105277,0.9122938530734632,0.8816199798678239
8,0.8856412130069419,0.8744167234572581,0.7858969674826453,0.7245878406911319,0.8604311289733284,0.8359896675292411
9,0.9449275362318841,0.9393745546973088,0.8467391304347827,0.7639557801691363,0.9144927536231884,0.8996724661047706
10,0.7654366094263793,0.7303056177884414,0.7146510778224333,0.6908338040824714,0.8399707709170625,0.8166285357663947
11,0.864362690449647,0.8490854130380394,0.7302118171683389,0.6763524920666799,0.867335562987737,0.858994244588533
12,0.8786993058092802,0.8484446847514965,0.8523931311655096,0.8220229905813653,0.8706613080014615,0.834361148581746
13,0.9235507246376812,0.9049685212836528,0.8452898550724638,0.7730170850710348,0.9311594202898551,0.9073706856282018
14,0.8976982097186701,0.8803743402770129,0.7840701497990501,0.7400121154423801,0.9225429302155644,0.9026302433513115
15,0.8706521739130435,0.853552250843568,0.8442028985507246,0.7913460034896224,0.8735507246376811,0.851487712549861
16,0.8881987577639752,0.8660390505322005,0.7782243332115455,0.711158356125719,0.906832298136646,0.8872695099790799
17,0.8851449275362319,0.8675513784167042,0.8228260869565217,0.7699056548661105,0.902536231884058,0.8857885633347369
18,0.8260869565217391,0.8156138700456135,0.8195104128607965,0.7610667061676815,0.8293752283522104,0.8133188527594228
19,0.9119380987472365,0.8809763207370815,0.762343404568902,0.7041965030887167,0.9060427413411938,0.8814919743570682
20,0.9206521739130434,0.9049716129692343,0.8028985507246377,0.7329512106293029,0.9144927536231884,0.9016981456117137
21,0.9210814760686884,0.9104146436421574,0.8092802338326635,0.7659824745831352,0.9130434782608695,0.9010037164043576
22,0.9303610906411202,0.9241664050996792,0.846352247605011,0.785840976134881,0.9292557111274871,0.9153035556392983
23,0.9112318840579711,0.9068173848525021,0.8032608695652174,0.735616908201712,0.9141304347826087,0.902559360107011
24,0.9355195283714075,0.913957395533933,0.816138540899042,0.7620503957658871,0.9314664701547531,0.9060567715432761
25,0.8992753623188405,0.880137166852759,0.8344202898550724,0.7826950240702393,0.8952898550724637,0.8780631805586161
26,0.869927536231884,0.8617653278286734,0.8177536231884058,0.7397863491173302,0.894927536231884,0.8853982188168694
27,0.882943143812709,0.8710197523573237,0.8171683389074693,0.7752770015677843,0.935340022296544,0.9188639700223328
28,0.9247351114358787,0.9000138221996058,0.8195104128607965,0.7706998095688543,0.9386189258312021,0.9175776391838614
29,0.8434782608695652,0.8313331986195092,0.7652173913043478,0.7291340087210674,0.8507246376811595,0.8492200777633869
mean,0.8930496168474998,0.8774465045093319,0.8028739963629072,0.7492927467701045,0.8972150855537576,0.8801794767556902
std,0.04112582767635979,0.04377352433822154,0.04029255049431254,0.03810587439295491,0.031683859965089226,0.031784709187080866
