loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.8519936922730345,0.8307813162080804,0.7850867312457761,0.7479102458738917,0.8760982203198918,0.8629911502117285
1,0.9211534129308403,0.9076248105507541,0.857625591349403,0.7926873172678874,0.9623789141698581,0.9547164247348956
2,0.921875,0.9007553752855774,0.8591485507246377,0.8215729356823558,0.9515398550724637,0.9338780337436863
3,0.8468123451227754,0.7969907047945337,0.8267627844109033,0.7459344549627697,0.9319666591574679,0.9105940571891709
4,0.9058718063648588,0.8829062487805246,0.8397579560735097,0.7780873341390895,0.923352756611385,0.9038053466144843
5,0.8363305258365582,0.8164741718853983,0.7703164124743911,0.6914560011272275,0.8693375825176417,0.8532689921966201
6,0.9034559643255295,0.8983579019026415,0.8303232998885173,0.7645883695411194,0.9128205128205128,0.9036165534800489
7,0.8941202973642712,0.8878097748725342,0.8256364045956296,0.7440763696511826,0.9069610272583916,0.8949200858096186
8,0.9352308381891529,0.9245237351409262,0.8388614970865083,0.7860659825305008,0.95338413267593,0.9397710004614738
9,0.844016136261766,0.8226476344818681,0.7814881219184222,0.7367725418473694,0.8637382339757956,0.8535466969997432
10,0.9245923913043478,0.9100964251122077,0.8358242753623188,0.7860794628353776,0.9404438405797102,0.9212400644136981
11,0.958999774724037,0.9504865334478179,0.8175264699256589,0.7746079259433103,0.9551700833521063,0.9475977377688556
12,0.8940217391304348,0.8795279067058392,0.8190670289855072,0.7557611390825458,0.9177989130434783,0.8950518580266571
13,0.9415060510981622,0.9261266891303984,0.8563424473330346,0.8086718186985676,0.9603316898251905,0.9469715287769777
14,0.8101525153653539,0.7953959822664751,0.7776007284315957,0.7186213501577856,0.8611427270657864,0.8484473251600779
15,0.8804347826086957,0.859256076375741,0.8430706521739131,0.7858019490539585,0.9393115942028986,0.9244991173105608
16,0.9572010869565217,0.9540925255248472,0.8421648550724637,0.8040128604147175,0.9470108695652174,0.9424119596217001
17,0.9417301658449126,0.926048240134158,0.8135365307037203,0.741149886917069,0.9502465262214254,0.9385411986847031
18,0.8489466606902735,0.837263908356341,0.8574630210667862,0.7890614529939111,0.8857014791573286,0.8730046665693587
19,0.9373732822707818,0.9217036063298991,0.84275737778779,0.7657599780893339,0.9515656679432305,0.9389782988718783
20,0.8668478260869565,0.8510962266924063,0.845108695652174,0.788246014775136,0.8734148550724637,0.8530159262976102
21,0.872030479605558,0.8553389806936587,0.8283281039892425,0.7831352159742926,0.8774092335275662,0.8636976041009632
22,0.8317188555981077,0.8137335551744356,0.792070286100473,0.7503622522432141,0.850642036494706,0.84134500970608
23,0.923059412702026,0.9009615958490901,0.8281356703847029,0.7697462352177125,0.9572046437514227,0.9450192694572036
24,0.9533678756476683,0.9470783501582762,0.8411804460464068,0.8008522504100303,0.9583239468348728,0.9502559362894623
25,0.9212814645308924,0.9002578264913426,0.817162471395881,0.7662273022510002,0.9334096109839817,0.9203429753522846
26,0.9345584939489019,0.9197628877218771,0.8357238906320036,0.7871676731917667,0.9598834603316898,0.9513982474368814
27,0.8546195652173914,0.8329848348081152,0.7674365942028986,0.722392010410337,0.8831521739130435,0.8647828134541464
28,0.9125905797101449,0.885104625392623,0.8217844202898551,0.7690671909215943,0.9341032608695652,0.9165314509944489
29,0.8564311594202898,0.8444646460566754,0.8349184782608695,0.7815730098124181,0.8872282608695652,0.8757891058791262
mean,0.8960774727043415,0.8793217698775019,0.8244069931188333,0.7685816177339159,0.9191690922728196,0.9056676811871379
std,0.04279510382530501,0.04669678975654348,0.02630562620586755,0.028929540073047377,0.03662927724786501,0.03762232375763359
