loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.9072463768115943,0.9089097683112963,0.9478260869565217,0.9140460592634989,0.9797101449275363,0.9749576732568037
2,0.2927536231884058,0.24779962314672485,0.7942028985507247,0.6671296516031451,0.391304347826087,0.35555585842341336
3,0.8975155279503105,0.8002960929753904,0.7950310559006211,0.679291956151861,0.8975155279503105,0.8901740294399415
4,0.9594202898550724,0.9434715742804202,0.8608695652173913,0.7722876617044667,0.9884057971014493,0.9855072463768115
5,1.0,1.0,0.8898550724637682,0.8253624218104901,1.0,1.0
6,0.9130434782608695,0.8188532334873797,0.7795031055900621,0.6227925616250489,0.9316770186335404,0.917874017696895
7,0.9043478260869565,0.8466519081429824,0.7681159420289855,0.6736852087919423,0.9478260869565217,0.9330859051321381
8,0.9797101449275363,0.9655587549705196,0.8724637681159421,0.8127775676191937,0.9710144927536232,0.9527758646760224
9,0.9623188405797102,0.9565101894103263,0.8347826086956521,0.8074547636510002,0.9536231884057971,0.9156454378718673
10,0.9884057971014493,0.9845741113346747,0.8927536231884058,0.8281539538604995,0.9652173913043478,0.9527348083791806
11,0.9826086956521739,0.9794029850746269,0.8231884057971014,0.6778784930568154,0.9507246376811594,0.9015293825336987
12,0.8434782608695652,0.7506306927300201,0.7594202898550725,0.7011876557306869,0.9652173913043478,0.9574809347461651
13,0.991304347826087,0.989273722173859,0.863768115942029,0.7834601929460085,0.9855072463768116,0.9829260221390432
14,0.8347826086956521,0.6877874053807489,0.8318840579710145,0.7150089774516013,0.7942028985507247,0.7872532010011366
15,0.9507246376811594,0.9256114137922976,0.808695652173913,0.7323588142486146,0.9391304347826087,0.9089905045314971
16,0.9478260869565217,0.9052197802197802,0.8318840579710145,0.7823724114759147,0.9797101449275363,0.9712736272283332
17,0.9739130434782609,0.9640620873379495,0.7275362318840579,0.7051485642376121,0.9623188405797102,0.9598981434149099
18,0.8463768115942029,0.8501123369313468,0.8289855072463768,0.7686284929977062,0.8318840579710145,0.8384387347019295
19,0.391304347826087,0.2508727721342888,0.8492753623188406,0.7354401055293913,0.855072463768116,0.7622145567347595
20,0.9826086956521739,0.9865897779057107,0.8869565217391304,0.8207911039732065,0.9652173913043478,0.9539373491472032
21,0.9478260869565217,0.9283618667917448,0.8666666666666667,0.7689987221811898,0.9768115942028985,0.9691175454707995
22,0.9768115942028985,0.9769374475856728,0.8521739130434782,0.7573874747524041,0.991304347826087,0.9853219745286943
23,0.6550724637681159,0.6792600740633584,0.7942028985507247,0.7484947901947171,0.8782608695652174,0.8716077389527175
24,0.9768115942028985,0.9752120835919719,0.9130434782608695,0.8991791949906909,0.9681159420289855,0.9586753149273154
25,0.9971014492753624,0.9965465465465466,0.7797101449275362,0.7289419508766144,0.9449275362318841,0.9396429605417694
26,0.9565217391304348,0.9429202730544484,0.9409937888198758,0.9241566780737287,0.9813664596273292,0.9842669291361444
27,0.9565217391304348,0.9260590647344578,0.881159420289855,0.8068770370222067,0.9652173913043478,0.9533925791385574
28,0.3101449275362319,0.25245098039215685,0.15072463768115943,0.18528335322488199,0.2898550724637681,0.29777420534239185
29,0.9072463768115943,0.9003160074098289,0.8898550724637682,0.8378425523606972,0.8782608695652174,0.8678481497872932
30,0.9333333333333333,0.9571428571428572,0.7507246376811594,0.7056482960149082,0.9043478260869565,0.9242216591536498
31,0.936231884057971,0.9294084821428572,0.9043478260869565,0.851327886199237,0.9768115942028985,0.9714468050065876
32,0.9391304347826087,0.9289542900788403,0.863768115942029,0.7627308972197155,0.9739130434782609,0.9636902512720005
33,0.9391304347826087,0.905560297058238,0.863768115942029,0.7990212436880721,0.9884057971014493,0.9827760891590678
34,0.991304347826087,0.9886194952993568,0.9101449275362319,0.8785819476957698,0.991304347826087,0.98729825428195
35,0.855072463768116,0.7833828419415285,0.8463768115942029,0.829663343180618,0.9101449275362319,0.8996584639944819
36,0.8354037267080745,0.703672476948339,0.7267080745341615,0.4964211076280042,0.8571428571428571,0.7321428571428572
37,0.9768115942028985,0.9709605137217165,0.8492753623188406,0.7352199695528499,0.9739130434782609,0.9629576819933823
38,0.9739130434782609,0.9648760085429521,0.927536231884058,0.8932278425909741,1.0,1.0
39,0.9797101449275363,0.9733398251040593,0.8318840579710145,0.7144106885178314,0.9652173913043478,0.9498183586270834
40,0.8347826086956521,0.7435460252242319,0.736231884057971,0.5995438533027329,0.9333333333333333,0.9244948759099567
41,0.9681159420289855,0.958561828513081,0.9333333333333333,0.9063074750445381,0.9855072463768116,0.9818061897063265
42,0.9623188405797102,0.9502671375613936,0.8376811594202899,0.76465768894224,0.9739130434782609,0.960651203954861
43,0.9884057971014493,0.9851660418459033,0.7884057971014493,0.7253385247640353,0.991304347826087,0.9893160955813554
44,0.7884057971014493,0.820741700174151,0.7942028985507247,0.7301641727683921,0.9304347826086956,0.9522187871329656
45,0.9739130434782609,0.9619415333701049,0.8231884057971014,0.7200432020553972,0.9565217391304348,0.9301222837519458
46,0.9565217391304348,0.9519900946511116,0.8666666666666667,0.820228280839105,0.9884057971014493,0.9857331135327199
47,1.0,1.0,0.922360248447205,0.8754628757496788,1.0,1.0
48,0.9333333333333333,0.8827467181205217,0.7623188405797101,0.692344426263121,0.9043478260869565,0.8241235528020594
49,0.9596273291925466,0.8462103468226959,0.7950310559006211,0.7729494661101216,0.9440993788819876,0.8357440211003531
50,0.9813664596273292,0.9828096596082208,0.8322981366459627,0.7153370192338139,0.9875776397515528,0.9846834939631691
51,0.9632107023411371,0.9589080796187379,0.8762541806020067,0.8352340117172653,0.9264214046822743,0.725596044243589
52,0.881159420289855,0.7656471004243282,0.8492753623188406,0.831736212518515,0.9623188405797102,0.9511094136974356
53,1.0,1.0,0.8579710144927536,0.7749420921893648,0.9797101449275363,0.9759739722014025
54,0.9246376811594202,0.9248409267863509,0.881159420289855,0.8514489090153983,0.9565217391304348,0.9592292673088711
55,0.8898550724637682,0.8494390147247171,0.8521739130434782,0.7607745032691671,0.9739130434782609,0.9698526039588347
56,0.9507246376811594,0.9370995768265737,0.9420289855072463,0.9095749919815976,0.9768115942028985,0.9640114767332983
57,0.9855072463768116,0.9803854681903462,0.8376811594202899,0.7774630515367926,0.9507246376811594,0.9368414471671036
58,0.7681159420289855,0.7661885888140675,0.8173913043478261,0.685371607335659,0.9246376811594202,0.8888027656652062
59,0.9130434782608695,0.9090897727417485,0.881159420289855,0.8157145436546829,0.9855072463768116,0.982227153546408
60,0.9942028985507246,0.9891098484848485,0.7623188405797101,0.600880328140619,0.9652173913043478,0.9502776161996309
61,0.8608695652173913,0.825474813973851,0.7391304347826086,0.6330325594337227,0.8521739130434782,0.7963638992496923
62,0.9906832298136646,0.9897804502746637,0.7608695652173914,0.6438390753765211,0.953416149068323,0.9461500393495431
mean,0.9042353158762695,0.8778405546555311,0.8280515183740991,0.7546945236280048,0.9302164408756275,0.911600652139439
std,0.14601849977250717,0.16611213794686616,0.10441647540363314,0.11357687718683569,0.11756853650104648,0.12596864587873371
