loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
0,0.48851978505129456,0.4744580031455809,0.5850024425989253,0.5816707170840346,0.6746458231558378,0.6519296531509526,0.6457890467531574,0.6519296531509526,0.6457890467531574
1,0.4843332523682293,0.47891339901885377,0.4874908914257955,0.48173209152684077,0.680106873937333,0.5975224678163712,0.5897205630931918,0.5975224678163712,0.5897205630931918
2,0.48287588049550645,0.45970649781507444,0.5846490162739859,0.5752459722755107,0.6793781880009716,0.659217877094972,0.6465137833164107,0.659217877094972,0.6465137833164107
3,0.46213971665852466,0.4420249289188788,0.6416707376648755,0.640362965228867,0.7552515876893015,0.7044455300439668,0.6945809383438133,0.7044455300439668,0.6945809383438133
4,0.44546583850931676,0.43022870226439486,0.5118012422360249,0.5051846157938927,0.6849689440993789,0.5935403726708075,0.5809923642472818,0.5935403726708075,0.5809923642472818
5,0.48729848558866634,0.47660407138488664,0.5979482169027845,0.5959661417946922,0.6875915974596971,0.672447484123107,0.665024152261106,0.672447484123107,0.665024152261106
6,0.49047386419149974,0.4844775523021695,0.6521739130434783,0.6463605756270376,0.7107962872496336,0.7169027845627748,0.7116214187166281,0.7169027845627748,0.7116214187166281
7,0.5056179775280899,0.4950047456104412,0.6314118221787982,0.6311683458116331,0.723009281875916,0.7073766487542745,0.7022691862828029,0.7073766487542745,0.7022691862828029
8,0.39276990718124083,0.3773027842145235,0.6165119687347338,0.6123652658833635,0.7940889106008794,0.65095261358085,0.6398548917035567,0.65095261358085,0.6398548917035567
9,0.48096290837632033,0.4722764361967105,0.5956767379022353,0.5949140609424035,0.7256202407270941,0.6843527388847949,0.6793466785820392,0.6843527388847949,0.6793466785820392
10,0.4296818071411222,0.4246451781928939,0.4423123633713869,0.44226486935823767,0.6293417537041535,0.5693466116103959,0.5614163628450775,0.5693466116103959,0.5614163628450775
11,0.4615010930289045,0.4642459654733374,0.537770221034734,0.5392279859222462,0.6956521739130435,0.6106388146708769,0.6067520497271789,0.6106388146708769,0.6067520497271789
12,0.5349291646311676,0.5268900812652704,0.43575964826575475,0.42958246790428917,0.722276502198339,0.6257938446507083,0.61722294188115,0.6257938446507083,0.61722294188115
13,0.48851978505129456,0.48352987992866425,0.5437225207620908,0.5367882644757699,0.714704445530044,0.6404494382022472,0.631240291388609,0.6404494382022472,0.631240291388609
14,0.4064484611626771,0.3973206849071922,0.49193942354665365,0.48006804164559486,0.6487542745481192,0.5639960918417196,0.5482077028582306,0.5639960918417196,0.5482077028582306
15,0.47947534612581977,0.4699084880074038,0.6424581005586593,0.6392981646420671,0.7041535098372601,0.7223706582462959,0.714609417186862,0.7223706582462959,0.714609417186862
16,0.43478260869565216,0.42198762076601276,0.4885777450257922,0.48762302924042816,0.6954065340211251,0.5821665438467207,0.5707684304302195,0.5821665438467207,0.5707684304302195
17,0.46622451486121347,0.45917930108877963,0.2547285679194301,0.2452295706016619,0.8251043969540653,0.48882338491771066,0.47342053882115454,0.48882338491771066,0.47342053882115454
18,0.5210144927536232,0.5110680712213526,0.5543478260869565,0.5495976354251143,0.6801932367149759,0.6541062801932367,0.6460442137930132,0.6541062801932367,0.6460442137930132
19,0.43769735244109786,0.42729276570967833,0.4143794024775322,0.41118505046931,0.6436725771192616,0.5423852319650231,0.5322603699830837,0.5423852319650231,0.5322603699830837
20,0.4986640757833374,0.48648199916929996,0.39761962594121936,0.3919626027553263,0.7388875394704882,0.5691037162982755,0.5583496421552793,0.5691037162982755,0.5583496421552793
21,0.4611180124223602,0.44875716670863824,0.6181366459627329,0.6120062434302908,0.7267080745341615,0.6797515527950311,0.6675697163925397,0.6797515527950311,0.6675697163925397
22,0.5013359242166626,0.48360388427633433,0.4619868836531455,0.45050499646864217,0.7138693223220792,0.6043235365557444,0.5902980457080061,0.6043235365557444,0.5902980457080061
23,0.4748792270531401,0.4567297083404866,0.49444444444444446,0.4852309330565773,0.6729468599033817,0.5756038647342995,0.5582465964316075,0.5756038647342995,0.5582465964316075
24,0.44141488577745025,0.4299927120500896,0.5885531810366004,0.5844535714311113,0.7040039302382707,0.6312945222304103,0.6221687487020846,0.6312945222304103,0.6221687487020846
25,0.45017098192476795,0.42666080484117014,0.5735222276502199,0.5691430232315058,0.7501221299462628,0.6443575964826576,0.6391535506659596,0.6443575964826576,0.6391535506659596
26,0.4495169082125604,0.4335739194739068,0.5867149758454107,0.5845222673437757,0.7166666666666667,0.6492753623188405,0.6410696103841501,0.6492753623188405,0.6410696103841501
27,0.5042986981085729,0.49630224072023943,0.6268730041758782,0.6239182642088302,0.7199705232129698,0.7062146892655368,0.6995782524826505,0.7062146892655368,0.6995782524826505
28,0.42037127503663896,0.4032782251488774,0.6126038104543234,0.6102502454099125,0.7755251587689301,0.6695163654127992,0.6590678722846495,0.6695163654127992,0.6590678722846495
29,0.47996113675006075,0.4734176662807351,0.5895069225163955,0.5845387992496741,0.6818071411221763,0.6611610395919358,0.6488261873272106,0.6611610395919358,0.6488261873272106
mean,0.468748778904227,0.45719544948139595,0.5420098176563666,0.537412225941288,0.7091741495173939,0.6343122438837779,0.6247327854916234,0.6343122438837779,0.6247327854916234
std,0.03319900687583406,0.034689366512672626,0.09092534086651378,0.09226455454960915,0.04255662893476772,0.05684381760518745,0.05878078476744666,0.05684381760518745,0.05878078476744666
