loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,expert_model_test_accuracy_C,expert_model_test_f1_score_C,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
1,0.553623188405797,0.5212649006235807,0.5072463768115942,0.4757102153152607,0.6057971014492753,0.5752402816109521,0.6434782608695652,0.7739130434782608,0.7417769415432125,0.7739130434782608,0.7417769415432125
2,0.6801242236024845,0.614230841144193,0.2577639751552795,0.2008344958307719,0.531055900621118,0.45804446795907067,0.7857142857142857,0.7546583850931677,0.7373698834598724,0.7546583850931677,0.7373698834598724
3,0.17391304347826086,0.12883589227966186,0.4115942028985507,0.3741930006578533,0.5333333333333333,0.5082710575419089,0.6695652173913044,0.5710144927536231,0.5490199873532574,0.5710144927536231,0.5490199873532574
4,0.7188405797101449,0.690786398659268,0.42028985507246375,0.3855791325588665,0.6376811594202898,0.6157909899211583,0.6289855072463768,0.8231884057971014,0.8075981116439473,0.8231884057971014,0.8075981116439473
5,0.46273291925465837,0.42079023845669444,0.2546583850931677,0.21534745287051082,0.34782608695652173,0.2769657990636447,0.6521739130434783,0.4658385093167702,0.4055605290410902,0.4658385093167702,0.4055605290410902
6,0.4492753623188406,0.41690183551570276,0.4608695652173913,0.403034142764484,0.45217391304347826,0.41520973434553377,0.553623188405797,0.5391304347826087,0.5078450120702788,0.5391304347826087,0.5078450120702788
7,0.5768115942028985,0.55291091309642,0.4927536231884058,0.4562066195598631,0.5304347826086957,0.513638305393155,0.5130434782608696,0.7014492753623188,0.6922726731664974,0.7014492753623188,0.6922726731664974
8,0.3072463768115942,0.2639370779581388,0.42028985507246375,0.39772618275945554,0.5246376811594203,0.5217291435163303,0.5478260869565217,0.6231884057971014,0.6096184058591421,0.6231884057971014,0.6096184058591421
9,0.5884057971014492,0.5638409399728826,0.3391304347826087,0.2600010525495272,0.6115942028985507,0.5850944841004222,0.6057971014492753,0.7043478260869566,0.6885649541041091,0.7043478260869566,0.6885649541041091
10,0.4579710144927536,0.41911170237191114,0.45507246376811594,0.4260542147802612,0.33043478260869563,0.3012694922933524,0.5623188405797102,0.4927536231884058,0.4485999958818289,0.4927536231884058,0.4485999958818289
