loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
1,0.5594202898550724,0.52926153462319,0.5768115942028985,0.5396818534917233,0.7159420289855073,0.7014492753623188,0.6827526384580268,0.7014492753623188,0.6827526384580268
2,0.19420289855072465,0.13756697169311102,0.5507246376811594,0.5310391102329338,0.6492753623188405,0.5391304347826087,0.4943842409832383,0.5391304347826087,0.4943842409832383
3,0.422360248447205,0.3573726985880184,0.562111801242236,0.5009935503744635,0.6894409937888198,0.6118012422360248,0.5974832122859572,0.6118012422360248,0.5974832122859572
4,0.5884057971014492,0.5640988662478029,0.3072463768115942,0.23971059034763195,0.5623188405797102,0.4666666666666667,0.40750139978195715,0.4666666666666667,0.40750139978195715
5,0.6521739130434783,0.6276121772043741,0.6956521739130435,0.6724064899276614,0.7768115942028986,0.8,0.7768741131887126,0.8,0.7768741131887126
6,0.36024844720496896,0.3111396350042789,0.2981366459627329,0.24737718798258868,0.7795031055900621,0.36645962732919257,0.33847114582370663,0.36645962732919257,0.33847114582370663
7,0.3739130434782609,0.35429195592933793,0.2579710144927536,0.22582650022251718,0.6231884057971014,0.4318840579710145,0.4006730332490994,0.4318840579710145,0.4006730332490994
8,0.5855072463768116,0.5699483886572339,0.6376811594202898,0.6256117819109537,0.6550724637681159,0.744927536231884,0.7254878529306901,0.744927536231884,0.7254878529306901
9,0.5507246376811594,0.547307911559498,0.591304347826087,0.5440700682952456,0.7275362318840579,0.6695652173913044,0.6367572006293569,0.6695652173913044,0.6367572006293569
10,0.6173913043478261,0.6010393576133997,0.4318840579710145,0.4008335206661097,0.6753623188405797,0.7188405797101449,0.7030057597002742,0.7188405797101449,0.7030057597002742
11,0.2318840579710145,0.18521998469081144,0.48695652173913045,0.46074802074616705,0.7507246376811594,0.4956521739130435,0.4676178389937011,0.4956521739130435,0.4676178389937011
12,0.32463768115942027,0.2515878111242314,0.6,0.5767818071238554,0.8202898550724638,0.6782608695652174,0.6388721663308351,0.6782608695652174,0.6388721663308351
13,0.42028985507246375,0.35555666214176745,0.5594202898550724,0.5451150249419714,0.6695652173913044,0.6173913043478261,0.579944202842659,0.6173913043478261,0.579944202842659
14,0.3536231884057971,0.31725245147500636,0.5159420289855072,0.5013952482085171,0.6985507246376812,0.5594202898550724,0.5322810574794946,0.5594202898550724,0.5322810574794946
15,0.45217391304347826,0.45149317746111317,0.5217391304347826,0.4852658285953859,0.6231884057971014,0.6028985507246377,0.5788300789164945,0.6028985507246377,0.5788300789164945
16,0.5130434782608696,0.45154149426688406,0.6260869565217392,0.5920732606388733,0.7130434782608696,0.6869565217391305,0.6517810571896034,0.6869565217391305,0.6517810571896034
17,0.5449275362318841,0.5173136642529208,0.5971014492753624,0.574104541345386,0.782608695652174,0.7072463768115942,0.6877720228910941,0.7072463768115942,0.6877720228910941
18,0.263768115942029,0.1936412645406983,0.2985507246376812,0.2439005789336738,0.7130434782608696,0.30144927536231886,0.23981506203454891,0.30144927536231886,0.23981506203454891
