loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
1,0.744927536231884,0.7263154992740688,0.6231884057971014,0.5954869263803786,0.6231884057971014,0.7478260869565218,0.7203177789122956,0.7478260869565218,0.7203177789122956
2,0.35942028985507246,0.31838986042652456,0.6608695652173913,0.642044968590505,0.5797101449275363,0.43478260869565216,0.3435003615582297,0.43478260869565216,0.3435003615582297
3,0.7763975155279503,0.7743919430740187,0.7329192546583851,0.7092358241387707,0.6521739130434783,0.782608695652174,0.7414468762117036,0.782608695652174,0.7414468762117036
4,0.7043478260869566,0.7009887393888229,0.5681159420289855,0.5615370201094974,0.6463768115942029,0.7014492753623188,0.6405471814184223,0.7014492753623188,0.6405471814184223
5,0.6927536231884058,0.680047821568043,0.4405797101449275,0.45698728849745474,0.8231884057971014,0.6898550724637681,0.6618954656079435,0.6898550724637681,0.6618954656079435
6,0.5434782608695652,0.6167374659114747,0.4658385093167702,0.3378400289679526,0.7670807453416149,0.5683229813664596,0.5811089945080287,0.5683229813664596,0.5811089945080287
7,0.7507246376811594,0.7494339065439739,0.5043478260869565,0.50848619897915,0.5942028985507246,0.7391304347826086,0.7180040106257272,0.7391304347826086,0.7180040106257272
8,0.7101449275362319,0.7318784914267997,0.6898550724637681,0.6720904757186423,0.6869565217391305,0.7855072463768116,0.7709361719213936,0.7855072463768116,0.7709361719213936
9,0.6376811594202898,0.6264478851419513,0.7246376811594203,0.7338340629846845,0.5855072463768116,0.7333333333333333,0.7289315844157119,0.7333333333333333,0.7289315844157119
10,0.7420289855072464,0.7554189976963556,0.6608695652173913,0.6650298155921028,0.5681159420289855,0.7710144927536232,0.7554529789708574,0.7710144927536232,0.7554529789708574
11,0.6434782608695652,0.6733637692645764,0.5623188405797102,0.47038401113675293,0.7710144927536232,0.6927536231884058,0.681160950739646,0.6927536231884058,0.681160950739646
12,0.6318840579710145,0.6577918908192324,0.6347826086956522,0.6371743545905,0.6376811594202898,0.7188405797101449,0.7183446709575397,0.7188405797101449,0.7183446709575397
13,0.6666666666666666,0.7009305024588868,0.6318840579710145,0.6256121989652553,0.7304347826086957,0.6840579710144927,0.6489522224299272,0.6840579710144927,0.6489522224299272
14,0.6985507246376812,0.665729593119299,0.4608695652173913,0.47267767838770824,0.7913043478260869,0.6898550724637681,0.6500476309553579,0.6898550724637681,0.6500476309553579
15,0.6550724637681159,0.6852919730375605,0.6927536231884058,0.7119905859036294,0.6318840579710145,0.7797101449275362,0.7784290131860904,0.7797101449275362,0.7784290131860904
16,0.7739130434782608,0.7861030792542303,0.6550724637681159,0.6257423616996152,0.6898550724637681,0.8,0.7765848856716695,0.8,0.7765848856716695
17,0.7768115942028986,0.7936079796373914,0.6289855072463768,0.5953143631607747,0.7275362318840579,0.7913043478260869,0.76908727271507,0.7913043478260869,0.76908727271507
18,0.6434782608695652,0.6266422695246936,0.5594202898550724,0.5653636251497274,0.5855072463768116,0.6,0.5757930888365671,0.6,0.5757930888365671
19,0.4753623188405797,0.4383147401433692,0.7942028985507247,0.797842037699438,0.5478260869565217,0.7246376811594203,0.6949420836121696,0.7246376811594203,0.6949420836121696
20,0.4405797101449275,0.29261758471734056,0.7507246376811594,0.7415633474900467,0.8840579710144928,0.7565217391304347,0.7515256255141916,0.7565217391304347,0.7515256255141916
21,0.7043478260869566,0.7217797531500972,0.8,0.7951247707697331,0.6405797101449275,0.8434782608695652,0.8424327863391489,0.8434782608695652,0.8424327863391489
