loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
0,0.6931159420289855,0.6928511930976493,0.7061594202898551,0.6975912703424385,0.6985507246376812,0.7934782608695652,0.7856742398612827,0.7934782608695652,0.7856742398612827
1,0.6828644501278772,0.6706269224988686,0.6466934599926927,0.632251913819014,0.6437705516989405,0.732553891121666,0.7172829635754612,0.732553891121666,0.7172829635754612
2,0.6739130434782609,0.6535429644675256,0.5670596904937362,0.5404245992506207,0.7527634487840825,0.6809137803979366,0.6558144345588883,0.6809137803979366,0.6558144345588883
3,0.6255622188905547,0.6099785401276732,0.6649175412293853,0.644468548007642,0.6450524737631185,0.7057721139430285,0.6788818070784346,0.7057721139430285,0.6788818070784346
4,0.6112531969309463,0.5936369839215727,0.6678845451223968,0.6718197082769573,0.7153818048958714,0.7066130800146145,0.699435261039613,0.7066130800146145,0.699435261039613
5,0.6843259042747534,0.6905036677330241,0.6127146510778224,0.6082981088642166,0.5842162952137376,0.7369382535622945,0.722423082174801,0.7369382535622945,0.722423082174801
6,0.6890756302521008,0.6835915658559959,0.6514431859700401,0.6509716969353528,0.6733649981731823,0.7519181585677749,0.7418787501602472,0.7519181585677749,0.7418787501602472
7,0.5446026986506747,0.5244570959315602,0.5768365817091454,0.5906334514742518,0.6255622188905547,0.5738380809595203,0.541438415007989,0.5738380809595203,0.541438415007989
8,0.6577480490523969,0.6598366423868467,0.6889632107023411,0.6913246837143604,0.6343366778149386,0.7328130806391676,0.7305086375965197,0.7328130806391676,0.7305086375965197
9,0.5821665438467207,0.5664107044302186,0.6709653647752395,0.6587175632518072,0.717391304347826,0.6915991156963891,0.682425513810024,0.6915991156963891,0.682425513810024
10,0.6536353671903544,0.663036137992397,0.5882352941176471,0.5595274267072337,0.690537084398977,0.7033248081841432,0.7035162381834283,0.7033248081841432,0.7035162381834283
11,0.5604274134119381,0.5395264951557248,0.6425939572586588,0.6114992416469632,0.7207074428887251,0.689388356669123,0.667937004676081,0.689388356669123,0.667937004676081
12,0.6885307346326837,0.6824829794267491,0.6424287856071964,0.6252945513393584,0.6480509745127436,0.7361319340329835,0.7230542119163127,0.7361319340329835,0.7230542119163127
13,0.6660577274388016,0.6734366295568806,0.648520277676288,0.6450223459749364,0.6101571063207892,0.7139203507489953,0.7131196755610786,0.7139203507489953,0.7131196755610786
14,0.6894927536231884,0.695603130259798,0.6565217391304348,0.6475100121954209,0.6902173913043478,0.7380434782608696,0.7250037808037672,0.7380434782608696,0.7250037808037672
15,0.7380250552689757,0.7321720295016014,0.633382461311717,0.6310668951760431,0.6621223286661754,0.7453942520265291,0.7190519844263165,0.7453942520265291,0.7190519844263165
16,0.7183047131896236,0.7197696205589934,0.7025940811107052,0.6994181506944087,0.648520277676288,0.7924735111435879,0.7825914689599518,0.7924735111435879,0.7825914689599518
17,0.6261612783351914,0.6175815066880936,0.7298402081010776,0.7173537692654804,0.6811594202898551,0.7450761798587886,0.7295042356114239,0.7450761798587886,0.7295042356114239
18,0.6347826086956522,0.6224615080276094,0.41739130434782606,0.3987215429489025,0.8181159420289855,0.6514492753623189,0.6349575193703376,0.6514492753623189,0.6349575193703376
19,0.6879145173176123,0.6907651314625259,0.5917464996315401,0.5597079612463062,0.7214443625644805,0.7140751658069271,0.7007919761781792,0.7140751658069271,0.7007919761781792
20,0.6296978629329403,0.6469930424533068,0.4900515843773029,0.44746140776812676,0.7350773765659543,0.6606484893146647,0.6551032626942259,0.6606484893146647,0.6551032626942259
21,0.6956521739130435,0.7043311718835233,0.6894409937888198,0.6845097330148073,0.6335403726708074,0.7679941541834125,0.7616354550698171,0.7679941541834125,0.7616354550698171
22,0.7091706247716478,0.7056210153100606,0.6360979174278407,0.6416690690873686,0.6558275484106686,0.7292656192911947,0.7194074237271656,0.7292656192911947,0.7194074237271656
23,0.6916331750091341,0.7086073045601967,0.6317135549872123,0.6123694499008105,0.6320789185239313,0.7212276214833759,0.7044801869084026,0.7212276214833759,0.7044801869084026
24,0.6978443551333577,0.6870848156320465,0.7139203507489953,0.7141102515123172,0.6371940080379979,0.753014249177932,0.7414349726013056,0.753014249177932,0.7414349726013056
25,0.6834929992630803,0.6707941257759564,0.6484893146647015,0.6296662704549663,0.659174649963154,0.7266028002947679,0.6979633064485842,0.7266028002947679,0.6979633064485842
26,0.7004018998903909,0.7002387467073035,0.5484106686152722,0.510255847009651,0.7957617829740592,0.7040555352575812,0.6819631956274879,0.7040555352575812,0.6819631956274879
27,0.561231884057971,0.5736669628434782,0.6670289855072464,0.6669104640621387,0.7043478260869566,0.6952898550724638,0.6911041250827178,0.6952898550724638,0.6911041250827178
28,0.7082868821999256,0.7160115890232079,0.6146413972500929,0.621491848638613,0.6261612783351914,0.7097733184689706,0.7061447182818914,0.7097733184689706,0.7061447182818914
29,0.6770717205499814,0.6755347793641863,0.6636937941285768,0.6659455662219738,0.6205871423262728,0.7510219249349684,0.748824353051431,0.7510219249349684,0.748824353051431
mean,0.6620814474786255,0.6590385000878191,0.6336793607050603,0.6225337782934163,0.6760391244255431,0.7184869565115186,0.7054450733347724,0.7184869565115186,0.7054450733347724
std,0.04961495699184926,0.0544637516999113,0.06591269195021965,0.0737078352268312,0.0542207493604014,0.04279627624668801,0.04668294150895835,0.04279627624668801,0.04668294150895835
