loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
1,0.6927536231884058,0.7008912637161642,0.7681159420289855,0.7618217054263565,0.808695652173913,0.8289855072463768,0.8160849577192779,0.8289855072463768,0.8160849577192779
2,0.7101449275362319,0.7045816393003094,0.5478260869565217,0.5509354319995052,0.527536231884058,0.7159420289855073,0.7035915854803941,0.7159420289855073,0.7035915854803941
3,0.7188405797101449,0.7143408273594056,0.7565217391304347,0.746805822368612,0.6927536231884058,0.8405797101449275,0.8338848123427667,0.8405797101449275,0.8338848123427667
4,0.7913043478260869,0.8126055304501947,0.7507246376811594,0.7305186530824361,0.6,0.863768115942029,0.8598715931657424,0.863768115942029,0.8598715931657424
5,0.6405797101449275,0.6446478605454857,0.6811594202898551,0.648141203286561,0.7594202898550725,0.736231884057971,0.7231542123675004,0.736231884057971,0.7231542123675004
6,0.7594202898550725,0.750911842047522,0.6840579710144927,0.668259188077947,0.6521739130434783,0.7855072463768116,0.7632148360441174,0.7855072463768116,0.7632148360441174
7,0.4927536231884058,0.4706597474469675,0.6869565217391305,0.6810559493247965,0.8202898550724638,0.6753623188405797,0.6449777905176601,0.6753623188405797,0.6449777905176601
8,0.34492753623188405,0.2380556974961676,0.25217391304347825,0.20231296956700773,0.6898550724637681,0.32463768115942027,0.26749132613273935,0.32463768115942027,0.26749132613273935
9,0.7797101449275362,0.782343158695955,0.6202898550724638,0.6107692100925759,0.6,0.6782608695652174,0.6695286659935223,0.6782608695652174,0.6695286659935223
10,0.518840579710145,0.5161061264660487,0.6202898550724638,0.597406039664889,0.736231884057971,0.6086956521739131,0.5627202646866782,0.6086956521739131,0.5627202646866782
11,0.744927536231884,0.7605550221337749,0.6463768115942029,0.5224529780564263,0.7594202898550725,0.7623188405797101,0.7518064011124446,0.7623188405797101,0.7518064011124446
12,0.7536231884057971,0.7537733281483503,0.6057971014492753,0.5526241175700544,0.744927536231884,0.7681159420289855,0.7490348272299007,0.7681159420289855,0.7490348272299007
13,0.6550724637681159,0.6314654824564336,0.6057971014492753,0.6370557243076034,0.5971014492753624,0.6608695652173913,0.6510055082487741,0.6608695652173913,0.6510055082487741
14,0.7391304347826086,0.7548328681429981,0.7043478260869566,0.6592675015859373,0.7217391304347827,0.7739130434782608,0.7617175541341366,0.7739130434782608,0.7617175541341366
15,0.5652173913043478,0.5859487211020754,0.7884057971014493,0.7886583265131747,0.5971014492753624,0.7130434782608696,0.7082237791864423,0.7130434782608696,0.7082237791864423
16,0.4720496894409938,0.4488627596624525,0.5248447204968945,0.46100107592813266,0.65527950310559,0.5869565217391305,0.5377704075826302,0.5869565217391305,0.5377704075826302
17,0.7768115942028986,0.7926990524183566,0.7594202898550725,0.7509449203822605,0.6550724637681159,0.8173913043478261,0.8065168206241221,0.8173913043478261,0.8065168206241221
18,0.7246376811594203,0.7476424335711297,0.7913043478260869,0.7844277297774618,0.6057971014492753,0.8579710144927536,0.851225020182918,0.8579710144927536,0.851225020182918
19,0.4492753623188406,0.45440936585437863,0.518840579710145,0.5437026824980472,0.6173913043478261,0.5420289855072464,0.5434632034632034,0.5420289855072464,0.5434632034632034
20,0.7246376811594203,0.7511016098687203,0.5681159420289855,0.5033134811172815,0.7623188405797101,0.7304347826086957,0.7217847189695921,0.7304347826086957,0.7217847189695921
21,0.7130434782608696,0.7195401394254275,0.7623188405797101,0.7488012513810337,0.672463768115942,0.8231884057971014,0.8074332825106227,0.8231884057971014,0.8074332825106227
22,0.6985507246376812,0.6868940291044973,0.7246376811594203,0.7036142685891352,0.6202898550724638,0.7478260869565218,0.7033426009481346,0.7478260869565218,0.7033426009481346
23,0.6985507246376812,0.6703247085646644,0.6608695652173913,0.6009127800808669,0.7420289855072464,0.7159420289855073,0.6863740733047664,0.7159420289855073,0.6863740733047664
24,0.8057971014492754,0.8288385233473653,0.7101449275362319,0.708404756307076,0.6318840579710145,0.8521739130434782,0.8455449006173643,0.8521739130434782,0.8455449006173643
25,0.6666666666666666,0.653595114661534,0.6260869565217392,0.6039433944268705,0.5449275362318841,0.6753623188405797,0.6629591947869111,0.6753623188405797,0.6629591947869111
26,0.6335403726708074,0.605089346789908,0.6863354037267081,0.698815798720922,0.7049689440993789,0.7546583850931677,0.7446062355153265,0.7546583850931677,0.7446062355153265
27,0.7795031055900621,0.7870791556282648,0.6583850931677019,0.5938307306728359,0.6614906832298136,0.7950310559006211,0.7862336606601107,0.7950310559006211,0.7862336606601107
28,0.7324414715719063,0.7304324834270388,0.6354515050167224,0.6629876485036705,0.6454849498327759,0.7357859531772575,0.7159677327093075,0.7357859531772575,0.7159677327093075
29,0.5391304347826087,0.3814190429083185,0.5681159420289855,0.5739961683095688,0.6318840579710145,0.6173913043478261,0.5670560533441087,0.6173913043478261,0.5670560533441087
30,0.6521739130434783,0.6258958626833967,0.6231884057971014,0.633595423563778,0.6666666666666666,0.7130434782608696,0.6961032176963303,0.7130434782608696,0.6961032176963303
31,0.5797101449275363,0.5787663544845487,0.5362318840579711,0.4329564664540835,0.7246376811594203,0.5826086956521739,0.5778196079631805,0.5826086956521739,0.5778196079631805
32,0.6985507246376812,0.7002927238313064,0.7710144927536232,0.7820745648319237,0.5942028985507246,0.7333333333333333,0.717984063521194,0.7333333333333333,0.717984063521194
33,0.7971014492753623,0.8144668304668305,0.6521739130434783,0.6427873257960897,0.6521739130434783,0.863768115942029,0.8634545451749751,0.863768115942029,0.8634545451749751
34,0.5884057971014492,0.6479466642099616,0.4289855072463768,0.4447504552251996,0.6434782608695652,0.5768115942028985,0.5932542205269478,0.5768115942028985,0.5932542205269478
35,0.6840579710144927,0.6320368278294256,0.47246376811594204,0.39037553664585006,0.7739130434782608,0.6492753623188405,0.6230748092398732,0.6492753623188405,0.6230748092398732
36,0.46273291925465837,0.4421609510128238,0.593167701863354,0.5189038242494037,0.6770186335403726,0.7204968944099379,0.7131924198250728,0.7204968944099379,0.7131924198250728
mean,0.6606837606837607,0.6533670304238389,0.638637167984994,0.6150618084551492,0.6719616534833925,0.7174364283059934,0.7008741362091331,0.7174364283059934,0.7008741362091331
std,0.11493444050168637,0.13703921747850425,0.11275935163921559,0.1271599639086182,0.07108968346178245,0.11035062357363282,0.11824179440444067,0.11035062357363282,0.11824179440444067
