loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
1,0.8115942028985508,0.7060019978598497,0.8231884057971014,0.7922140051871913,0.6231884057971014,0.863768115942029,0.8472657055142729,0.863768115942029,0.8472657055142729
2,0.5739130434782609,0.5634343021712159,0.527536231884058,0.4493556403765828,0.7130434782608696,0.6782608695652174,0.6592844778336218,0.6782608695652174,0.6592844778336218
3,0.46956521739130436,0.3707608575674849,0.6028985507246377,0.4619020891227771,0.7333333333333333,0.6492753623188405,0.5892854103280598,0.6492753623188405,0.5892854103280598
4,0.855072463768116,0.7565022279307994,0.8318840579710145,0.758811032989561,0.5826086956521739,0.8956521739130435,0.8804315447362625,0.8956521739130435,0.8804315447362625
5,0.7797101449275362,0.7310813082381633,0.6956521739130435,0.6519987379590355,0.6782608695652174,0.8144927536231884,0.8101886085234798,0.8144927536231884,0.8101886085234798
6,0.7942028985507247,0.6994601191600767,0.6289855072463768,0.5895218093259293,0.7304347826086957,0.8231884057971014,0.8002958736415848,0.8231884057971014,0.8002958736415848
7,0.863768115942029,0.7988379960253262,0.8,0.7425925552875624,0.7420289855072464,0.8985507246376812,0.867590106587549,0.8985507246376812,0.867590106587549
8,0.1855072463768116,0.08446655601798832,0.19130434782608696,0.21408904333101653,0.48985507246376814,0.13333333333333333,0.13410945368776694,0.13333333333333333,0.13410945368776694
9,0.7739130434782608,0.7149394514478069,0.35942028985507246,0.2384684088759363,0.9188405797101449,0.7797101449275362,0.7717033178171258,0.7797101449275362,0.7717033178171258
10,0.6231884057971014,0.467029038222027,0.6695652173913044,0.5286397389738975,0.7304347826086957,0.7188405797101449,0.6685097665987099,0.7188405797101449,0.6685097665987099
11,0.7043478260869566,0.6018937353122339,0.8,0.6793942646842382,0.6695652173913044,0.808695652173913,0.7752370221676357,0.808695652173913,0.7752370221676357
12,0.8956521739130435,0.8879766293319,0.518840579710145,0.37717884665076784,0.9072463768115943,0.9014492753623189,0.8993653283003527,0.9014492753623189,0.8993653283003527
13,0.6550724637681159,0.6449701428275438,0.7913043478260869,0.7303404658991527,0.5246376811594203,0.8144927536231884,0.8017258402972689,0.8144927536231884,0.8017258402972689
14,0.7275362318840579,0.6342602122309807,0.8202898550724638,0.7964028718563024,0.6521739130434783,0.8463768115942029,0.8321553379954775,0.8463768115942029,0.8321553379954775
15,0.7188405797101449,0.6829765693647902,0.6202898550724638,0.5321511782025394,0.7101449275362319,0.7565217391304347,0.7456090687669374,0.7565217391304347,0.7456090687669374
16,0.7857142857142857,0.6449664026574762,0.6428571428571429,0.4873347327792493,0.7236024844720497,0.7857142857142857,0.8025857412895846,0.7857142857142857,0.8025857412895846
17,0.8202898550724638,0.7321077525906645,0.7304347826086957,0.7081567539698627,0.6666666666666666,0.8666666666666667,0.8522953737017208,0.8666666666666667,0.8522953737017208
18,0.8956521739130435,0.8421939610636334,0.7130434782608696,0.6439758847685129,0.6550724637681159,0.8608695652173913,0.8305344040480442,0.8608695652173913,0.8305344040480442
19,0.47246376811594204,0.45262704627730976,0.6115942028985507,0.4470989681362935,0.5159420289855072,0.5072463768115942,0.4680907810965136,0.5072463768115942,0.4680907810965136
20,0.8376811594202899,0.7424661467114297,0.6405797101449275,0.5478209967945067,0.7942028985507247,0.8318840579710145,0.8030062349687654,0.8318840579710145,0.8030062349687654
21,0.8202898550724638,0.7024576909135478,0.6289855072463768,0.5747076759622902,0.6695652173913044,0.8492753623188406,0.8267869727427142,0.8492753623188406,0.8267869727427142
22,0.4811594202898551,0.36666637128411494,0.6898550724637681,0.5693158629986452,0.48405797101449277,0.6347826086956522,0.6094384979500994,0.6347826086956522,0.6094384979500994
23,0.7246376811594203,0.647832562356169,0.7420289855072464,0.6826338614034133,0.6985507246376812,0.8318840579710145,0.8195748960877922,0.8318840579710145,0.8195748960877922
24,0.8927536231884058,0.8748766813201275,0.744927536231884,0.6804639215353501,0.8289855072463768,0.9449275362318841,0.9443060630180015,0.9449275362318841,0.9443060630180015
25,0.5333333333333333,0.47763356532854745,0.4956521739130435,0.33608598013760255,0.7188405797101449,0.5681159420289855,0.530598039727846,0.5681159420289855,0.530598039727846
26,0.7267080745341615,0.6333506307158479,0.7111801242236024,0.684472496364695,0.5496894409937888,0.7919254658385093,0.8061321317703525,0.7919254658385093,0.8061321317703525
27,0.8136645962732919,0.7409222961066446,0.7453416149068323,0.6176158561964634,0.6086956521739131,0.8478260869565217,0.8142825642825644,0.8478260869565217,0.8142825642825644
28,0.7123745819397993,0.5305291004730484,0.6755852842809364,0.5436598892130918,0.6655518394648829,0.8193979933110368,0.8079996865957464,0.8193979933110368,0.8079996865957464
29,0.7565217391304347,0.6081462015944861,0.6521739130434783,0.5407352969376662,0.6840579710144927,0.7681159420289855,0.717480373373107,0.7681159420289855,0.717480373373107
30,0.855072463768116,0.8178085051938444,0.8202898550724638,0.7835689950713226,0.6318840579710145,0.9333333333333333,0.9279482808672758,0.9333333333333333,0.9279482808672758
31,0.5710144927536231,0.4169522174048752,0.7623188405797101,0.6934342811540335,0.6492753623188405,0.6695652173913044,0.6229975299856862,0.6695652173913044,0.6229975299856862
32,0.8463768115942029,0.7785267059844062,0.35942028985507246,0.262419480830494,0.9565217391304348,0.8521739130434782,0.8336993356945168,0.8521739130434782,0.8336993356945168
33,0.8028985507246377,0.6952162912097246,0.6318840579710145,0.5414949078351412,0.736231884057971,0.7884057971014493,0.7504448852927555,0.7884057971014493,0.7504448852927555
34,0.5594202898550724,0.5062068513037022,0.40869565217391307,0.3301537001129976,0.7101449275362319,0.6057971014492753,0.5820927147458539,0.6057971014492753,0.5820927147458539
35,0.6985507246376812,0.5983317861306992,0.42318840579710143,0.30055515200056465,0.8579710144927536,0.6869565217391305,0.6569082031620784,0.6869565217391305,0.6569082031620784
36,0.7670807453416149,0.7039154616643775,0.6086956521739131,0.40113252886058687,0.6801242236024845,0.782608695652174,0.7820919959723294,0.782608695652174,0.7820919959723294
