loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
0,0.7000736919675755,0.6158596801343865,0.686563497912061,0.5873584003623423,0.6902480962908376,0.7811348563006633,0.7473863546716212,0.7811348563006633,0.7473863546716212
1,0.568860820986155,0.496743097861137,0.7182414379402478,0.6547669384008589,0.7019674520281759,0.7694923487976683,0.7485204901496353,0.7694923487976683,0.7485204901496353
2,0.675867122618466,0.605357937635298,0.7120175867122619,0.6372458108305863,0.6629213483146067,0.7979970688812897,0.769073813048753,0.7979970688812897,0.769073813048753
3,0.6477272727272727,0.5931973391826791,0.6553853754940712,0.6035008017135444,0.6301877470355731,0.7230731225296443,0.6991210756198271,0.7230731225296443,0.6991210756198271
4,0.7244748412310699,0.6383944677597794,0.6722032242305813,0.6127691616882075,0.7144601856375183,0.7882266731802638,0.7639582299974801,0.7882266731802638,0.7639582299974801
5,0.7524896769492349,0.6817028403306202,0.6975953364100073,0.622377083989454,0.7204274957493321,0.8054408549914986,0.7867537189086405,0.8054408549914986,0.7867537189086405
6,0.6305562302647559,0.5585086151752856,0.4274957493320379,0.293063012500434,0.807626912800583,0.6521739130434783,0.6242479047366234,0.6521739130434783,0.6242479047366234
7,0.6306818181818182,0.5285020345360446,0.5439723320158103,0.4220369774352286,0.6704545454545454,0.6632905138339921,0.6146775065062066,0.6632905138339921,0.6146775065062066
8,0.6507000736919676,0.5891610651903938,0.6610169491525424,0.5265857325200624,0.7059690493736183,0.7548513878653893,0.7183945103968966,0.7548513878653893,0.7183945103968966
9,0.4454700024289531,0.3407349836348589,0.7447170269613796,0.6910311779288645,0.863249939276172,0.7583191644401263,0.7507374696048981,0.7583191644401263,0.7507374696048981
10,0.5761476803497693,0.43235649409021243,0.5501578819528783,0.500922984436281,0.639786252125334,0.6514452271071168,0.6078292175797853,0.6514452271071168,0.6078292175797853
11,0.7286272594040059,0.6629744711897975,0.6621885686370298,0.5405161454628622,0.673180263800684,0.7760136785539814,0.7431986200608328,0.7760136785539814,0.7431986200608328
12,0.6868588177821202,0.6456413187517163,0.680752320468979,0.6131076696774438,0.6042989741084513,0.7725940400586224,0.7523840407800487,0.7725940400586224,0.7523840407800487
13,0.706399609184172,0.6241937236032542,0.7589154860771862,0.6786407355695026,0.6673180263800684,0.8177821201758672,0.790661906809935,0.8177821201758672,0.790661906809935
14,0.7666421026774748,0.7115068636695554,0.7044952100221076,0.5592431728215955,0.6791943011545075,0.8061901252763449,0.7824128424267304,0.8061901252763449,0.7824128424267304
15,0.7119261598251154,0.6514625010709005,0.6786495020646102,0.5791799307502601,0.6686907942676706,0.770949720670391,0.7412627515333707,0.770949720670391,0.7412627515333707
16,0.6381724392041267,0.587701866902814,0.6934414148857775,0.6158780262368556,0.6936870547776959,0.749692950135102,0.7320154492839055,0.749692950135102,0.7320154492839055
17,0.7420615534929165,0.6727496342312034,0.629457743038593,0.5367477435456469,0.705666829506595,0.7813873961895457,0.7442966896387366,0.7813873961895457,0.7442966896387366
18,0.5681485100146556,0.5051267556303216,0.7115290669272105,0.6010857028763639,0.7154372252076209,0.7340009770395701,0.7028566325868907,0.7340009770395701,0.7028566325868907
19,0.4896135265700483,0.38341233780625156,0.7137681159420289,0.6376234907728571,0.8432367149758454,0.7207729468599033,0.7072132297737868,0.7207729468599033,0.7072132297737868
20,0.714704445530044,0.6497821783278162,0.7349780166096727,0.6501134821753027,0.6936980947728383,0.8031265266243283,0.7769357721486524,0.8031265266243283,0.7769357721486524
21,0.6590909090909091,0.6311578772129495,0.6306818181818182,0.5736472186906358,0.6190711462450593,0.7136857707509882,0.6933636877963423,0.7136857707509882,0.6933636877963423
22,0.7002931118710308,0.6371662043630796,0.6345872007816317,0.5256109662037274,0.6885686370297998,0.7659990229604299,0.7360627973758098,0.7659990229604299,0.7360627973758098
23,0.6646311675622862,0.6021240255199968,0.6858817782120176,0.5999712486034305,0.6858817782120176,0.756228627259404,0.7274585297449628,0.756228627259404,0.7274585297449628
24,0.6868588177821202,0.6359107593642149,0.6944308744504153,0.6197649849364346,0.6524181729360039,0.7662432828529555,0.7528674520142435,0.7662432828529555,0.7528674520142435
25,0.7221277629341754,0.6405579562976447,0.6060238037405878,0.5153693749406252,0.7126548457614768,0.7575904785037649,0.7265159870299547,0.7575904785037649,0.7265159870299547
26,0.6050317537860284,0.542478964724464,0.7266731802638007,0.6494779431175032,0.6765999022960429,0.7699071812408402,0.7417382680894429,0.7699071812408402,0.7417382680894429
27,0.5698845492507983,0.44657114026933653,0.7160402849422747,0.610371961692752,0.784328174895603,0.7563252272169,0.7253267776180297,0.7563252272169,0.7253267776180297
28,0.5888198757763975,0.48689345537347894,0.6822360248447205,0.565248200333093,0.6785093167701863,0.7361490683229813,0.7053187627324318,0.7361490683229813,0.7053187627324318
29,0.6895456765999023,0.6290493442726511,0.6990718124084025,0.5795774442576157,0.6695163654127992,0.7779677576941866,0.7449514165356618,0.7779677576941866,0.7449514165356618
mean,0.6547495759911789,0.5808993311370715,0.6704389540204246,0.5800944508156791,0.6973085214199087,0.7559350676452412,0.7285847301733379,0.7559350676452412,0.7285847301733379
std,0.0764964404620438,0.09131102624587828,0.06785619085617905,0.07896770696037345,0.059045425402965,0.0425041997727074,0.0459468050919652,0.0425041997727074,0.0459468050919652
