loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
0,0.714975845410628,0.663948575831115,0.7108695652173913,0.6310961207466066,0.672463768115942,0.7876811594202898,0.7674877201869231,0.7876811594202898,0.7674877201869231
1,0.4855886663409868,0.3185854503253447,0.6746458231558378,0.5701681053222958,0.7896922325354176,0.7071323888617489,0.6668536443231452,0.7071323888617489,0.6668536443231452
2,0.8169982805207566,0.7627679637031661,0.7479734708916728,0.6379278450288243,0.6467698354212724,0.8219110783591255,0.7995616755546928,0.8219110783591255,0.7995616755546928
3,0.7659051830017195,0.7182090540976658,0.7256202407270941,0.6470046017028488,0.6833701793171211,0.8309997543601081,0.8216620820491227,0.8309997543601081,0.8216620820491227
4,0.7303370786516854,0.6751092929729902,0.5468978993649243,0.44854349284070266,0.756228627259404,0.7608695652173914,0.7554574207548743,0.7608695652173914,0.7554574207548743
5,0.5654630311962663,0.4365413055145092,0.6678948661262589,0.5535866414144701,0.7037582903463523,0.7089167280766396,0.67529072001211,0.7089167280766396,0.67529072001211
6,0.6752489676949235,0.590528188950352,0.6247267427738644,0.5249341420408841,0.6730629098858392,0.6983240223463687,0.6668939590779375,0.6983240223463687,0.6668939590779375
7,0.6645962732919255,0.47769577010344266,0.6650931677018633,0.5634240444188005,0.6777639751552795,0.7418633540372671,0.7074354289134199,0.7418633540372671,0.7074354289134199
8,0.786737915958222,0.7363187951825132,0.7398591207189701,0.6478794567600572,0.7182414379402478,0.8222006315278115,0.8081926342903833,0.8222006315278115,0.8081926342903833
9,0.7649226234340457,0.695260332362817,0.7553426676492262,0.6845553989192417,0.6971260132645541,0.8371407516580692,0.8154272451438005,0.8371407516580692,0.8154272451438005
10,0.66298206828789,0.5901577057268601,0.7172684844018669,0.6133557404643604,0.6890198968312454,0.7833456153279292,0.7501637171186291,0.7833456153279292,0.7501637171186291
11,0.773571079628725,0.7057199098719346,0.7481680508060576,0.6816513875886605,0.684171958964338,0.8502686858817782,0.8359710842672823,0.8502686858817782,0.8359710842672823
12,0.7280138339920948,0.6711466128664506,0.6032608695652174,0.5003931473229998,0.7040513833992095,0.7586462450592886,0.7495552980757116,0.7586462450592886,0.7495552980757116
13,0.7913043478260869,0.7437890537383149,0.7396135265700483,0.689598279933897,0.6664251207729469,0.8304347826086956,0.8212904847764577,0.8304347826086956,0.8212904847764577
14,0.7374206155349292,0.6936373013143622,0.6568148510014655,0.5478039054637408,0.6919882755251587,0.7616023448949683,0.7673701889992636,0.7616023448949683,0.7673701889992636
15,0.7753623188405797,0.7154467158899271,0.5304347826086957,0.4324585636844692,0.808695652173913,0.8014492753623188,0.7898401535779538,0.8014492753623188,0.7898401535779538
16,0.7364435759648266,0.6603651293668058,0.73961895456766,0.6533140257182535,0.6802638006839277,0.7877381533952125,0.7646565336763076,0.7877381533952125,0.7646565336763076
17,0.7032242305813385,0.6538503420586301,0.5410356619443087,0.49715721453452744,0.7938446507083536,0.7281387396189546,0.7285998351295151,0.7281387396189546,0.7285998351295151
18,0.7663964627855564,0.6913976586942441,0.7501842299189388,0.6769237395191896,0.6853352984524687,0.8354212724146401,0.8165668517337438,0.8354212724146401,0.8165668517337438
19,0.7374396135265701,0.6759549402558939,0.7096618357487923,0.5999221787925286,0.663768115942029,0.771256038647343,0.7483706003300726,0.771256038647343,0.7483706003300726
20,0.7230993441826573,0.6517080267441091,0.711197473888754,0.5999447280436496,0.6611610395919358,0.7755647316006801,0.7442074774919141,0.7755647316006801,0.7442074774919141
21,0.7904691721935643,0.7290284307713386,0.7361827560795873,0.6360372630827089,0.7116187668877426,0.8373863915499877,0.8204784001788286,0.8373863915499877,0.8204784001788286
22,0.5485138786538933,0.4740492022112539,0.6814050601817735,0.599166924436494,0.7116187668877426,0.707442888725129,0.6877738726027957,0.707442888725129,0.6877738726027957
23,0.4396678065461651,0.28256977413282713,0.7034684904738642,0.633864344625515,0.8065461651196874,0.7149487054225696,0.6984011555562162,0.7149487054225696,0.6984011555562162
24,0.7053679863978625,0.6549649109934854,0.7206703910614525,0.659557476718958,0.7141122176341996,0.777022103473403,0.7609275957971251,0.777022103473403,0.7609275957971251
25,0.6549068322981366,0.5430061351676378,0.5972670807453416,0.4874893403642597,0.7053416149068323,0.6951552795031056,0.6595879218169282,0.6951552795031056,0.6595879218169282
26,0.749692950135102,0.6758646539692077,0.5298452468680914,0.37596612268018437,0.8216654384672071,0.7703267010562516,0.7642850388767818,0.7703267010562516,0.7642850388767818
27,0.7874938935026868,0.7495117507487883,0.4296531509526136,0.3043956877591784,0.9035173424523694,0.790180752320469,0.7883900913504834,0.790180752320469,0.7883900913504834
28,0.768361581920904,0.698825669396414,0.6981085728322279,0.6490785579961285,0.7000736919675755,0.8145418816015721,0.7833313303780548,0.8145418816015721,0.7833313303780548
29,0.827058537770221,0.7785853280259041,0.7554044206946806,0.6787009920725258,0.6859363614282245,0.8666504736458587,0.8530656936611691,0.8666504736458587,0.8530656936611691
mean,0.7125854665356983,0.6371514660329434,0.6719395818412849,0.5808633156665652,0.7169210942679511,0.7791520165324992,0.7605698618567213,0.7791520165324992,0.7605698618567213
std,0.09371226563820476,0.12445294467974442,0.08460981601697609,0.09751739241181559,0.05929346511942805,0.04977692281122378,0.054508957006673034,0.04977692281122378,0.054508957006673034
