loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
0,0.5900621118012422,0.5803678097185617,0.6759225429302156,0.6742866233504358,0.7559371574716843,0.7528806731278972,0.7179393496529046,0.7119643764333731
1,0.5970040189989039,0.5891175410015135,0.7168432590427475,0.7158925230169831,0.7924735111435879,0.788979689491596,0.773109243697479,0.7680399105950168
2,0.5942028985507246,0.5911954250511149,0.7346711259754738,0.735805050964959,0.7963582311408398,0.7934858461960136,0.7617985878855444,0.7573258308757743
3,0.5743514797223237,0.571507469887711,0.577639751552795,0.5835396157602621,0.711728169528681,0.7046575662947059,0.6624040920716112,0.6510848404776582
4,0.5922542930215564,0.5792439526023727,0.7285348922177567,0.7265052327373652,0.7632444282060651,0.7596125548572356,0.7241505297771282,0.7191478448804516
5,0.652542372881356,0.655483911693705,0.7520265291083272,0.750376241204742,0.8268238761974944,0.8211452784290639,0.7803979366249079,0.7718808661647812
6,0.5803242446573323,0.5628962594290812,0.7037582903463523,0.7072286417542846,0.7575534266764923,0.7531056843303197,0.7273397199705232,0.719813581162494
7,0.5736207526488857,0.5667787518946742,0.701132626963829,0.6949919223610075,0.7661673364998173,0.7690552639270751,0.7409572524662039,0.7437781875521624
8,0.6054347826086957,0.602893679551577,0.6492753623188405,0.6486843893210924,0.7536231884057971,0.7551876473945444,0.7123188405797102,0.7137168363796973
9,0.5535257581293387,0.5326147758311304,0.648520277676288,0.6522477799318807,0.7256119839240044,0.7198646994403172,0.6993058092802338,0.69474931589813
10,0.6175386882829772,0.6189318860430894,0.6617538688282977,0.6643855019581167,0.7553426676492262,0.7480366040031844,0.7151805453205601,0.7054848418145291
11,0.5771739130434783,0.5542280924081461,0.6054347826086957,0.6075710004974947,0.6989130434782609,0.6943111711014733,0.6753623188405797,0.6699964585434295
12,0.6065217391304348,0.6054808603308147,0.6952898550724638,0.6895863060108046,0.7547101449275362,0.7492711864966204,0.7068840579710145,0.7002560207084729
13,0.5702898550724638,0.5528080943675762,0.6355072463768116,0.6365200724439402,0.7144927536231884,0.7114656534812549,0.6905797101449276,0.6851949151486296
14,0.5782237086584913,0.5701726576798153,0.6551467855815681,0.6508019471037543,0.7283537718320326,0.7261729112800727,0.6952805648457823,0.6898991477056619
15,0.567044208987943,0.5505568680087164,0.659846547314578,0.6575112942727551,0.6930946291560103,0.6854334229243688,0.6635001826817684,0.6524458985751871
16,0.5565217391304348,0.563427287517004,0.7155797101449275,0.7114405457586993,0.7884057971014493,0.7884080696705474,0.7590579710144928,0.7566475082351597
17,0.6123188405797102,0.6039965901287733,0.7188405797101449,0.7218941286256011,0.7655797101449275,0.7594224832237176,0.7344202898550725,0.7279906919777032
18,0.6364632809645597,0.6273352256093712,0.7292656192911947,0.7258848238576163,0.8154914139568871,0.8125415332166822,0.773839970770917,0.771460068018784
19,0.5663227708179809,0.5474032573021452,0.5460574797347089,0.5500502704987458,0.6503316138540899,0.6427917652561493,0.6193809874723655,0.6090195627875287
20,0.6123492875411034,0.5944875844618271,0.6072341980270369,0.6119080410320675,0.7219583485568141,0.7169638081691302,0.690171720862258,0.6840781872527258
21,0.4782608695652174,0.46803613173482794,0.628960943257185,0.6241936682868394,0.653647752394989,0.650352616603261,0.6179071481208548,0.6114169905672887
22,0.6094325718496684,0.6118885968911155,0.7092851879145173,0.7063891042198147,0.7612380250552689,0.7551931447448814,0.7247605011053795,0.7147615130370768
23,0.6061381074168798,0.5882599884333487,0.7120935330654,0.7162024882365734,0.8048958713920351,0.8027878882129091,0.7690902447935696,0.7651497922030402
24,0.5128205128205128,0.5080263507902426,0.5711631363805277,0.56101094517131,0.6477146042363434,0.6361565343129937,0.63173541434411,0.6207890615649895
25,0.6145414687614176,0.5922821374931709,0.7004018998903909,0.696464306418846,0.8005115089514067,0.7956516197581361,0.7606868834490318,0.7527523241842691
26,0.5394252026529108,0.514320679006188,0.6798084008843036,0.6789734634443716,0.7192336035372144,0.7180880932331108,0.6919675755342668,0.6895106209294225
27,0.6249078850405306,0.6265191260088467,0.7048636698599853,0.7034804122339301,0.7498157700810612,0.7451288603238424,0.7240235814296242,0.7172597206120346
28,0.5014992503748126,0.4858207841867708,0.5955772113943029,0.5855990495187946,0.6484257871064468,0.6483048608050301,0.6233133433283359,0.6221097924566953
29,0.5804347826086956,0.5607708962040084,0.6485507246376812,0.6442508962584395,0.6764492753623188,0.6696674713611239,0.6402173913043478,0.6334033941370809
mean,0.5827183798773528,0.572561755708908,0.6689662012702449,0.6677892095417176,0.7399375800530658,0.7358041533889086,0.7069027255065168,0.7010376033626413
std,0.03852398805470065,0.041985653300894876,0.05405416676605627,0.0540098518443146,0.05115400936954669,0.05216129125618029,0.04867499387878926,0.04979158981733797
