loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
0,0.6089426877470355,0.6110867270740409,0.6818181818181818,0.6786738456457927,0.762598814229249,0.7582218094880564,0.7159090909090909,0.7082017685048253
1,0.6408744780152297,0.6398375325175777,0.7393760746745272,0.7330728730329311,0.8167526406288381,0.8109370994184462,0.791943011545075,0.7839700523732326
2,0.5934782608695652,0.5707133391207365,0.6835748792270532,0.6810163376614093,0.7475845410628019,0.7367592438197923,0.7103864734299516,0.6959364682973211
3,0.5728754940711462,0.5613384415829306,0.7238142292490118,0.7257456099236197,0.7840909090909091,0.7795869191382601,0.7475296442687747,0.7410317545186541
4,0.6182756079587325,0.6024995827505027,0.7256202407270941,0.7250019279356974,0.7838368951117661,0.7763475325677792,0.760746745271432,0.7508133257726731
5,0.6223742061553493,0.6097119774139137,0.7054225696140694,0.702769686856677,0.8106985832926233,0.8097944413723657,0.7813873961895457,0.7787425038127918
6,0.6583149103414394,0.6491060717147967,0.7415868337017931,0.7391834692987427,0.812822402358143,0.8060080583417816,0.7808892164087448,0.7702095752178211
7,0.6228627259404006,0.6146686737689,0.7276502198339033,0.7272971439967431,0.826819736199316,0.8237439950523908,0.7916463116756228,0.7858111457357841
8,0.6194430874450415,0.6015387722958795,0.6521739130434783,0.6525582104490018,0.7606253053248656,0.7556288278261121,0.7340009770395701,0.7258134625469032
9,0.5924216662618411,0.5882495198794341,0.6798639786252125,0.6814993798812282,0.7592907456886082,0.755603145962003,0.7150837988826816,0.707695249018256
10,0.6190711462450593,0.6165409642811441,0.7482707509881423,0.742011447323931,0.7991600790513834,0.7956713829608224,0.7623517786561265,0.7577726274781225
11,0.6573323507737656,0.6547777786998178,0.7312699582412183,0.729755190795598,0.8275607958732498,0.8238418852269599,0.7980840088430361,0.7927507189276947
12,0.6739130434782609,0.6649901556746595,0.7525647288715193,0.7486149888008875,0.8395212506106497,0.8328126600628855,0.8070346849047386,0.7990964775660189
13,0.6406288381233112,0.6467682318683395,0.737656595431098,0.7375079501307266,0.8309997543601081,0.8289559656313905,0.7993122083026284,0.7954765459159905
14,0.6809965803615047,0.6763833948893195,0.723742061553493,0.7217283978469572,0.8253541768441622,0.8220411499771527,0.7940889106008794,0.7884881662270428
15,0.6086956521739131,0.5970250610972749,0.7126548457614768,0.7085671409084289,0.7935389846975953,0.7870902610580379,0.7631770706825358,0.7548350841240026
16,0.6210144927536232,0.6129273996036196,0.722463768115942,0.7232788024135888,0.8033816425120773,0.8021651288384397,0.7574879227053141,0.7528074596797679
17,0.6546165119687347,0.6464943345236026,0.7078651685393258,0.7087292045399607,0.8019052271617001,0.797661369513667,0.761113825109917,0.7516796921923508
18,0.6470731114889483,0.6356062410667377,0.7580762691280059,0.755148516210129,0.8365314549429196,0.8322516202659338,0.7903813456400292,0.7849141535004046
19,0.6573323507737656,0.6512338236362559,0.7236551215917465,0.7256996469197025,0.8061901252763449,0.8022141909555307,0.7909604519774012,0.7858863814444478
20,0.6453728443041049,0.6364672850308554,0.7160553801311634,0.712402588171426,0.8102987612339082,0.8055473013636543,0.7792081612824873,0.7725296960162421
21,0.6478017974253097,0.6447721683838822,0.7029390332766577,0.7006810635211695,0.807626912800583,0.8022030109751123,0.770949720670391,0.7616016078103818
22,0.6138251099169516,0.6018449110777288,0.7283829995114802,0.7284894011580535,0.7594040058622374,0.7569967526074035,0.7178798241328774,0.7132277027166192
23,0.638495359062042,0.628302126753949,0.6985832926233513,0.6985010954473577,0.7747923790913532,0.7682804186229135,0.7459697117733268,0.7357906934679045
24,0.6340986809965804,0.6282959854733934,0.7420615534929165,0.7427849605974959,0.8204689789936492,0.8200876850867119,0.7975085490962384,0.7958438446925017
25,0.5852657004830918,0.5686238506189031,0.7345410628019323,0.7360597230122932,0.7758454106280194,0.7732561409123073,0.7374396135265701,0.7343564125672967
26,0.664701547531319,0.6542420595883217,0.7531319086219602,0.7514756123258017,0.8771800540407763,0.8759261715638671,0.8513878653893392,0.8487698329811781
27,0.6025197628458498,0.5978527110908746,0.736907114624506,0.733645309546555,0.8129940711462451,0.8099315888148836,0.7675395256916996,0.7617903009950902
28,0.6262823644357597,0.6158037089933537,0.7574499267220323,0.7556150434941041,0.7982413287738154,0.7911711709575173,0.773571079628725,0.7638494002484091
29,0.6228627259404006,0.6095248107161821,0.7059110893991206,0.7067552651651258,0.7955544699560332,0.7903474131225605,0.7601367855398143,0.7528927644418062
mean,0.6297254365296027,0.6212409213728974,0.7218361249980472,0.7204756611003712,0.8020556812281311,0.7977028113834913,0.7685035236591521,0.7617528289597179
std,0.026486844902357205,0.02898032353526954,0.025294526726565774,0.024779019518980188,0.02875253346318186,0.029695150013953352,0.03175589964173845,0.03305117503373545
