loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,base_model_validate_accuracy_C,base_model_train_f1_score_C,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
1,0.7130434782608696,0.6819802889877491,0.7188405797101449,0.6939864381033675,0.6985507246376812,0.6685654906158849,0.7855072463768116,0.7684605923698707,0.7710144927536232,0.7464142851391589
2,0.7919254658385093,0.7560786890704921,0.5869565217391305,0.5417805553731427,0.6118012422360248,0.5764162219501353,0.8726708074534162,0.8579478061571937,0.8509316770186336,0.8346645915496065
3,0.6144927536231884,0.5613689225630502,0.663768115942029,0.624439368476202,0.6376811594202898,0.6242450857038138,0.8376811594202899,0.8119082050568213,0.7855072463768116,0.7521934238926268
4,0.8666666666666667,0.8389904769128799,0.7391304347826086,0.7213397094014298,0.8405797101449275,0.828662613552076,0.9043478260869565,0.8882558733622563,0.8985507246376812,0.8747073024588466
5,0.6863354037267081,0.6555433778089936,0.5714285714285714,0.5339736332542675,0.5186335403726708,0.4897417063109731,0.7515527950310559,0.7355470302751954,0.6583850931677019,0.6366388765292406
6,0.5942028985507246,0.5558776720365036,0.6376811594202898,0.6071457471594818,0.6202898550724638,0.5989479110345393,0.8144927536231884,0.780612165841445,0.7739130434782608,0.7306944121433288
7,0.7565217391304347,0.7662197302961515,0.7101449275362319,0.702124671712742,0.6898550724637681,0.6655799566577649,0.9304347826086956,0.9301355764936833,0.8608695652173913,0.858340193828566
8,0.7014492753623188,0.6756704366834975,0.6202898550724638,0.60123226947,0.6782608695652174,0.6479252867928228,0.8202898550724638,0.8045631780824243,0.7797101449275362,0.7580891713883805
9,0.6521739130434783,0.6308824612261209,0.6289855072463768,0.6052992154085017,0.7159420289855073,0.6714304342018875,0.8608695652173913,0.8491609813834105,0.8231884057971014,0.8061847705879113
10,0.6231884057971014,0.6006293857076138,0.6550724637681159,0.6255908940274265,0.5768115942028985,0.5126918085728155,0.7681159420289855,0.7340871764741194,0.6956521739130435,0.6764772342866476
11,0.8115942028985508,0.8022158011959046,0.6985507246376812,0.6628909552069394,0.463768115942029,0.41716538821801985,0.8521739130434782,0.8358686322264253,0.8144927536231884,0.795836349668295
12,0.7101449275362319,0.6993963106879423,0.5884057971014492,0.5549506449061063,0.553623188405797,0.5065931979446924,0.7594202898550725,0.7385456719397467,0.6782608695652174,0.6420629290137304
13,0.6318840579710145,0.6127098553603489,0.591304347826087,0.5750188716034885,0.5942028985507246,0.5688456477178117,0.7652173913043478,0.7646477093847667,0.6956521739130435,0.669781870527392
14,0.7565217391304347,0.7137954273326746,0.6608695652173913,0.6183712700654914,0.6956521739130435,0.6681287311590034,0.7623188405797101,0.7256642717047823,0.7507246376811594,0.705746618406183
15,0.6434782608695652,0.6102214285251982,0.6,0.6011145569632198,0.6985507246376812,0.6640587487557407,0.8405797101449275,0.8276423939829752,0.7855072463768116,0.7576126884553082
16,0.5710144927536231,0.5336185010028286,0.6347826086956522,0.5892816769244269,0.6579710144927536,0.6056369156435981,0.6927536231884058,0.6210086354445093,0.5942028985507246,0.520705525820739
17,0.7594202898550725,0.728134139131224,0.47246376811594204,0.39415887995367177,0.3884057971014493,0.30428184525948754,0.7594202898550725,0.7377848614345237,0.7014492753623188,0.6810216413127832
18,0.881159420289855,0.8729903119640291,0.7739130434782608,0.7312198892832337,0.7072463768115942,0.6766356324612256,0.9826086956521739,0.9825701819091721,0.9623188405797102,0.9619378979878518
19,0.6869565217391305,0.6536081526475148,0.5304347826086957,0.4727207649312912,0.6405797101449275,0.5951267530053369,0.8521739130434782,0.84329406887599,0.8028985507246377,0.785853081702558
20,0.8173913043478261,0.7972207863550466,0.663768115942029,0.6281179501064729,0.4492753623188406,0.3746360580634518,0.8695652173913043,0.8530164384949639,0.8260869565217391,0.8126151434753928
21,0.8173913043478261,0.8109348210829523,0.6521739130434783,0.6138747075033812,0.672463768115942,0.611464122114765,0.9304347826086956,0.9298603700167392,0.8579710144927536,0.8559952748289968
22,0.6898550724637681,0.6769528390581387,0.6492753623188405,0.6116810379122409,0.7014492753623188,0.6925568200862319,0.8898550724637682,0.8888603057036032,0.8753623188405797,0.8722640296987266
23,0.8105590062111802,0.8097752429357029,0.593167701863354,0.5307953828787623,0.6770186335403726,0.6316496878589801,0.9596273291925466,0.959881964763986,0.9161490683229814,0.9167093912570444
24,0.8724637681159421,0.8737985096163042,0.736231884057971,0.7178746704806619,0.6753623188405797,0.6454019861112882,0.9391304347826087,0.9401246718980708,0.9014492753623189,0.9034319368340338
25,0.08115942028985507,0.08935323935323934,0.17391304347826086,0.14901590067905918,0.14782608695652175,0.1058825718488812,0.12753623188405797,0.13112247683676256,0.13043478260869565,0.1361730866484965
26,0.6057971014492753,0.6279991377058773,0.5362318840579711,0.5087162825023829,0.6,0.5711270942356704,0.7188405797101449,0.7014011928065443,0.6927536231884058,0.679140264256017
27,0.6666666666666666,0.6561783172990299,0.6028985507246377,0.57279527940414,0.6666666666666666,0.6450078800514341,0.8260869565217391,0.8072546484588592,0.8,0.784560224959363
28,0.8173913043478261,0.8074967805346698,0.6666666666666666,0.6284245288581628,0.6434782608695652,0.5959658790523628,0.9217391304347826,0.9204926741297822,0.8898550724637682,0.8762972328758432
29,0.6782608695652174,0.6588705195687792,0.6289855072463768,0.603955665982959,0.6144927536231884,0.5769585253742093,0.8318840579710145,0.82987663457664,0.7855072463768116,0.7841264280287312
30,0.8028985507246377,0.7995577020399102,0.5855072463768116,0.5538277101737705,0.6086956521739131,0.578358989151143,0.9217391304347826,0.9182562613088383,0.8724637681159421,0.8612892320313371
31,0.8,0.7999536892970401,0.5855072463768116,0.5705405913794681,0.7072463768115942,0.6929846790708013,0.8579710144927536,0.8528063257346715,0.7971014492753623,0.7806565775100148
32,0.7391304347826086,0.6909131272636698,0.5507246376811594,0.5195960210310689,0.5594202898550724,0.49548187721548387,0.7159420289855073,0.6557615129744001,0.6927536231884058,0.6343921493463216
33,0.639751552795031,0.5866403114705002,0.3944099378881988,0.3765234556432852,0.6211180124223602,0.5756722927038919,0.8167701863354038,0.8169218125158797,0.7701863354037267,0.7691956306745114
34,0.6,0.5942079013608736,0.6985507246376812,0.6744913749415242,0.7130434782608696,0.6943702905143136,0.7333333333333333,0.7155806892350222,0.6753623188405797,0.6460938202370181
35,0.8927536231884058,0.890891656029095,0.6086956521739131,0.5591438808745391,0.6550724637681159,0.6387717826215717,0.9304347826086956,0.9285257844035303,0.8173913043478261,0.7998178194997179
36,0.5942028985507246,0.5568487804706272,0.5333333333333333,0.5024143093164526,0.5623188405797102,0.510113559119633,0.6840579710144927,0.6217712105101346,0.6550724637681159,0.5966931187370169
37,0.7710144927536232,0.7681150278757415,0.6115942028985507,0.5811911282631264,0.6869565217391305,0.6734713992354229,0.8144927536231884,0.7773217531887269,0.782608695652174,0.7450879394980685
38,0.8115942028985508,0.8003629105186344,0.6376811594202898,0.6242921510284599,0.6840579710144927,0.6514552873755025,0.9101449275362319,0.9119652772997422,0.8753623188405797,0.8757624212952521
39,0.6521739130434783,0.6444036808308184,0.6492753623188405,0.5915929935251133,0.7188405797101449,0.7170491409844696,0.7565217391304347,0.7323805077164702,0.7159420289855073,0.68901275684193
40,0.6782608695652174,0.6487611262811833,0.5884057971014492,0.5532129879539196,0.5855072463768116,0.5160952606136529,0.7130434782608696,0.6677629473992639,0.672463768115942,0.634367564397373
41,0.8260869565217391,0.8063016898987089,0.6550724637681159,0.6172703894117916,0.7014492753623188,0.6710512314710013,0.8927536231884058,0.8749269997874649,0.8579710144927536,0.8381775472026017
42,0.7855072463768116,0.764238327695324,0.4811594202898551,0.4226183455622004,0.6434782608695652,0.6206739678404136,0.8869565217391304,0.8834727836908288,0.8260869565217391,0.819277696377804
43,0.8322981366459627,0.8130207360581331,0.5372670807453416,0.48310296450145646,0.7546583850931677,0.7386026067885557,0.8975155279503105,0.8927130109345179,0.8881987577639752,0.8820758711868659
44,0.6463768115942029,0.6123727893927129,0.4927536231884058,0.4438975926921376,0.6,0.5636632441242855,0.7768115942028986,0.7481842495126421,0.7188405797101449,0.6829308781431682
