loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
1,0.7188405797101449,0.6785874186505814,0.782608695652174,0.741814831025426,0.8231884057971014,0.8103022037064591,0.7855072463768116,0.7770550403660987
2,0.6086956521739131,0.5757929019457911,0.4956521739130435,0.4364156036177495,0.7101449275362319,0.6850648949495342,0.6840579710144927,0.6548815892272254
3,0.6811594202898551,0.6486536789563779,0.7072463768115942,0.6945204629225278,0.8202898550724638,0.7999548641780627,0.7797101449275362,0.7552375210483296
4,0.5797101449275363,0.5206336544100795,0.9101449275362319,0.904437920478835,0.9565217391304348,0.9563627782919998,0.927536231884058,0.925352060742481
5,0.4927536231884058,0.42216884924460546,0.7217391304347827,0.7154468577430121,0.782608695652174,0.7446767377423766,0.7130434782608696,0.6530693357105745
6,0.6463768115942029,0.6156176851665977,0.7333333333333333,0.729245314794569,0.8492753623188406,0.8490260536390567,0.8028985507246377,0.8034075435469165
7,0.6115942028985507,0.5594742632559616,0.7942028985507247,0.7740305485417917,0.8463768115942029,0.8227601721863855,0.7942028985507247,0.7721132622878967
8,0.11304347826086956,0.07831116252168885,0.1246376811594203,0.12837668791860674,0.13043478260869565,0.13041784189325173,0.11884057971014493,0.11789435011904421
9,0.5739130434782609,0.5120913244629574,0.6231884057971014,0.6395733472071554,0.7217391304347827,0.70134824430699,0.6869565217391305,0.6813944679722016
10,0.6434782608695652,0.6197423043691274,0.7159420289855073,0.681684314080453,0.8,0.7727222715724211,0.782608695652174,0.7590698393779184
11,0.6463768115942029,0.5961373412353805,0.7536231884057971,0.7345687136625931,0.8695652173913043,0.8584289585514986,0.8347826086956521,0.8172941181433542
12,0.6811594202898551,0.648000422749975,0.7014492753623188,0.6816662652547015,0.736231884057971,0.7379068236491313,0.6956521739130435,0.7003375548620113
13,0.5362318840579711,0.5177787541320445,0.8202898550724638,0.8157024402124013,0.8231884057971014,0.8106517530565038,0.7594202898550725,0.7368058320569212
14,0.6869565217391305,0.6390845576172289,0.7768115942028986,0.7629447426066959,0.8695652173913043,0.8523215199947131,0.8231884057971014,0.7996866610900388
15,0.6057971014492753,0.5413272297322931,0.7536231884057971,0.7162409390070456,0.7565217391304347,0.6987986333463672,0.7043478260869566,0.641243006185984
16,0.6273291925465838,0.5821604313958662,0.6459627329192547,0.6010622753166308,0.7857142857142857,0.7596960862266985,0.7670807453416149,0.7442294551893761
17,0.6753623188405797,0.6593507051372895,0.8347826086956521,0.8185432513451973,0.9101449275362319,0.9061399483364053,0.9014492753623189,0.8942324741917568
18,0.6405797101449275,0.5939346340912663,0.8057971014492754,0.7923551481124558,0.863768115942029,0.8554938300050154,0.8028985507246377,0.7793790961562743
19,0.42028985507246375,0.37449568368284214,0.6753623188405797,0.6178063771031117,0.6405797101449275,0.6092729070648898,0.6231884057971014,0.5920205006983379
20,0.6521739130434783,0.6194520021323808,0.7913043478260869,0.7826257800033574,0.8579710144927536,0.8327724277556305,0.8115942028985508,0.7860732772965382
21,0.6811594202898551,0.645045057888365,0.7565217391304347,0.7457202846607623,0.8956521739130435,0.8962410330510931,0.8579710144927536,0.8583004321068036
22,0.6811594202898551,0.663796880567677,0.6608695652173913,0.6169480047638956,0.7797101449275362,0.7536140222475369,0.7101449275362319,0.6697128857237721
23,0.5942028985507246,0.551488583489373,0.5855072463768116,0.5613922043267433,0.6753623188405797,0.6368667301357045,0.6753623188405797,0.625975443500069
