loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
0,0.8327569169960475,0.8514109616297599,0.8344861660079052,0.8361972374658183,0.8977272727272727,0.8976055693399388,0.8809288537549407,0.8807135492294416
1,0.8346360527601367,0.8503473898929108,0.7887151929653151,0.7927526379417653,0.8847093307278945,0.8842692642173668,0.8624816805080606,0.8620333880824756
2,0.8507572056668296,0.873125611322395,0.8407425500732779,0.8426425855895965,0.932828529555447,0.9325193439947154,0.9118221787982413,0.9112772131357131
3,0.8234000977039571,0.8348597288255788,0.8172936003908158,0.8200086777202742,0.894723986321446,0.8946974953217152,0.8673668783585735,0.867378971010763
4,0.8445470002428953,0.8560232105946387,0.8285159096429439,0.8338542907802066,0.9159582220063153,0.914738968335423,0.8899684236094243,0.8878093695656945
5,0.8656788923973767,0.8811634836574204,0.8435754189944135,0.8437724358664223,0.9356327422880738,0.9352501400271535,0.9176584891911587,0.9170225064565007
6,0.8337450592885376,0.8456643056914404,0.8268280632411067,0.819040424006476,0.9066205533596838,0.9061608198747743,0.8873517786561265,0.8869676629084264
7,0.8253582705853777,0.8418198409676383,0.8311877580762691,0.830911428652704,0.9033276657760505,0.9029705128098261,0.8812241923730872,0.8809876663015763
8,0.8376811594202899,0.8494081343682711,0.8012077294685991,0.8052738811209327,0.9036231884057971,0.903119519282456,0.8879227053140096,0.887139198316794
9,0.7953102100635075,0.7986650373793152,0.8045920859794822,0.8055500667842357,0.8888617489008305,0.8866294607911687,0.8683439179286762,0.8659112197478225
10,0.7991600790513834,0.8045962355847471,0.8139822134387352,0.8195987845063313,0.8866106719367589,0.8859429954194326,0.8680830039525692,0.8672336171338272
11,0.792324508136993,0.8031557645818392,0.8212290502793296,0.825273721356091,0.8991984454700024,0.8994726301948381,0.8649502064610153,0.8652727066097582
12,0.8535986244166053,0.8663316053508353,0.8398427904691722,0.8396999174785732,0.9135347580447064,0.9119763717825385,0.8904446082043724,0.8881374493508124
13,0.8106280193236715,0.8174376124639905,0.8314009661835748,0.836645010806646,0.8782608695652174,0.877087774978925,0.8538647342995169,0.8525877731847693
14,0.8336590131900342,0.8493235644548708,0.8255984367366879,0.8186685633372396,0.9025403028822667,0.9009028968722766,0.8888617489008305,0.8875527483692717
15,0.8182264799803488,0.824743894172581,0.8039793662490788,0.8022610215446673,0.8730041758781626,0.871783888440938,0.8563006632277081,0.8544779096953352
16,0.8422081094284318,0.8514769287426365,0.8348803126526624,0.8336368886053502,0.920371275036639,0.9191986496280747,0.9022960429897411,0.900454431123603
17,0.8644927536231884,0.8785273745322242,0.8371980676328502,0.8397887555289203,0.921256038647343,0.9202460601216569,0.8975845410628019,0.8961255366577717
18,0.8379227053140097,0.8417901325644674,0.8231884057971014,0.8219830046315301,0.9082125603864735,0.9068499016101781,0.885024154589372,0.8832116687567175
19,0.8458720078163166,0.8659810435960753,0.8463605276013678,0.8499101981745365,0.9220810942843185,0.9216005503966572,0.9137762579384465,0.9133213763035751
20,0.8277967757694187,0.8361733054527766,0.8273082559843674,0.8224738680999352,0.903028822667318,0.900939850143399,0.8957010258915487,0.8936012774241209
21,0.8360456643186787,0.8495736158854431,0.8192858877823658,0.8233191995408635,0.8923973767306291,0.8914408722439183,0.8756376001943162,0.8744274295262375
22,0.8206521739130435,0.8299716955417232,0.8073122529644269,0.8012501279416092,0.8900691699604744,0.8884762070887964,0.8710474308300395,0.8691612919136087
23,0.838231722127763,0.8529919859357865,0.8207432596550887,0.8197591037609733,0.903570561088171,0.9016483219597943,0.878552343939762,0.8755789989850473
24,0.8565217391304348,0.8709073253820061,0.8268115942028985,0.8241169280381304,0.9173913043478261,0.9170306129701703,0.8983091787439613,0.8977986058365679
25,0.8389328063241107,0.8548566934954371,0.8505434782608695,0.8521614753395358,0.9125494071146245,0.91190450322662,0.8816699604743083,0.8811947917582658
26,0.8309448627641487,0.8414172162753448,0.8127277143551129,0.814366241305964,0.9055137235851348,0.904337314924378,0.8848676220548943,0.8835205796109443
27,0.8157114624505929,0.8287176230816409,0.833498023715415,0.8453639482088742,0.9135375494071146,0.9132039466524552,0.8979743083003953,0.8981711907157003
28,0.8367094861660079,0.8511048442033393,0.8386857707509882,0.8393851306574743,0.9192193675889329,0.9185297922922068,0.8915513833992095,0.8904213449333557
29,0.8334147532975086,0.8479655332647685,0.8180263800683928,0.8130408670157918,0.899609184171959,0.8976815332626906,0.885686370297997,0.88362945692495
mean,0.8325641537222548,0.8449843899630635,0.8249915743206873,0.8257568807269157,0.9048656632954294,0.903940525606816,0.8845750761415035,0.8834373643189815
std,0.018040654070141167,0.02092216216621009,0.014531690326624193,0.01534761751856164,0.015045876288221046,0.015207320451611843,0.01618361623080168,0.016271064025568348
