loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
0,0.9421104054714216,0.9318809424006698,0.8512457254518808,0.8012855391857726,0.9416218856863703,0.9400656786852295,0.9267220322423058,0.9247149502777952
1,0.9384465070835368,0.9183368423903573,0.8168050806057645,0.7553548280431037,0.9340498290180752,0.9325333534290203,0.9220810942843185,0.9202296515488974
2,0.9447972642892037,0.9332474030899579,0.8414753297508549,0.7815091259808422,0.9589643380556913,0.9573888487743718,0.9477283829995115,0.9455326252165939
3,0.8602309014984033,0.8388439132465022,0.8607221812822402,0.8102833366486304,0.9221321542618521,0.9221294698989442,0.908867600098256,0.9088101450469994
4,0.8985507246376812,0.8922020171119465,0.8657004830917875,0.8070657690067718,0.9311594202898551,0.9304094239983143,0.9033816425120773,0.9019455014730536
5,0.8747236551215918,0.8509975071276139,0.7988209285187915,0.7295386567764345,0.8747236551215918,0.8725925331158924,0.8676000982559567,0.8630971386629597
6,0.9468599033816425,0.9382608779710299,0.8458937198067633,0.8148394549124742,0.941304347826087,0.942148539286608,0.9258454106280193,0.9269050116204389
7,0.9493167701863354,0.9344872740990289,0.8280745341614907,0.776139970716853,0.9445962732919254,0.9441451262218029,0.9321739130434783,0.9307188865956867
8,0.8835666912306559,0.8639674837479902,0.8491771063620732,0.783061933644196,0.899042004421518,0.8943391557942771,0.8926553672316384,0.8873145522432953
9,0.9076697606253054,0.8969076189278644,0.8299951148021495,0.7787749608551386,0.9174401563263312,0.9179710576652887,0.8998534440644846,0.9003145966151301
10,0.9366043235365558,0.9301047766255297,0.8389604080641243,0.7908622375188974,0.9327179985426282,0.9330983796901092,0.9106145251396648,0.9113505914582508
11,0.8722520762090865,0.8505077470215634,0.8370786516853933,0.7778721586676913,0.907914020517831,0.9056804292988977,0.8825109916951637,0.8793330300264307
12,0.9447972642892037,0.9243969023290044,0.7989741084513923,0.7315637453342105,0.936248168050806,0.9324193981746616,0.9272105520273571,0.9225912993389688
13,0.9604080641243624,0.951557381909927,0.8603351955307262,0.8090827794674325,0.9621083313092057,0.9615125828607648,0.953606995384989,0.9529235837632204
14,0.9496824621397166,0.9377446236159579,0.8563751831949193,0.8037312147555222,0.954323400097704,0.9524498617300037,0.9406448461162678,0.9374253111430173
15,0.9302890454214233,0.91216342836003,0.8350740830701967,0.7781693851047404,0.9145008501335924,0.9133633391362909,0.8982268642215205,0.8957389177912499
16,0.9264027204274957,0.9015619421400057,0.8552343939761963,0.7868430185495601,0.9370901141607967,0.9354192060362063,0.9273743016759777,0.9253776758856918
17,0.9336772291820191,0.9225264671796252,0.8580201424711373,0.821263770751661,0.9395725865880619,0.9394755926363663,0.9292557111274871,0.9286725279112918
18,0.9350296442687747,0.9101189774677336,0.8386857707509882,0.7697111419472438,0.9481225296442688,0.9472412963295165,0.9389822134387352,0.9376881514505039
19,0.9256740344911343,0.911098091571403,0.8452756861792567,0.7841058940244052,0.9468059266456157,0.9446972697646687,0.9351469516638329,0.9332144022543974
20,0.9135265700483092,0.8993167003338426,0.8118357487922705,0.7584384774172976,0.9185990338164252,0.9178831213498128,0.9072463768115943,0.9061606834542778
21,0.9435759648265755,0.931689971693827,0.8055691255495847,0.7054243904041534,0.9518808011724474,0.9512238925697114,0.9413776257938447,0.9406733979162895
22,0.912066438690767,0.8880430133946717,0.8304836345872008,0.7678020946864503,0.9000977039570103,0.8983862782802031,0.878847093307279,0.8769034101477048
23,0.9372252076209087,0.9251895597674596,0.8522227650219834,0.7951292070574966,0.925256472887152,0.923231127809828,0.9113336590131901,0.9092189415304428
24,0.9120718970123877,0.8998607003144847,0.8630070439640515,0.8149855624649789,0.939276171969881,0.9372481153825551,0.9140150595093515,0.9101384441774462
25,0.916218856863703,0.8859323941363397,0.8187591597459697,0.7624709559410978,0.9035173424523694,0.8982346898382074,0.8944797264289204,0.8876693853139284
26,0.9373330094729172,0.9169853018127336,0.8367743502550401,0.773744996419067,0.9266456157396162,0.9214091567473077,0.9276171969880981,0.9226083475990654
27,0.9436482875880495,0.929322980648446,0.842846733058052,0.8005045935643156,0.9477775078940976,0.9449649616888119,0.9322322079183871,0.9285042573834663
28,0.8612603810454323,0.8399022544172504,0.8417195896433806,0.7925095450261244,0.894723986321446,0.8934068967490001,0.8737176355642403,0.8723131947019113
29,0.913768115942029,0.8943431166698883,0.83743961352657,0.7819684739578352,0.9091787439613527,0.9084129256707923,0.8934782608695652,0.8932898914900305
mean,0.9217261392242211,0.9053832737174227,0.8384193863784076,0.7814679072943467,0.9287130456720534,0.9271160569537821,0.9148275926685171,0.9127126168012811
std,0.02764123786359803,0.03076121988251996,0.018523828916601905,0.026744054042730923,0.021159654299306375,0.021615926782127384,0.022690690851775924,0.023113876071951193
