loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
1,0.9014492753623189,0.8981871524634683,0.9710144927536232,0.9621599480566008,0.9826086956521739,0.981578947368421,0.9826086956521739,0.981578947368421
2,0.8975155279503105,0.8242416354693588,0.9347826086956522,0.8831862902943526,0.953416149068323,0.9508038261465214,0.8913043478260869,0.8748412117316071
3,0.9507246376811594,0.9308869907583416,0.8985507246376812,0.8404070251817015,0.9333333333333333,0.9239034244416254,0.9246376811594202,0.9137002490105363
4,1.0,1.0,0.9565217391304348,0.9401001486102067,1.0,1.0,0.991304347826087,0.9911819830548074
5,0.6987577639751553,0.7429581969685707,0.9037267080745341,0.8133765322740675,0.8850931677018633,0.8565474299595573,0.8633540372670807,0.8373955252366303
6,0.9101449275362319,0.859066734456597,0.9072463768115943,0.8831672876931498,0.936231884057971,0.9253769296158454,0.9246376811594202,0.9098046089491915
7,0.9710144927536232,0.9513304093567252,0.9101449275362319,0.8800169825093606,0.9710144927536232,0.9677357770141275,0.9710144927536232,0.9677357770141275
8,0.9565217391304348,0.943660683945658,0.8608695652173913,0.7713389584817082,0.927536231884058,0.9153912840747632,0.927536231884058,0.9178626398128295
9,0.9797101449275363,0.9738035084833865,0.9159420289855073,0.8708817570342319,0.9536231884057971,0.9504625983645448,0.936231884057971,0.9291329901329901
10,0.9942028985507246,0.992953431372549,0.9333333333333333,0.8986319964589615,0.9855072463768116,0.9848152449778466,0.9623188405797102,0.9591008958213958
11,0.7275362318840579,0.6831825703677941,0.863768115942029,0.8127728724527505,0.8927536231884058,0.8719369103930508,0.8869565217391304,0.8584924659486064
12,0.8057971014492754,0.6827847580896361,0.808695652173913,0.8133823893298623,0.9217391304347826,0.8988124717757148,0.9101449275362319,0.8857070445169378
13,0.9565217391304348,0.9341981714850507,0.8985507246376812,0.8370367028297996,0.9565217391304348,0.9521933642886163,0.9507246376811594,0.9463894710668377
14,0.9449275362318841,0.8969096485020052,0.927536231884058,0.9007183830761214,0.9797101449275363,0.9793446640220305,0.9768115942028985,0.976234618095083
15,0.9710144927536232,0.9582644750167875,0.9623188405797102,0.9494012306536894,0.9884057971014493,0.9881731876580213,0.9768115942028985,0.976504485852312
16,0.8115942028985508,0.8137272669187563,0.9130434782608695,0.8926846686608996,0.9884057971014493,0.9885728650434532,0.9130434782608695,0.9180835070300642
