loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
1,0.9130434782608695,0.9084515366430259,0.9217391304347826,0.8555718599497686,0.9855072463768116,0.9853518080946261,0.9449275362318841,0.9470000651980088
2,0.2144927536231884,0.1896860879237673,0.8115942028985508,0.6584332961497128,0.7130434782608696,0.6805320175269307,0.7159420289855073,0.6808542067982133
3,0.8043478260869565,0.678028535012619,0.8291925465838509,0.7271942378925456,0.9440993788819876,0.9361314094506784,0.9347826086956522,0.9304463206950118
4,0.9826086956521739,0.9756640343474983,0.855072463768116,0.762420489028945,0.9768115942028985,0.9763058483790795,0.9710144927536232,0.9703803921820627
5,1.0,1.0,0.8898550724637682,0.8360226067377305,1.0,1.0,0.9884057971014493,0.9879770347855454
6,0.9596273291925466,0.9385091099376813,0.782608695652174,0.6413206928264606,0.9037267080745341,0.8756025368375755,0.9006211180124224,0.8733295643275973
7,0.8985507246376812,0.8296258211013499,0.7275362318840579,0.6504067878944046,0.8869565217391304,0.8607498593979501,0.8724637681159421,0.8492100374117431
8,0.9710144927536232,0.9543171065957349,0.8463768115942029,0.8059302804306705,0.9768115942028985,0.9748286059063002,0.9768115942028985,0.9748286059063002
9,0.9565217391304348,0.9447400670794635,0.7855072463768116,0.7061898460568838,0.9594202898550724,0.9554788069073784,0.9652173913043478,0.9642063194200389
10,0.9884057971014493,0.9845741113346747,0.8869565217391304,0.8275891370263131,0.9681159420289855,0.9666756077999684,0.9594202898550724,0.9564452110547096
11,0.9217391304347826,0.8578935511123628,0.8144927536231884,0.6680291535551846,0.9304347826086956,0.9153370622090685,0.8782608695652174,0.8386557527334226
12,0.8115942028985508,0.667520772336399,0.7681159420289855,0.732207253530783,0.9507246376811594,0.9484347146801874,0.8579710144927536,0.8461465169713954
13,1.0,1.0,0.863768115942029,0.7908975669898316,0.9884057971014493,0.987954033060416,0.9681159420289855,0.9660832393551325
14,0.8724637681159421,0.7998022669922346,0.8608695652173913,0.7626693665359288,0.8347826086956521,0.7860929889098903,0.8028985507246377,0.7911028285302165
15,0.9420289855072463,0.9147295141757544,0.8173913043478261,0.7425037211444858,0.9507246376811594,0.9455887338848358,0.9565217391304348,0.9530777416091376
16,0.9449275362318841,0.8997824279739173,0.8492753623188406,0.8048160864799818,0.9072463768115943,0.8797380666630943,0.9014492753623189,0.8734825492979487
17,0.9797101449275363,0.9724715444130339,0.7855072463768116,0.7714562455120082,0.9797101449275363,0.9790805901352105,0.9652173913043478,0.9639336589336588
18,0.8463768115942029,0.852654721793055,0.7913043478260869,0.731056583282673,0.7942028985507247,0.7603395091545214,0.7478260869565218,0.7119314887334136
19,0.5855072463768116,0.41907214704472023,0.8434782608695652,0.7185096153846153,0.5420289855072464,0.49898728503011824,0.45507246376811594,0.3908371551055524
20,0.9855072463768116,0.9899320238950154,0.8840579710144928,0.8385984136840452,0.991304347826087,0.9912774806892454,0.9826086956521739,0.9825418566339458
21,0.9391304347826087,0.9188772528896505,0.8666666666666667,0.7785240660901804,0.9217391304347826,0.9145369955985353,0.9159420289855073,0.90915889022043
22,0.9768115942028985,0.9769374475856728,0.8318840579710145,0.7344319770118516,0.9826086956521739,0.9823049067661286,0.9652173913043478,0.964936364936365
23,0.7652173913043478,0.7666942193562714,0.7884057971014493,0.7324614236228902,0.8579710144927536,0.8661668505641824,0.8347826086956521,0.8450757113257112
24,0.9855072463768116,0.9842534779274839,0.8927536231884058,0.8746038637736154,0.9797101449275363,0.9806488291937605,0.9623188405797102,0.9647518215537728
25,1.0,1.0,0.7884057971014493,0.740069060967257,0.9884057971014493,0.9882898102195605,0.9826086956521739,0.9823061509751267
26,0.9596273291925466,0.9493323756721067,0.9037267080745341,0.8587379826643631,0.953416149068323,0.9515681210078828,0.9440993788819876,0.9416773372620881
27,0.9565217391304348,0.9260590647344578,0.9014492753623189,0.8445486932205376,0.9536231884057971,0.9431111111111111,0.9536231884057971,0.9429255022155695
28,0.2927536231884058,0.205438852901855,0.1391304347826087,0.17775243702042665,0.27246376811594203,0.2322889624487404,0.263768115942029,0.2234520699980738
29,0.9072463768115943,0.9003160074098289,0.8782608695652174,0.8101432063247529,0.9246376811594202,0.9261682980118572,0.9188405797101449,0.9200801679934438
30,0.9333333333333333,0.9571428571428572,0.7652173913043478,0.7147415831033859,0.881159420289855,0.8743241943241945,0.8695652173913043,0.8597675139815704
31,0.9304347826086956,0.9213675213675213,0.8927536231884058,0.819316212437236,0.9797101449275363,0.9790705528459116,0.9594202898550724,0.9567345449994362
32,0.9130434782608695,0.9057629651050704,0.8579710144927536,0.7365780943532506,0.9623188405797102,0.9559688072434186,0.936231884057971,0.9258497525865946
33,0.9449275362318841,0.9127677904006177,0.8695652173913043,0.8019309238719157,0.9304347826086956,0.917898437661024,0.9333333333333333,0.9196725541253418
34,0.9826086956521739,0.9778932174732158,0.8753623188405797,0.8159174439797412,0.9594202898550724,0.95575276784802,0.9652173913043478,0.962870792003483
35,0.855072463768116,0.7833828419415285,0.8666666666666667,0.8542046285787099,0.8376811594202899,0.8099464938004837,0.8347826086956521,0.8059006175539655
36,0.8322981366459627,0.6999954185950217,0.7515527950310559,0.5423361522198732,0.8385093167701864,0.8681122448979591,0.8385093167701864,0.8681122448979591
37,0.9826086956521739,0.9769320147368927,0.8724637681159421,0.8093084901831797,0.9739130434782609,0.9723736182374926,0.9652173913043478,0.9619155254139893
38,0.9768115942028985,0.9687188667496887,0.9420289855072463,0.9244465332878506,0.9855072463768116,0.9850940679109693,0.9797101449275363,0.9792099311248247
39,0.9797101449275363,0.9733398251040593,0.8695652173913043,0.781254564867357,0.9507246376811594,0.9425583103002458,0.9623188405797102,0.9606030787916926
40,0.8260869565217391,0.7493713175079435,0.7333333333333333,0.5715095022623253,0.855072463768116,0.8508833456051131,0.8028985507246377,0.8101889033257391
41,0.9884057971014493,0.985435663627153,0.927536231884058,0.9080790746465385,0.9623188405797102,0.9603252836327429,0.9420289855072463,0.9351774476570924
42,0.9623188405797102,0.9502671375613936,0.7971014492753623,0.6708325818682355,0.9681159420289855,0.9672966854807924,0.9391304347826087,0.9358005224337121
43,0.9884057971014493,0.9851660418459033,0.8057971014492754,0.7387616519060367,0.9478260869565217,0.9449048193632688,0.9652173913043478,0.9645631388108161
44,0.7855072463768116,0.817789257745453,0.8,0.7383993239980686,0.8492753623188406,0.8520936954532378,0.7739130434782608,0.7701432602324847
45,0.9652173913043478,0.9479141145676135,0.8260869565217391,0.7246166750767977,0.9507246376811594,0.9389840563589174,0.9478260869565217,0.9377750394771672
46,0.9565217391304348,0.9519900946511116,0.8492753623188406,0.791891760581126,0.9681159420289855,0.9660880615512342,0.9449275362318841,0.9441037760009607
47,1.0,1.0,0.9006211180124224,0.8510960262028581,0.9813664596273292,0.9803571428571429,0.984472049689441,0.9837966911137642
48,0.9304347826086956,0.8862921510330107,0.8231884057971014,0.7388771676703468,0.9217391304347826,0.9123593630842453,0.9043478260869565,0.9003241723966724
49,0.9627329192546584,0.8278444016429848,0.7546583850931677,0.6593318577586287,0.9658385093167702,0.9655084681400471,0.9596273291925466,0.9592664346041833
50,0.984472049689441,0.9806042728679956,0.8633540372670807,0.7903823031811118,0.984472049689441,0.9837306196191213,0.9751552795031055,0.9736243968507441
51,0.959866220735786,0.9545192870646794,0.8862876254180602,0.8501501512963658,0.9933110367892977,0.9933373028250866,0.9665551839464883,0.9677402836249964
52,0.855072463768116,0.7268847053329812,0.8434782608695652,0.8162996243678614,0.8927536231884058,0.8606960167714885,0.8666666666666667,0.8226595641700997
53,1.0,1.0,0.8782608695652174,0.8107381550544871,1.0,1.0,0.9942028985507246,0.9941912809913752
