loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
0,0.4076697606253053,0.3867759115254429,0.6472887151929653,0.6470525377849629,0.7042012701514412,0.6924767953102101,0.6855879868027759,0.6924767953102101,0.6855879868027759
1,0.4340498290180752,0.41428626131664337,0.6240840254030289,0.6216212712271033,0.7059110893991206,0.6819736199316072,0.6744077407904052,0.6819736199316072,0.6744077407904052
2,0.4545676599902296,0.42932611795616876,0.6179775280898876,0.6127518228520347,0.7095749877870053,0.6863702979970688,0.6761526005604629,0.6863702979970688,0.6761526005604629
3,0.4587200781631656,0.44341180142556613,0.6438690766976063,0.6428705963406857,0.6919882755251587,0.7132388861748901,0.7070577867253879,0.7132388861748901,0.7070577867253879
4,0.4772838299951148,0.4627841738460854,0.6358085002442599,0.6333004582293281,0.7115290669272105,0.7107962872496336,0.7045392394879411,0.7107962872496336,0.7045392394879411
5,0.4333170493404983,0.4155625592328841,0.6421592574499267,0.6405887433374863,0.6880801172447484,0.6924767953102101,0.683451048223095,0.6924767953102101,0.683451048223095
6,0.44894968246213973,0.4290005799077226,0.5639960918417196,0.5615230868016444,0.6780654616511969,0.6375183194919394,0.6271892404520838,0.6375183194919394,0.6271892404520838
7,0.4201270151441133,0.40045312512050446,0.6191988275525159,0.6146707597276483,0.7076209086468002,0.67171470444553,0.6643296133318419,0.67171470444553,0.6643296133318419
8,0.43820224719101125,0.42188114502854124,0.5749877870053737,0.5704263522489001,0.6702491450903761,0.6404494382022472,0.6331435005405022,0.6404494382022472,0.6331435005405022
9,0.5007327796775769,0.48755938491188605,0.5979482169027845,0.594086706854407,0.6990718124084025,0.6839276990718124,0.6781911072016323,0.6839276990718124,0.6781911072016323
10,0.4137762579384465,0.39484627650435206,0.6116267708842208,0.6084669891682751,0.7078651685393258,0.6587689301416707,0.6519501622246658,0.6587689301416707,0.6519501622246658
11,0.44870542256961404,0.42459779181370383,0.5713238886174891,0.5680159053227812,0.710552027357108,0.6507083536883244,0.6424380452608889,0.6507083536883244,0.6424380452608889
12,0.5109916951636542,0.495862022188563,0.618466047874939,0.6181013259503225,0.7007816316560821,0.7012701514411334,0.6951746684603064,0.7012701514411334,0.6951746684603064
13,0.5148998534440645,0.4957362825803636,0.6521739130434783,0.6526921607778728,0.6910112359550562,0.7401074743527113,0.7344922594444068,0.7401074743527113,0.7344922594444068
14,0.4767953102100635,0.4494302894717702,0.6040547142159257,0.6003224268753005,0.6895456765999023,0.6851489985344407,0.6771422593668346,0.6851489985344407,0.6771422593668346
15,0.4164631167562286,0.397292481320916,0.5759648265754763,0.5730105644122516,0.7059110893991206,0.6367855398143625,0.630192565381471,0.6367855398143625,0.630192565381471
16,0.4682462139716658,0.44613554784921666,0.6414264777723497,0.6370876839416039,0.7247191011235955,0.7151929653150952,0.7076819099192694,0.7151929653150952,0.7076819099192694
17,0.40400586223742063,0.38768105746940296,0.617733268197362,0.6133182629404782,0.7103077674645824,0.6555935515388374,0.6460522194092962,0.6555935515388374,0.6460522194092962
18,0.47972642892037126,0.4630647201288667,0.638495359062042,0.6368605685783385,0.7073766487542745,0.7044455300439668,0.6955679515928699,0.7044455300439668,0.6955679515928699
19,0.42134831460674155,0.4002473043958407,0.6106497313141183,0.6081960641738979,0.6912554958475818,0.6670737664875428,0.6592045549347657,0.6670737664875428,0.6592045549347657
20,0.4670249145090376,0.44800256125257387,0.5957498778700537,0.593437829361815,0.6927210552027357,0.6763556424035173,0.670898781134698,0.6763556424035173,0.670898781134698
21,0.46555935515388375,0.44601372246223797,0.5857352222765022,0.5804748383732448,0.6751343429408891,0.6541279921836834,0.6478363906021796,0.6541279921836834,0.6478363906021796
22,0.48534440644846116,0.4636728934912965,0.5119687347337567,0.5084102043589118,0.688324377137274,0.6287249633610161,0.6166280834572028,0.6287249633610161,0.6166280834572028
23,0.4772838299951148,0.45935520458814605,0.6704934049829018,0.6707901834211241,0.7078651685393258,0.730581338544211,0.7243745497236478,0.730581338544211,0.7243745497236478
24,0.4064484611626771,0.3868781408792871,0.6165119687347338,0.6163347561164069,0.7073766487542745,0.6617000488519785,0.6558241281446775,0.6617000488519785,0.6558241281446775
25,0.5232046897899365,0.5047738768244235,0.6360527601367856,0.6333444463864633,0.717391304347826,0.723742061553493,0.7180226489116639,0.723742061553493,0.7180226489116639
26,0.42501221299462627,0.40848033530906747,0.5820713238886175,0.579755903310394,0.6966292134831461,0.6436248168050807,0.6363523928929018,0.6436248168050807,0.6363523928929018
27,0.5437225207620908,0.5332045218369975,0.5908646800195408,0.5831319293239982,0.6988275525158769,0.709819247679531,0.703553322675347,0.709819247679531,0.703553322675347
28,0.4276990718124084,0.4085373397853047,0.5901319003419638,0.5868189488006886,0.7134831460674157,0.6560820713238886,0.648603109431172,0.6560820713238886,0.648603109431172
29,0.4846116267708842,0.4685369292036927,0.5911089399120665,0.5880514618653686,0.6866145578895946,0.6819736199316072,0.6765015843399987,0.6819736199316072,0.6765015843399987
mean,0.4578163165608207,0.43911301198758224,0.6093307278944795,0.6065171596287912,0.6996661781468814,0.6797589969060415,0.672418048380813,0.6797589969060415,0.672418048380813
std,0.03763063190434832,0.038875699483069216,0.032769434358421494,0.03367655790186135,0.012801334062386366,0.030305402411882985,0.031074238917285845,0.030305402411882985,0.031074238917285845
