loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
0,0.3844202898550725,0.36595820331943635,0.5782608695652174,0.5665456903448194,0.6811594202898551,0.5927536231884057,0.583538844002345,0.5927536231884057,0.583538844002345
1,0.35797101449275365,0.3378092141764827,0.5710144927536231,0.5610176050155915,0.6797101449275362,0.592391304347826,0.5788961619568922,0.592391304347826,0.5788961619568922
2,0.40905797101449276,0.3804049931471631,0.566304347826087,0.5486858018462394,0.6811594202898551,0.5938405797101449,0.577583871973547,0.5938405797101449,0.577583871973547
3,0.38768115942028986,0.3644422342330201,0.5507246376811594,0.5366597872542748,0.6739130434782609,0.5949275362318841,0.5808978711374496,0.5949275362318841,0.5808978711374496
4,0.41557971014492756,0.3955012601750988,0.5010869565217392,0.49207811500115206,0.6884057971014492,0.5753623188405798,0.5624058807677246,0.5753623188405798,0.5624058807677246
5,0.44855072463768114,0.4234558378320984,0.5659420289855073,0.5537165597360899,0.6673913043478261,0.6231884057971014,0.6095567616736238,0.6231884057971014,0.6095567616736238
6,0.30144927536231886,0.2819312657683558,0.5818840579710145,0.5662280037676655,0.7119565217391305,0.5931159420289855,0.5753207394406505,0.5931159420289855,0.5753207394406505
7,0.4438405797101449,0.424819734940997,0.6268115942028986,0.6147260030019805,0.7105072463768116,0.6565217391304348,0.648997419870694,0.6565217391304348,0.648997419870694
8,0.4311594202898551,0.40829572961644006,0.6,0.5859806574094257,0.6811594202898551,0.633695652173913,0.6248987559795358,0.633695652173913,0.6248987559795358
9,0.3695652173913043,0.35433870286346275,0.6123188405797102,0.6019117822019591,0.7144927536231884,0.6340579710144928,0.6224972680757488,0.6340579710144928,0.6224972680757488
10,0.3789855072463768,0.35947075142397317,0.5242753623188405,0.5139885686518448,0.6818840579710145,0.5728260869565217,0.5586002059254431,0.5728260869565217,0.5586002059254431
11,0.45072463768115945,0.43305396818591063,0.5887681159420289,0.5785495450501918,0.6793478260869565,0.6416666666666667,0.6306571904197552,0.6416666666666667,0.6306571904197552
12,0.43731884057971016,0.4085919466859835,0.5757246376811594,0.5657237419471112,0.6597826086956522,0.6155797101449275,0.6056428423811884,0.6155797101449275,0.6056428423811884
13,0.39855072463768115,0.37921726290001556,0.6065217391304348,0.5938919202205782,0.6981884057971014,0.6402173913043478,0.6324144405093458,0.6402173913043478,0.6324144405093458
14,0.42681159420289855,0.40773536732135296,0.6358695652173914,0.6240398288598995,0.6688405797101449,0.652536231884058,0.6434688481213476,0.652536231884058,0.6434688481213476
15,0.4492753623188406,0.42664496206555824,0.5764492753623188,0.5634748618978809,0.7115942028985507,0.6246376811594203,0.6137558303710661,0.6246376811594203,0.6137558303710661
16,0.4043478260869565,0.389719628743913,0.616304347826087,0.6092215311828657,0.7083333333333334,0.6445652173913043,0.6377676330992226,0.6445652173913043,0.6377676330992226
17,0.3815217391304348,0.3582463953667462,0.6431159420289855,0.6321038711515977,0.7166666666666667,0.663768115942029,0.653336050447362,0.663768115942029,0.653336050447362
18,0.42246376811594205,0.40315323104619893,0.5898550724637681,0.5795793348241399,0.6844202898550724,0.6101449275362318,0.602164875096628,0.6101449275362318,0.602164875096628
19,0.3829710144927536,0.36309425522014316,0.605072463768116,0.5890490164993154,0.6945652173913044,0.6260869565217392,0.6128449264546808,0.6260869565217392,0.6128449264546808
20,0.39420289855072466,0.37941752207121443,0.6025362318840579,0.5923020423033933,0.6905797101449276,0.6235507246376811,0.6155169719041801,0.6235507246376811,0.6155169719041801
21,0.38623188405797104,0.3633420536155722,0.5793478260869566,0.5676732824570219,0.6746376811594202,0.625,0.6122692099737849,0.625,0.6122692099737849
22,0.4648550724637681,0.44808345166537483,0.5601449275362319,0.5506349585766684,0.6644927536231884,0.6271739130434782,0.6177672591875388,0.6271739130434782,0.6177672591875388
23,0.3760869565217391,0.36144982165329764,0.6094202898550725,0.5999327120181571,0.7155797101449275,0.6329710144927536,0.6225125660686147,0.6329710144927536,0.6225125660686147
24,0.45869565217391306,0.445730272083784,0.4996376811594203,0.48614440674642234,0.6692028985507247,0.5873188405797102,0.5733212583740595,0.5873188405797102,0.5733212583740595
25,0.40108695652173915,0.3766284418763734,0.5873188405797102,0.57348252628608,0.6858695652173913,0.6347826086956522,0.62168613714995,0.6347826086956522,0.62168613714995
26,0.41340579710144926,0.39261733137413396,0.6257246376811594,0.6117416088262575,0.6626811594202898,0.6380434782608696,0.6270662114853444,0.6380434782608696,0.6270662114853444
27,0.358695652173913,0.3402315500976486,0.5688405797101449,0.5555539834863178,0.6840579710144927,0.5887681159420289,0.5740266927167361,0.5887681159420289,0.5740266927167361
28,0.4126811594202899,0.39064794671398945,0.5905797101449275,0.5795882012361246,0.6681159420289855,0.619927536231884,0.6108747528367772,0.619927536231884,0.6108747528367772
29,0.4170289855072464,0.3878696480175885,0.5670289855072463,0.5567729149723561,0.6822463768115942,0.5971014492753624,0.5831522883547343,0.5971014492753624,0.5831522883547343
mean,0.40550724637681157,0.385063432806711,0.5835628019323671,0.5716999620924473,0.6863647342995169,0.6185507246376811,0.6071146588585326,0.6185507246376811,0.6071146588585326
std,0.0356997910540094,0.035505437697253596,0.034567399582094496,0.034663380966638534,0.017323623963654732,0.02451231443025898,0.026370542625683203,0.02451231443025898,0.026370542625683203
