loop,expert_model_test_accuracy_PI,expert_model_test_f1_score_PI,expert_model_test_accuracy_M,expert_model_test_f1_score_M,gate_model_test_accuracy,moe_model_test_soft_accuracy,moe_model_test_soft_f1_score,moe_model_test_hard_accuracy,moe_model_test_hard_f1_score
0,0.7509881422924901,0.6378311677380353,0.696393280632411,0.5921418769287797,0.7230731225296443,0.79100790513834,0.7571361517060436,0.79100790513834,0.7571361517060436
1,0.8199110671936759,0.7628322355070939,0.7070158102766798,0.5992168097636192,0.5568181818181818,0.8325098814229249,0.8183634085489621,0.8325098814229249,0.8183634085489621
2,0.8226284584980237,0.7567112857753411,0.7586462450592886,0.6690146713270235,0.6267292490118577,0.8549901185770751,0.8424919898275424,0.8549901185770751,0.8424919898275424
3,0.7393774703557312,0.6347753402210823,0.7566699604743083,0.6599483062890269,0.7383893280632411,0.8137351778656127,0.7871936535796638,0.8137351778656127,0.7871936535796638
4,0.782608695652174,0.6900062354242976,0.7381422924901185,0.640096832644915,0.6946640316205533,0.8199110671936759,0.79394789873645,0.8199110671936759,0.79394789873645
5,0.7628458498023716,0.667414375436387,0.720602766798419,0.606695119105279,0.6919466403162056,0.8045948616600791,0.7756544217501811,0.8045948616600791,0.7756544217501811
6,0.7438241106719368,0.6284044181760231,0.7418478260869565,0.6517132762334807,0.6877470355731226,0.804100790513834,0.7752296266519012,0.804100790513834,0.7752296266519012
7,0.7529644268774703,0.6496488722270827,0.7161561264822134,0.613775504406844,0.6973814229249012,0.7996541501976284,0.7702240713575857,0.7996541501976284,0.7702240713575857
8,0.7932312252964426,0.7277896572507656,0.7072628458498024,0.6084388188456117,0.6274703557312253,0.8134881422924901,0.7943869890790873,0.8134881422924901,0.7943869890790873
9,0.7947134387351779,0.7135329393508605,0.6914525691699605,0.5767147315149679,0.6704545454545454,0.7959486166007905,0.767946633071076,0.7959486166007905,0.767946633071076
10,0.7707509881422925,0.6773496983297871,0.733201581027668,0.6443354884324798,0.6808300395256917,0.8090415019762845,0.7855823556386874,0.8090415019762845,0.7855823556386874
11,0.8085474308300395,0.7521355121003217,0.6944169960474308,0.5872481947762965,0.6879940711462451,0.8285573122529645,0.808962849038493,0.8285573122529645,0.808962849038493
12,0.7732213438735178,0.6831316688229647,0.712697628458498,0.612119736632933,0.7018280632411067,0.8006422924901185,0.7707612678380888,0.8006422924901185,0.7707612678380888
13,0.7504940711462451,0.6463088915218071,0.7183794466403162,0.6087882741276067,0.70899209486166,0.7880434782608695,0.7546438645190408,0.7880434782608695,0.7546438645190408
14,0.7408596837944664,0.6176332671206104,0.7467885375494071,0.6462078813094518,0.7272727272727273,0.8063241106719368,0.777027733377647,0.8063241106719368,0.777027733377647
15,0.7875494071146245,0.7280257031439202,0.616106719367589,0.4914069862969116,0.6511857707509882,0.7833498023715415,0.7560084087036882,0.7833498023715415,0.7560084087036882
16,0.8312747035573123,0.7820566750483267,0.7349308300395256,0.5959594181418401,0.6094367588932806,0.8391798418972332,0.8214974167774173,0.8391798418972332,0.8214974167774173
17,0.7554347826086957,0.644042627579793,0.713191699604743,0.6034607230049953,0.6810770750988142,0.7944664031620553,0.7594728623911176,0.7944664031620553,0.7594728623911176
18,0.7680335968379447,0.6558141415098163,0.736907114624506,0.6523900120115433,0.6998517786561265,0.8105237154150198,0.7823610080560683,0.8105237154150198,0.7823610080560683
19,0.7724802371541502,0.6826635866647043,0.7156620553359684,0.6083886108303544,0.6850296442687747,0.8060770750988142,0.7758138416618972,0.8060770750988142,0.7758138416618972
20,0.7695158102766798,0.6826686572277438,0.7566699604743083,0.6740768190084949,0.6736660079051383,0.8280632411067194,0.8084609482266367,0.8280632411067194,0.8084609482266367
21,0.7885375494071146,0.7099118341787315,0.724308300395257,0.6242394688627474,0.6650197628458498,0.816699604743083,0.7942702169512248,0.816699604743083,0.7942702169512248
22,0.7890316205533597,0.7206883874592696,0.6862648221343873,0.5704180794422395,0.6304347826086957,0.803606719367589,0.775272512326837,0.803606719367589,0.775272512326837
23,0.7732213438735178,0.692359833707869,0.7396245059288538,0.664668835256086,0.6912055335968379,0.8337450592885376,0.8189793082906637,0.8337450592885376,0.8189793082906637
24,0.7418478260869565,0.6256081866818048,0.6763833992094862,0.5619344409936787,0.7119565217391305,0.7724802371541502,0.7351434336313091,0.7724802371541502,0.7351434336313091
25,0.8021245059288538,0.7394388391481832,0.7638339920948617,0.6858814783782206,0.6442687747035574,0.8433794466403162,0.8304475904819891,0.8433794466403162,0.8304475904819891
26,0.7954545454545454,0.7068338940340849,0.6413043478260869,0.5297165298420693,0.6904644268774703,0.7959486166007905,0.7649030873837835,0.7959486166007905,0.7649030873837835
27,0.7361660079051383,0.623090525271454,0.7381422924901185,0.6361000429254846,0.7003458498023716,0.7912549407114624,0.7565792948707917,0.7912549407114624,0.7565792948707917
28,0.770998023715415,0.6723464294755339,0.7030632411067194,0.6009646150919297,0.6588438735177866,0.8028656126482213,0.7726697876377169,0.8028656126482213,0.7726697876377169
29,0.7413537549407114,0.6275155433070408,0.657608695652174,0.5498534812694085,0.6647727272727273,0.7690217391304348,0.7346701002151887,0.7690217391304348,0.7346701002151887
mean,0.7743330039525691,0.6846190143146912,0.7147891963109354,0.6121971687898106,0.6759716732542818,0.8084403820816863,0.7822034244108927,0.8084403820816863,0.7822034244108927
std,0.02658706195348126,0.04697943989694206,0.03470583678461203,0.044304868851460025,0.03830621940086165,0.020201750590193288,0.026804881466564796,0.020201750590193288,0.026804881466564796
